Estación: ,C19009,CASILLAS. RAYONES
1996-01-09,1.67,CLIC
1996-01-10,3.35,CLIC
1996-01-11,2.07,CLIC
1996-01-12,2.08,CLIC
1996-01-13,4.01,CLIC
1996-01-14,3.06,CLIC
1996-01-15,2.45,CLIC
1996-01-16,4.45,CLIC
1996-01-17,3.81,CLIC
1996-01-18,3.26,CLIC
1996-01-19,3.91,CLIC
1996-01-20,3.12,CLIC
1996-01-21,2.97,CLIC
1996-01-22,2.72,CLIC
1996-01-23,4.42,CLIC
1996-01-24,2.18,CLIC
1996-01-25,2.82,CLIC
1996-01-26,3.95,CLIC
1996-01-27,5.07,CLIC
1996-01-28,3.02,CLIC
1996-01-29,1.96,CLIC
1996-01-30,4.03,CLIC
1996-01-31,3.02,CLIC
1996-02-01,3.82,CLIC
1996-02-02,2.52,CLIC
1996-02-03,3.35,CLIC
1996-02-04,3.3,CLIC
1996-02-05,2.92,CLIC
1996-02-06,2.09,CLIC
1996-02-07,1.88,CLIC
1996-02-08,3.07,CLIC
1996-02-09,1.95,CLIC
1996-02-10,3.6,CLIC
1996-02-11,3.45,CLIC
1996-02-12,2.39,CLIC
1996-02-13,3.22,CLIC
1996-02-14,4.05,CLIC
1996-02-15,2.94,CLIC
1996-02-16,2.97,CLIC
1996-02-17,3.99,CLIC
1996-02-18,1.93,CLIC
1996-02-19,2.56,CLIC
1996-02-20,4.57,CLIC
1996-02-21,3.35,CLIC
1996-02-22,4.52,CLIC
1996-02-23,4.15,CLIC
1996-02-24,2.93,CLIC
1996-02-25,3.08,CLIC
1996-02-26,3.83,CLIC
1996-02-27,3.16,CLIC
1996-02-28,2.96,CLIC
1996-02-29,4.48,CLIC
1996-03-01,1.99,CLIC
1996-03-02,2.96,CLIC
1996-03-03,3.07,CLIC
1996-03-04,4.94,CLIC
1996-03-05,4.13,CLIC
1996-03-06,3.32,CLIC
1996-03-07,2.97,CLIC
1996-03-08,7.06,CLIC
1996-03-09,1.88,CLIC
1996-03-10,2.15,CLIC
1996-03-11,3.98,CLIC
1996-03-12,4.04,CLIC
1996-03-13,3.81,CLIC
1996-03-14,3.53,CLIC
1996-03-15,3.6,CLIC
1996-03-16,1.56,CLIC
1996-03-17,3.48,CLIC
1996-03-18,3.9,CLIC
1996-03-19,2.61,CLIC
1996-03-20,3.26,CLIC
1996-03-21,3.83,CLIC
1996-03-22,3.18,CLIC
1996-03-23,2.94,CLIC
1996-03-24,3.37,CLIC
1996-03-25,2.33,CLIC
1996-03-26,3.33,CLIC
1996-03-27,4.01,CLIC
1996-03-28,2.33,CLIC
1996-03-29,3.52,CLIC
1996-03-30,2.58,CLIC
1996-03-31,3.65,CLIC
1996-04-01,2.26,CLIC
1996-04-02,3.7,CLIC
1996-04-03,2.46,CLIC
1996-04-04,4.49,CLIC
1996-04-05,3.06,CLIC
1996-04-06,2.45,CLIC
1996-04-07,2.95,CLIC
1996-04-08,7.47,CLIC
1996-04-09,1.94,CLIC
1996-04-10,2.93,CLIC
1996-04-11,4.62,CLIC
1996-04-12,4.4,CLIC
1996-04-13,2.93,CLIC
1996-04-14,4.61,CLIC
1996-04-15,2.58,CLIC
1996-04-16,3.31,CLIC
1996-04-17,3.92,CLIC
1996-04-18,4.66,CLIC
1996-04-19,1.52,CLIC
1996-04-20,3.32,CLIC
1996-04-21,3.69,CLIC
1996-04-22,3.02,CLIC
1996-04-23,2.76,CLIC
1996-04-24,4.24,CLIC
1996-04-25,3.99,CLIC
1996-04-26,2.71,CLIC
1996-04-27,2.81,CLIC
1996-04-28,4.38,CLIC
1996-04-29,3.6,CLIC
1996-04-30,3.31,CLIC
1996-05-01,4.66,CLIC
1996-05-02,4.3,CLIC
1996-05-03,3.95,CLIC
1996-05-04,4.94,CLIC
1996-05-05,3.58,CLIC
1996-05-06,4.52,CLIC
1996-05-07,2.32,CLIC
1996-05-08,3.19,CLIC
1996-05-09,3.39,CLIC
1996-05-10,2.92,CLIC
1996-05-11,3.15,CLIC
1996-05-12,3.81,CLIC
1996-05-13,4.18,CLIC
1996-05-14,3,CLIC
1996-05-15,4.59,CLIC
1996-05-16,4.85,CLIC
1996-05-17,5.11,CLIC
1996-05-18,4.65,CLIC
1996-05-19,5.64,CLIC
1996-05-20,5.66,CLIC
1996-05-21,3.75,CLIC
1996-05-22,3.67,CLIC
1996-05-23,5.6,CLIC
1996-05-24,3.46,CLIC
1996-05-25,4.76,CLIC
1996-05-26,4.34,CLIC
1996-05-27,3.95,CLIC
1996-05-28,3.88,CLIC
1996-05-29,3.02,CLIC
1996-05-30,4.08,CLIC
1996-05-31,3.56,CLIC
1996-06-01,5.18,CLIC
1996-06-02,4.63,CLIC
1996-06-03,4.08,CLIC
1996-06-04,7.84,CLIC
1996-06-05,3.66,CLIC
1996-06-06,4.45,CLIC
1996-06-07,2.96,CLIC
1996-06-08,2.95,CLIC
1996-06-09,3.67,CLIC
1996-06-10,3.45,CLIC
1996-06-11,3.87,CLIC
1996-06-12,3.18,CLIC
1996-06-13,2.29,CLIC
1996-06-14,4.21,CLIC
1996-06-15,5.46,CLIC
1996-06-16,3.35,CLIC
1996-06-17,4.28,CLIC
1996-06-18,3.39,CLIC
1996-06-19,4.93,CLIC
1996-06-20,3.53,CLIC
1996-06-21,3.75,CLIC
1996-06-22,4.28,CLIC
1996-06-23,4.81,CLIC
1996-06-24,5.25,CLIC
1996-06-25,3.98,CLIC
1996-06-26,3.97,CLIC
1996-06-27,3.96,CLIC
1996-06-28,3.64,CLIC
1996-06-29,5.29,CLIC
1996-06-30,4.47,CLIC
1996-07-01,3.9,CLIC
1996-07-02,2.05,CLIC
1996-07-03,5.03,CLIC
1996-07-04,4.07,CLIC
1996-07-05,4.32,CLIC
1996-07-06,5.49,CLIC
1996-07-07,4.16,CLIC
1996-07-08,4.99,CLIC
1996-07-09,4.29,CLIC
1996-07-10,3.59,CLIC
1996-07-11,5.4,CLIC
1996-07-12,3.95,CLIC
1996-07-13,2.54,CLIC
1996-07-14,5.42,CLIC
1996-07-15,7.11,CLIC
1996-07-16,4.92,CLIC
1996-07-17,2.97,CLIC
1996-07-18,4.96,CLIC
1996-07-19,4.85,CLIC
1996-07-20,5.27,CLIC
1996-07-21,3.97,CLIC
1996-07-22,4.16,CLIC
1996-07-23,4.34,CLIC
1996-07-24,2.31,CLIC
1996-07-25,4.31,CLIC
1996-07-26,4.55,CLIC
1996-07-27,3.61,CLIC
1996-07-28,5.38,CLIC
1996-07-29,2.31,CLIC
1996-07-30,5.47,CLIC
1996-07-31,3.89,CLIC
1996-08-01,5.11,CLIC
1996-08-02,4.35,CLIC
1996-08-03,4.58,CLIC
1996-08-04,4.06,CLIC
1996-08-05,4.46,CLIC
1996-08-06,4.79,CLIC
1996-08-07,4,CLIC
1996-08-08,5.18,CLIC
1996-08-09,0.51,CLIC
1996-08-10,4.97,CLIC
1996-08-11,3.55,CLIC
1996-08-12,4.51,CLIC
1996-08-13,3.25,CLIC
1996-08-14,5.78,CLIC
1996-08-15,4.01,CLIC
1996-08-16,3.89,CLIC
1996-08-17,3.95,CLIC
1996-08-18,3.6,CLIC
1996-08-19,2.85,CLIC
1996-08-20,3.05,CLIC
1996-08-21,2.9,CLIC
1996-08-22,3.3,CLIC
1996-08-23,3.7,CLIC
1996-08-24,3.47,CLIC
1996-08-25,3.93,CLIC
1996-08-26,4.84,CLIC
1996-08-27,3.01,CLIC
1996-08-28,3.76,CLIC
1996-08-29,3.62,CLIC
1996-08-30,5.67,CLIC
1996-08-31,4.65,CLIC
1996-09-01,7.11,CLIC
1996-09-02,2.89,CLIC
1996-09-03,3.03,CLIC
1996-09-04,4.03,CLIC
1996-09-05,5.05,CLIC
1996-09-06,1.68,CLIC
1996-09-07,3.5,CLIC
1996-09-08,2.86,CLIC
1996-09-09,1.46,CLIC
1996-09-10,2.9,CLIC
1996-09-11,4.89,CLIC
1996-09-12,2.13,CLIC
1996-09-13,1.78,CLIC
1996-09-14,1.43,CLIC
1996-09-15,4.01,CLIC
1996-09-16,3.88,CLIC
1996-09-17,3.14,CLIC
1996-09-18,2.33,CLIC
1996-09-19,3.65,CLIC
1996-09-20,3.02,CLIC
1996-09-21,3.15,CLIC
1996-09-22,3.33,CLIC
1996-09-23,2.88,CLIC
1996-09-24,3.63,CLIC
1996-09-25,3.34,CLIC
1996-09-26,3.46,CLIC
1996-09-27,3.57,CLIC
1996-09-28,3.19,CLIC
1996-09-29,2.19,CLIC
1996-09-30,3.14,CLIC
1996-10-01,3.38,CLIC
1996-10-02,2.19,CLIC
1996-10-03,3.02,CLIC
1996-10-04,1.26,CLIC
1996-10-05,3.19,CLIC
1996-10-06,3.51,CLIC
1996-10-07,2.9,CLIC
1996-10-08,1.24,CLIC
1996-10-09,0.97,CLIC
1996-10-10,5.58,CLIC
1996-10-11,4.2,CLIC
1996-10-12,4.09,CLIC
1996-10-13,3.01,CLIC
1996-10-14,3.54,CLIC
1996-10-15,3.21,CLIC
1996-10-16,3.1,CLIC
1996-10-17,4.37,CLIC
1996-10-18,3.38,CLIC
1996-10-19,3.62,CLIC
1996-10-20,2.94,CLIC
1996-10-21,2.89,CLIC
1996-10-22,2.38,CLIC
1996-10-23,1.25,CLIC
1996-10-24,0.12,CLIC
1996-10-25,4.06,CLIC
1996-10-26,3.15,CLIC
1996-10-27,3.8,CLIC
1996-10-28,3.27,CLIC
1996-10-29,3.71,CLIC
1996-10-30,2.74,CLIC
1996-10-31,3.02,CLIC
1996-11-01,3.93,CLIC
1996-11-02,3.05,CLIC
1996-11-03,2.52,CLIC
1996-11-04,3.4,CLIC
1996-11-05,2.8,CLIC
1996-11-06,4.44,CLIC
1996-11-07,3.83,CLIC
1996-11-08,2.31,CLIC
1996-11-09,4.65,CLIC
1996-11-10,2.96,CLIC
1996-11-11,2.74,CLIC
1996-11-12,3.55,CLIC
1996-11-13,3.87,CLIC
1996-11-14,1.36,CLIC
1996-11-15,3.6,CLIC
1996-11-16,3.95,CLIC
1996-11-17,2.83,CLIC
1996-11-18,3.19,CLIC
1996-11-19,3.55,CLIC
1996-11-20,2.74,CLIC
1996-11-21,2.5,CLIC
1996-11-22,3.32,CLIC
1996-11-23,3.29,CLIC
1996-11-24,2.86,CLIC
1996-11-25,4.45,CLIC
1996-11-26,3.02,CLIC
1996-11-27,3.05,CLIC
1996-11-28,3.95,CLIC
1996-11-29,2.89,CLIC
1996-11-30,4.16,CLIC
1996-12-01,2.83,CLIC
1996-12-02,3.13,CLIC
1996-12-03,4.03,CLIC
1996-12-04,3.96,CLIC
1996-12-05,2.88,CLIC
1996-12-06,5.53,CLIC
1996-12-07,3.58,CLIC
1996-12-08,2.8,CLIC
1996-12-09,3.77,CLIC
1996-12-10,6.94,CLIC
1996-12-11,2.26,CLIC
1996-12-12,3.14,CLIC
1996-12-13,3.93,CLIC
1996-12-14,4.72,CLIC
1996-12-15,3.16,CLIC
1996-12-16,3.9,CLIC
1996-12-17,2.92,CLIC
1996-12-18,1.53,CLIC
1996-12-19,2.36,CLIC
1996-12-20,1.09,CLIC
1996-12-21,3.04,CLIC
1996-12-22,2.91,CLIC
1996-12-23,1.54,CLIC
1996-12-24,2.72,CLIC
1996-12-25,1.5,CLIC
1996-12-26,2.63,CLIC
1996-12-27,3.78,CLIC
1996-12-28,4.09,CLIC
1996-12-29,2.5,CLIC
1996-12-30,2.63,CLIC
1996-12-31,3.7,CLIC
1997-01-01,3.02,CLIC
1997-01-02,2.92,CLIC
1997-01-03,3.11,CLIC
1997-01-04,2.24,CLIC
1997-01-05,4.84,CLIC
1997-01-06,2.97,CLIC
1997-01-07,2.16,CLIC
1997-01-08,1.34,CLIC
1997-01-09,2.09,CLIC
1997-01-10,2.84,CLIC
1997-01-11,3.47,CLIC
1997-01-12,2.71,CLIC
1997-01-13,1.95,CLIC
1997-01-14,1.21,CLIC
1997-01-15,2.76,CLIC
1997-01-16,0.78,CLIC
1997-01-17,0.41,CLIC
1997-01-18,1.82,CLIC
1997-01-19,4.05,CLIC
1997-01-20,2.31,CLIC
1997-01-21,2.8,CLIC
1997-01-22,3.35,CLIC
1997-01-23,3.03,CLIC
1997-01-24,4.17,CLIC
1997-01-25,4.24,CLIC
1997-01-26,2.04,CLIC
1997-01-27,3.86,CLIC
1997-01-28,2.07,CLIC
1997-01-29,3.1,CLIC
1997-01-30,2.94,CLIC
1997-01-31,2.88,CLIC
1997-02-01,3.02,CLIC
1997-02-02,2.43,CLIC
1997-02-03,3.6,CLIC
1997-02-04,2.99,CLIC
1997-02-05,2.22,CLIC
1997-02-06,5.77,CLIC
1997-02-07,3.84,CLIC
1997-02-08,3.38,CLIC
1997-02-09,2.92,CLIC
1997-02-10,2.43,CLIC
1997-02-11,3.15,CLIC
1997-02-12,4.29,CLIC
1997-02-13,3.18,CLIC
1997-02-14,2.16,CLIC
1997-02-15,3.15,CLIC
1997-02-16,2.64,CLIC
1997-02-17,2.97,CLIC
1997-02-18,3.6,CLIC
1997-02-19,3.45,CLIC
1997-02-20,2.44,CLIC
1997-02-21,2.75,CLIC
1997-02-22,3.37,CLIC
1997-02-23,3.08,CLIC
1997-02-24,2.79,CLIC
1997-02-25,3.69,CLIC
1997-02-26,2.52,CLIC
1997-02-27,3.46,CLIC
1997-02-28,3.04,CLIC
1997-03-01,3.38,CLIC
1997-03-02,3.18,CLIC
1997-03-03,3.24,CLIC
1997-03-04,3.31,CLIC
1997-03-05,2.99,CLIC
1997-03-06,3.31,CLIC
1997-03-07,2.93,CLIC
1997-03-08,3.53,CLIC
1997-03-09,2.68,CLIC
1997-03-10,0.79,CLIC
1997-03-11,1.56,CLIC
1997-03-12,2.31,CLIC
1997-03-13,3.39,CLIC
1997-03-14,2.32,CLIC
1997-03-15,3.09,CLIC
1997-03-16,2.49,CLIC
1997-03-17,2.65,CLIC
1997-03-18,0.83,CLIC
1997-03-19,2.41,CLIC
1997-03-20,4.03,CLIC
1997-03-21,3.48,CLIC
1997-03-22,2.92,CLIC
1997-03-23,2.79,CLIC
1997-03-24,3.27,CLIC
1997-03-25,4.58,CLIC
1997-03-26,4.42,CLIC
1997-03-27,2.36,CLIC
1997-03-28,3.51,CLIC
1997-03-29,3.07,CLIC
1997-03-30,4.05,CLIC
1997-03-31,3.16,CLIC
1997-04-01,3.44,CLIC
1997-04-02,5.06,CLIC
1997-04-03,2.43,CLIC
1997-04-04,3.5,CLIC
1997-04-05,3.01,CLIC
1997-04-06,2.59,CLIC
1997-04-07,0.57,CLIC
1997-04-08,1.96,CLIC
1997-04-09,0.68,CLIC
1997-04-10,0.47,CLIC
1997-04-11,3.02,CLIC
1997-04-12,1.01,CLIC
1997-04-13,5.93,CLIC
1997-04-14,1.74,CLIC
1997-04-15,2,CLIC
1997-04-16,2.26,CLIC
1997-04-17,1.95,CLIC
1997-04-18,1.64,CLIC
1997-04-19,1.27,CLIC
1997-04-20,2.01,CLIC
1997-04-21,1.94,CLIC
1997-04-22,2.55,CLIC
1997-04-23,1.24,CLIC
1997-04-24,2.2,CLIC
1997-04-25,3.44,CLIC
1997-04-26,5.33,CLIC
1997-04-27,1.81,CLIC
1997-04-28,4.43,CLIC
1997-04-29,3.07,CLIC
1997-04-30,3.39,CLIC
1997-05-01,4.39,CLIC
1997-05-02,3.66,CLIC
1997-05-03,3.35,CLIC
1997-05-04,3.94,CLIC
1997-05-05,3.26,CLIC
1997-05-06,4.74,CLIC
1997-05-07,3.2,CLIC
1997-05-08,4.82,CLIC
1997-05-09,4.91,CLIC
1997-05-10,3.35,CLIC
1997-05-11,2.62,CLIC
1997-05-12,0.74,CLIC
1997-05-13,4.12,CLIC
1997-05-14,3.69,CLIC
1997-05-15,4.77,CLIC
1997-05-16,4.04,CLIC
1997-05-17,4.07,CLIC
1997-05-18,4.09,CLIC
1997-05-19,3.78,CLIC
1997-05-20,3.47,CLIC
1997-05-21,3.18,CLIC
1997-05-22,3.76,CLIC
1997-05-23,2.66,CLIC
1997-05-24,3.56,CLIC
1997-05-25,3.22,CLIC
1997-05-26,3.45,CLIC
1997-05-27,3.79,CLIC
1997-05-28,6.97,CLIC
1997-05-29,5.59,CLIC
1997-05-30,4.2,CLIC
1997-05-31,3.62,CLIC
1997-06-01,2.95,CLIC
1997-06-02,4.89,CLIC
1997-06-03,4.5,CLIC
1997-06-04,4.11,CLIC
1997-06-05,4.55,CLIC
1997-06-06,3.69,CLIC
1997-06-07,6.79,CLIC
1997-06-08,3.52,CLIC
1997-06-09,2.88,CLIC
1997-06-10,4.61,CLIC
1997-06-11,3.13,CLIC
1997-06-12,4.31,CLIC
1997-06-13,4.45,CLIC
1997-06-14,3.4,CLIC
1997-06-15,5.19,CLIC
1997-06-16,4.59,CLIC
1997-06-17,2.37,CLIC
1997-06-18,4.55,CLIC
1997-06-19,2.24,CLIC
1997-06-20,0.57,CLIC
1997-06-21,3.71,CLIC
1997-06-22,4,CLIC
1997-06-23,3.59,CLIC
1997-06-24,3.53,CLIC
1997-06-25,4.42,CLIC
1997-06-26,3.03,CLIC
1997-06-27,2.21,CLIC
1997-06-28,3.75,CLIC
1997-06-29,4.02,CLIC
1997-06-30,4.34,CLIC
1997-07-01,4.51,CLIC
1997-07-02,4.39,CLIC
1997-07-03,8.87,CLIC
1997-07-04,8.21,CLIC
1997-07-05,4.82,CLIC
1997-07-06,3.5,CLIC
1997-07-07,5.45,CLIC
1997-07-08,3.44,CLIC
1997-07-09,4.53,CLIC
1997-07-10,3.21,CLIC
1997-07-11,4.4,CLIC
1997-07-12,4.46,CLIC
1997-07-13,2.16,CLIC
1997-07-14,4.07,CLIC
1997-07-15,4.7,CLIC
1997-07-16,3.39,CLIC
1997-07-17,4.64,CLIC
1997-07-18,4,CLIC
1997-07-19,3.58,CLIC
1997-07-20,4.39,CLIC
1997-07-21,4.03,CLIC
1997-07-22,3.97,CLIC
1997-07-23,4.6,CLIC
1997-07-24,4.58,CLIC
1997-07-25,5.14,CLIC
1997-07-26,5.1,CLIC
1997-07-27,5.08,CLIC
1997-07-28,4.94,CLIC
1997-07-29,4.96,CLIC
1997-07-30,6.23,CLIC
1997-07-31,6.23,CLIC
1997-08-01,2.15,CLIC
1997-08-02,3.15,CLIC
1997-08-03,4.37,CLIC
1997-08-04,5.2,CLIC
1997-08-05,3.43,CLIC
1997-08-06,2.96,CLIC
1997-08-07,4.83,CLIC
1997-08-08,4.36,CLIC
1997-08-09,4.24,CLIC
1997-08-10,6.4,CLIC
1997-08-11,5.33,CLIC
1997-08-12,4.41,CLIC
1997-08-13,6.93,CLIC
1997-08-14,5.45,CLIC
1997-08-15,3.7,CLIC
1997-08-16,3.24,CLIC
1997-08-17,6.27,CLIC
1997-08-18,5.11,CLIC
1997-08-19,5.53,CLIC
1997-08-20,6.28,CLIC
1997-08-21,4.43,CLIC
1997-08-22,5.39,CLIC
1997-08-23,4.23,CLIC
1997-08-24,4.33,CLIC
1997-08-25,5.27,CLIC
1997-08-26,5.49,CLIC
1997-08-27,5.15,CLIC
1997-08-28,4.24,CLIC
1997-08-29,3.2,CLIC
1997-08-30,2.49,CLIC
1997-08-31,3.15,CLIC
1997-09-01,2.27,CLIC
1997-09-02,3.18,CLIC
1997-09-03,4.03,CLIC
1997-09-04,4.41,CLIC
1997-09-05,3.78,CLIC
1997-09-06,4.24,CLIC
1997-09-07,4.71,CLIC
1997-09-08,3.1,CLIC
1997-09-09,2.18,CLIC
1997-09-10,3.26,CLIC
1997-09-11,2.91,CLIC
1997-09-12,2.15,CLIC
1997-09-13,2.43,CLIC
1997-09-14,3.16,CLIC
1997-09-15,3.5,CLIC
1997-09-16,3.66,CLIC
1997-09-17,3.41,CLIC
1997-09-18,4.44,CLIC
1997-09-19,5.08,CLIC
1997-09-20,5.47,CLIC
1997-09-21,5.44,CLIC
1997-09-22,3.15,CLIC
1997-09-23,4.18,CLIC
1997-09-24,4.41,CLIC
1997-09-25,5.43,CLIC
1997-09-26,6.48,CLIC
1997-09-27,4.39,CLIC
1997-09-28,3.88,CLIC
1997-09-29,3.44,CLIC
1997-09-30,3.19,CLIC
1997-10-01,3.56,CLIC
1997-10-02,2.37,CLIC
1997-10-03,2.83,CLIC
1997-10-04,4.64,CLIC
1997-10-05,3.1,CLIC
1997-10-06,4.48,CLIC
1997-10-07,4.36,CLIC
1997-10-08,1.88,CLIC
1997-10-09,7.34,CLIC
1997-10-10,7.34,CLIC
1997-10-11,4.42,CLIC
1997-10-12,4.02,CLIC
1997-10-13,6.65,CLIC
1997-10-14,3.22,CLIC
1997-10-15,3.31,CLIC
1997-10-16,3.77,CLIC
1997-10-17,4.04,CLIC
1997-10-18,2.85,CLIC
1997-10-19,3.16,CLIC
1997-10-20,3.95,CLIC
1997-10-21,4.03,CLIC
1997-10-22,3.25,CLIC
1997-10-23,4.64,CLIC
1997-10-24,3.18,CLIC
1997-10-25,2.19,CLIC
1997-10-26,3.82,CLIC
1997-10-27,2.95,CLIC
1997-10-28,2.97,CLIC
1997-10-29,2.89,CLIC
1997-10-30,1.57,CLIC
1997-10-31,1.58,CLIC
1997-11-01,3.54,CLIC
1997-11-02,4.82,CLIC
1997-11-03,2.9,CLIC
1997-11-04,2.89,CLIC
1997-11-05,4.03,CLIC
1997-11-06,2.71,CLIC
1997-11-07,3.28,CLIC
1997-11-08,2.48,CLIC
1997-11-09,3.52,CLIC
1997-11-10,2.26,CLIC
1997-11-11,4.92,CLIC
1997-11-12,2.97,CLIC
1997-11-13,2.92,CLIC
1997-11-14,3.15,CLIC
1997-11-15,1.01,CLIC
1997-11-16,2.03,CLIC
1997-11-17,2.9,CLIC
1997-11-18,2.98,CLIC
1997-11-19,2.46,CLIC
1997-11-20,4.5,CLIC
1997-11-21,3.13,CLIC
1997-11-22,2.23,CLIC
1997-11-23,3.74,CLIC
1997-11-24,2.98,CLIC
1997-11-25,5.06,CLIC
1997-11-26,2.94,CLIC
1997-11-27,2.89,CLIC
1997-11-28,3.13,CLIC
1997-11-29,2.56,CLIC
1997-11-30,3.21,CLIC
1997-12-01,3.25,CLIC
1997-12-02,4.3,CLIC
1997-12-03,2.01,CLIC
1997-12-04,3.07,CLIC
1997-12-05,1.96,CLIC
1997-12-06,1.48,CLIC
1997-12-07,3.48,CLIC
1997-12-08,2.9,CLIC
1997-12-09,3.07,CLIC
1997-12-10,2.95,CLIC
1997-12-11,1.06,CLIC
1997-12-12,0.48,CLIC
1997-12-13,2.57,CLIC
1997-12-14,3.03,CLIC
1997-12-15,2.19,CLIC
1997-12-16,2.8,CLIC
1997-12-17,2.03,CLIC
1997-12-18,2.38,CLIC
1997-12-19,3.85,CLIC
1997-12-20,3.69,CLIC
1997-12-21,2.58,CLIC
1997-12-22,3.5,CLIC
1997-12-23,3,CLIC
1997-12-24,2.89,CLIC
1997-12-25,3.03,CLIC
1997-12-26,2.77,CLIC
1997-12-27,3.23,CLIC
1997-12-28,3.02,CLIC
1997-12-29,3.06,CLIC
1997-12-30,1.8,CLIC
1997-12-31,3.2,CLIC
1998-01-01,2.91,CLIC
1998-01-02,3.1,CLIC
1998-01-03,2.26,CLIC
1998-01-04,3.77,CLIC
1998-01-05,2.16,CLIC
1998-01-06,3.8,CLIC
1998-01-07,3,CLIC
1998-01-08,0.08,CLIC
1998-01-09,0.15,CLIC
1998-01-10,0.35,CLIC
1998-01-11,0.8,CLIC
1998-01-12,0.46,CLIC
1998-01-13,1.23,CLIC
1998-01-14,3.49,CLIC
1998-01-15,3.79,CLIC
1998-01-16,2.83,CLIC
1998-01-17,3.13,CLIC
1998-01-18,1.5,CLIC
1998-01-19,1.48,CLIC
1998-01-20,2.01,CLIC
1998-01-21,2.05,CLIC
1998-01-22,1.1,CLIC
1998-01-23,1.4,CLIC
1998-01-24,1.45,CLIC
1998-01-25,2.25,CLIC
1998-01-26,1.43,CLIC
1998-01-27,0.85,CLIC
1998-01-28,0.71,CLIC
1998-01-29,0.43,CLIC
1998-01-30,0.33,CLIC
1998-01-31,0.49,CLIC
1998-02-01,2.89,CLIC
1998-02-02,2.37,CLIC
1998-02-03,3.7,CLIC
1998-02-04,3.05,CLIC
1998-02-05,2.2,CLIC
1998-02-06,2.76,CLIC
1998-02-07,2.23,CLIC
1998-02-08,3.88,CLIC
1998-02-09,3,CLIC
1998-02-10,2.92,CLIC
1998-02-11,2.03,CLIC
1998-02-12,0.44,CLIC
1998-02-13,0.75,CLIC
1998-02-14,2.33,CLIC
1998-02-15,1.06,CLIC
1998-02-16,1.46,CLIC
1998-02-17,0.86,CLIC
1998-02-18,1.95,CLIC
1998-02-19,1.98,CLIC
1998-02-20,1.97,CLIC
1998-02-21,0.15,CLIC
1998-02-22,1.16,CLIC
1998-02-23,1.36,CLIC
1998-02-24,2.23,CLIC
1998-02-25,2.31,CLIC
1998-02-26,2.4,CLIC
1998-02-27,1.68,CLIC
1998-02-28,1.95,CLIC
1998-03-01,2.45,CLIC
1998-03-02,3.95,CLIC
1998-03-03,3.07,CLIC
1998-03-04,2.92,CLIC
1998-03-05,2.62,CLIC
1998-03-06,2.95,CLIC
1998-03-07,2.18,CLIC
1998-03-08,1.78,CLIC
1998-03-09,0.95,CLIC
1998-03-10,1.92,CLIC
1998-03-11,2.46,CLIC
1998-03-12,3.62,CLIC
1998-03-13,2.28,CLIC
1998-03-14,3.83,CLIC
1998-03-15,2.81,CLIC
1998-03-16,1.96,CLIC
1998-03-17,2.01,CLIC
1998-03-18,1.21,CLIC
1998-03-19,2.99,CLIC
1998-03-20,1.82,CLIC
1998-03-21,3.55,CLIC
1998-03-22,3.39,CLIC
1998-03-23,2.93,CLIC
1998-03-24,2.29,CLIC
1998-03-25,1.84,CLIC
1998-03-26,1.01,CLIC
1998-03-27,2.96,CLIC
1998-03-28,2.56,CLIC
1998-03-29,2.45,CLIC
1998-03-30,2.2,CLIC
1998-03-31,1.49,CLIC
1998-04-01,3.5,CLIC
1998-04-02,3.06,CLIC
1998-04-03,2.12,CLIC
1998-04-04,3.76,CLIC
1998-04-05,3.07,CLIC
1998-04-06,2.86,CLIC
1998-04-07,2.46,CLIC
1998-04-08,3.72,CLIC
1998-04-09,3.86,CLIC
1998-04-10,2.19,CLIC
1998-04-11,1.2,CLIC
1998-04-12,2.8,CLIC
1998-04-13,3.81,CLIC
1998-04-14,3.2,CLIC
1998-04-15,4.78,CLIC
1998-04-16,4.76,CLIC
1998-04-17,3.07,CLIC
1998-04-18,3.16,CLIC
1998-04-19,2.95,CLIC
1998-04-20,2.97,CLIC
1998-04-21,1.49,CLIC
1998-04-22,1.8,CLIC
1998-04-23,1.01,CLIC
1998-04-24,4.08,CLIC
1998-04-25,3.83,CLIC
1998-04-26,2.56,CLIC
1998-04-27,3.43,CLIC
1998-04-28,2.57,CLIC
1998-04-29,0.44,CLIC
1998-04-30,8.13,CLIC
1998-05-01,2.34,CLIC
1998-05-02,4.65,CLIC
1998-05-03,3.47,CLIC
1998-05-04,5.48,CLIC
1998-05-05,5.11,CLIC
1998-05-06,2.81,CLIC
1998-05-07,5.1,CLIC
1998-05-08,2.04,CLIC
1998-05-09,4.3,CLIC
1998-05-10,4.47,CLIC
1998-05-11,5.07,CLIC
1998-05-12,2.15,CLIC
1998-05-13,4.61,CLIC
1998-05-14,9.14,CLIC
1998-05-15,2.05,CLIC
1998-05-16,3.55,CLIC
1998-05-17,4.79,CLIC
1998-05-18,3,CLIC
1998-05-19,4.07,CLIC
1998-05-20,3.04,CLIC
1998-05-21,2.81,CLIC
1998-05-22,4.1,CLIC
1998-05-23,4.23,CLIC
1998-05-24,4.8,CLIC
1998-05-25,4.73,CLIC
1998-05-26,0.24,CLIC
1998-05-27,3.63,CLIC
1998-05-28,4.27,CLIC
1998-05-29,2.47,CLIC
1998-05-30,3.15,CLIC
1998-06-01,5.04,CLIC
