Estación: ,C19143,LA CARDONA. MIER Y N.
1985-06-03,3.6,CLIC
1985-06-04,3.45,CLIC
1985-06-05,3.6,CLIC
1985-06-06,3.55,CLIC
1985-06-07,3.55,CLIC
1985-06-08,3.5,CLIC
1985-06-09,3.28,CLIC
1985-06-10,3.4,CLIC
1985-06-11,3.42,CLIC
1985-06-12,3.28,CLIC
1985-06-13,3.45,CLIC
1985-06-14,3.45,CLIC
1985-06-15,3.42,CLIC
1985-06-16,3.44,CLIC
1985-06-17,3.45,CLIC
1985-06-18,3.44,CLIC
1985-06-19,3.43,CLIC
1985-06-20,3.44,CLIC
1985-06-21,3.45,CLIC
1985-06-22,3.4,CLIC
1985-06-23,3.38,CLIC
1985-06-24,3.39,CLIC
1985-06-25,3.4,CLIC
1985-06-26,3.42,CLIC
1985-06-27,3.4,CLIC
1985-06-28,3.25,CLIC
1985-06-29,3.41,CLIC
1985-06-30,3.28,CLIC
1986-01-01,2.01,CLIC
1986-01-02,1.04,CLIC
1986-01-03,2.01,CLIC
1986-01-04,1.01,CLIC
1986-01-05,2.02,CLIC
1986-01-06,2.02,CLIC
1986-01-07,1.02,CLIC
1986-01-08,1.02,CLIC
1986-01-09,1.01,CLIC
1986-01-10,2.02,CLIC
1986-01-11,2.02,CLIC
1986-01-12,2.02,CLIC
1986-01-13,2.02,CLIC
1986-01-14,1.02,CLIC
1986-01-15,0.14,CLIC
1986-01-16,1.26,CLIC
1986-01-17,0.36,CLIC
1986-01-18,2.02,CLIC
1986-01-19,2.02,CLIC
1986-01-20,2.02,CLIC
1986-01-21,2.02,CLIC
1986-01-22,2.02,CLIC
1986-01-23,2.02,CLIC
1986-01-24,2.02,CLIC
1986-01-25,2.02,CLIC
1986-01-26,2.02,CLIC
1986-01-27,1.98,CLIC
1986-01-28,2.02,CLIC
1986-01-29,1.02,CLIC
1986-01-30,2.02,CLIC
1986-01-31,2.02,CLIC
1987-05-01,1.01,CLIC
1987-05-02,1.01,CLIC
1987-05-03,1.01,CLIC
1987-05-04,1.01,CLIC
1987-05-05,1.01,CLIC
1987-05-06,1.01,CLIC
1987-05-07,1.01,CLIC
1987-05-08,2.01,CLIC
1987-05-09,2.02,CLIC
1987-05-10,2.02,CLIC
1987-05-11,2.02,CLIC
1987-05-12,2.02,CLIC
1987-05-13,2.02,CLIC
1987-05-14,2.02,CLIC
1987-05-15,2.02,CLIC
1987-05-16,2.02,CLIC
1987-05-17,2.02,CLIC
1987-05-18,2.02,CLIC
1987-05-19,2.02,CLIC
1987-05-20,2.02,CLIC
1987-05-21,2.02,CLIC
1987-05-22,2.02,CLIC
1987-05-23,2.02,CLIC
1987-05-24,2.02,CLIC
1987-05-25,2.02,CLIC
1987-05-26,2.02,CLIC
1987-05-27,2.02,CLIC
1987-05-28,2.02,CLIC
1987-05-29,2.02,CLIC
1987-05-30,2.02,CLIC
1987-05-31,2.02,CLIC
1987-06-01,2.02,CLIC
1987-06-02,2.02,CLIC
1987-06-03,2.02,CLIC
1987-06-04,2.02,CLIC
1987-06-05,2.02,CLIC
1987-06-06,2.02,CLIC
1987-06-07,2.02,CLIC
1987-06-08,2.02,CLIC
1987-06-09,2.02,CLIC
1987-06-10,2.02,CLIC
1987-06-11,2.02,CLIC
1987-06-12,2.02,CLIC
1987-06-13,2.02,CLIC
1987-06-14,2.02,CLIC
1987-06-15,2.02,CLIC
1987-06-16,2.02,CLIC
1987-06-17,2.02,CLIC
1987-06-18,2.02,CLIC
1987-06-19,2.02,CLIC
1987-06-20,2.02,CLIC
1987-06-21,2.02,CLIC
1987-06-22,2.02,CLIC
1987-06-23,2.02,CLIC
1987-06-24,2.02,CLIC
1987-06-25,2.02,CLIC
1987-06-26,2.02,CLIC
1987-06-27,2.02,CLIC
1987-06-28,2.02,CLIC
1987-06-29,2.02,CLIC
1987-06-30,2.02,CLIC
1987-07-01,2.02,CLIC
1987-07-02,2.02,CLIC
1987-07-03,2.02,CLIC
1987-07-04,4.04,CLIC
1987-07-05,2.02,CLIC
1987-07-06,2.02,CLIC
1987-07-07,2.02,CLIC
1987-07-08,2.02,CLIC
1987-07-09,2.02,CLIC
1987-07-10,2.02,CLIC
1987-07-11,2.02,CLIC
1989-09-03,3.03,CLIC
1989-09-04,5.05,CLIC
1989-09-05,4.04,CLIC
1989-09-09,2.02,CLIC
1989-09-10,3.03,CLIC
1989-09-11,4.04,CLIC
1989-09-13,2.01,CLIC
1989-09-14,3.03,CLIC
1989-09-15,4.04,CLIC
1989-09-16,3.03,CLIC
1989-09-17,4.04,CLIC
1989-09-18,4.14,CLIC
1989-09-19,5.05,CLIC
1989-09-20,5.05,CLIC
1989-09-23,3.03,CLIC
1989-09-24,3.03,CLIC
1989-09-25,2.93,CLIC
1989-09-26,3.03,CLIC
1989-09-27,2.02,CLIC
1989-09-28,2.02,CLIC
1989-09-29,3.03,CLIC
1989-09-30,3.03,CLIC
