Estación: ,C19096,LA HUASTECA.STA.CATARINA
1993-10-25,7.98,CLIC
1993-10-26,6.98,CLIC
1993-10-27,3.94,CLIC
1993-10-28,2.94,CLIC
1993-10-29,1.65,CLIC
1993-10-30,1.43,CLIC
1993-11-01,3.67,CLIC
1993-11-02,2.5,CLIC
1993-11-03,1.08,CLIC
1993-11-04,1.75,CLIC
1993-11-05,4.24,CLIC
1993-11-06,4.03,CLIC
1993-11-07,3.14,CLIC
1993-11-08,4.01,CLIC
1993-11-09,3.07,CLIC
1993-11-10,2.8,CLIC
1993-11-11,1.78,CLIC
1993-11-12,5.43,CLIC
1993-11-13,6.59,CLIC
1993-11-14,4.85,CLIC
1993-11-15,4.78,CLIC
1993-11-16,5.01,CLIC
1993-11-17,2.79,CLIC
1993-11-18,2.96,CLIC
1993-11-19,4.32,CLIC
1993-11-20,6.89,CLIC
1993-11-21,2.95,CLIC
1993-11-22,4.95,CLIC
1993-11-23,3.96,CLIC
1993-11-24,5.05,CLIC
1993-11-25,3.88,CLIC
1993-11-26,3.32,CLIC
1993-11-27,4,CLIC
1993-11-28,2.92,CLIC
1993-11-29,2.72,CLIC
1993-11-30,4.18,CLIC
1993-12-01,2.97,CLIC
1993-12-02,3.01,CLIC
1993-12-03,3.19,CLIC
1993-12-04,3.56,CLIC
1993-12-05,3.42,CLIC
1993-12-06,2.97,CLIC
1993-12-07,2.85,CLIC
1993-12-08,3.04,CLIC
1993-12-09,4.01,CLIC
1993-12-10,2.96,CLIC
1993-12-11,3.82,CLIC
1993-12-12,4,CLIC
1993-12-13,5.02,CLIC
1993-12-14,5.15,CLIC
1993-12-15,5.11,CLIC
1993-12-16,3.89,CLIC
1993-12-17,1.45,CLIC
1993-12-18,2.6,CLIC
1993-12-19,2.13,CLIC
1993-12-20,5.58,CLIC
1993-12-21,5.2,CLIC
1993-12-22,2.41,CLIC
1993-12-23,2.05,CLIC
1993-12-24,1.01,CLIC
1993-12-25,3.71,CLIC
1993-12-26,4.05,CLIC
1993-12-27,4.86,CLIC
1993-12-28,4.91,CLIC
1993-12-29,1.16,CLIC
1993-12-30,1.24,CLIC
1993-12-31,1.2,CLIC
1994-01-01,2.09,CLIC
1994-01-02,8.59,CLIC
1994-01-03,4.74,CLIC
1994-01-04,6.94,CLIC
1994-01-05,7.21,CLIC
1994-01-06,9.11,CLIC
1994-01-07,10.09,CLIC
1994-01-08,4.31,CLIC
1994-01-09,5.71,CLIC
1994-01-10,3.75,CLIC
1994-01-11,4.88,CLIC
1994-01-12,4.54,CLIC
1994-01-13,3.75,CLIC
1994-01-14,3.44,CLIC
1994-01-15,4.37,CLIC
1994-01-16,3.93,CLIC
1994-01-17,3.99,CLIC
1994-01-18,3.05,CLIC
1994-01-19,3.35,CLIC
1994-01-20,1.84,CLIC
1994-01-21,1.62,CLIC
1994-01-22,1.68,CLIC
1994-01-23,4.51,CLIC
1994-01-24,4.72,CLIC
1994-01-25,5.91,CLIC
1994-01-26,4.98,CLIC
1994-01-27,1.18,CLIC
1994-01-28,4.25,CLIC
1994-01-29,1.1,CLIC
1994-01-30,1.56,CLIC
1994-02-01,1.35,CLIC
1994-02-02,2.05,CLIC
1994-02-03,3.77,CLIC
1994-02-04,5.81,CLIC
1994-02-05,3.38,CLIC
1994-02-06,8.57,CLIC
1994-02-07,3.29,CLIC
1994-02-08,3.88,CLIC
1994-02-09,4.92,CLIC
1994-02-10,4.86,CLIC
1994-02-11,4.13,CLIC
1994-02-12,10.88,CLIC
1994-02-13,5,CLIC
1994-02-14,4.99,CLIC
1994-02-15,7.14,CLIC
1994-02-16,5.02,CLIC
1994-02-17,1.26,CLIC
1994-02-18,1.55,CLIC
1994-02-19,5.28,CLIC
1994-02-20,4.87,CLIC
1994-02-21,4.28,CLIC
1994-02-22,7.56,CLIC
1994-02-23,9.21,CLIC
1994-02-24,3.78,CLIC
1994-02-25,5.08,CLIC
1994-02-26,6.2,CLIC
1994-02-27,0.34,CLIC
1994-02-28,4.56,CLIC
1994-03-01,5.9,CLIC
1994-03-02,7.93,CLIC
1994-03-03,11.04,CLIC
1994-03-04,5.75,CLIC
1994-03-05,7.9,CLIC
1994-03-06,9.61,CLIC
1994-03-07,6.83,CLIC
1994-03-08,10.06,CLIC
1994-03-09,7.8,CLIC
1994-03-10,5.1,CLIC
1994-03-11,5.33,CLIC
1994-03-12,4.9,CLIC
1994-03-13,3.19,CLIC
1994-03-14,0.79,CLIC
1994-03-15,1.47,CLIC
1994-03-16,5.33,CLIC
1994-03-17,4.36,CLIC
1994-03-18,6.05,CLIC
1994-03-19,10.85,CLIC
1994-03-20,7.25,CLIC
1994-03-21,10.84,CLIC
1994-03-22,7.12,CLIC
1994-03-23,7.21,CLIC
1994-03-24,12.55,CLIC
1994-03-25,9.03,CLIC
1994-03-26,7.98,CLIC
1994-03-27,7.28,CLIC
1994-03-28,4.98,CLIC
1994-03-29,4.89,CLIC
1994-03-30,4.39,CLIC
1994-04-01,4.71,CLIC
1994-04-02,7.09,CLIC
1994-04-03,5.04,CLIC
1994-04-04,8.13,CLIC
1994-04-05,8.89,CLIC
1994-04-06,6.14,CLIC
1994-04-07,8.84,CLIC
1994-04-08,6.65,CLIC
1994-04-09,9.53,CLIC
1994-04-10,9.02,CLIC
1994-04-11,11.17,CLIC
1994-04-12,4.87,CLIC
1994-04-13,5.99,CLIC
1994-04-14,5.76,CLIC
1994-04-15,5.36,CLIC
1994-04-16,7.87,CLIC
1994-04-17,8.95,CLIC
1994-04-18,5.92,CLIC
1994-04-19,0.13,CLIC
1994-04-20,4.85,CLIC
1994-04-21,8.09,CLIC
1994-04-22,6,CLIC
1994-04-23,9.03,CLIC
1994-04-24,8.99,CLIC
1994-04-25,7.99,CLIC
1994-04-26,6.1,CLIC
1994-04-27,10.05,CLIC
1994-04-28,4.85,CLIC
1994-04-29,9.6,CLIC
1994-04-30,8.99,CLIC
1994-05-01,5.13,CLIC
1994-05-02,4.73,CLIC
1994-05-03,7.33,CLIC
1994-05-04,8.98,CLIC
1994-05-05,9.06,CLIC
1994-05-06,8.87,CLIC
1994-05-07,10.45,CLIC
1994-05-08,10.7,CLIC
1994-05-09,9.04,CLIC
1994-05-10,1.75,CLIC
1994-05-11,2.29,CLIC
1994-05-12,3.49,CLIC
1994-05-13,8.53,CLIC
1994-05-14,8.34,CLIC
1994-05-15,10.43,CLIC
1994-05-16,7.98,CLIC
1994-05-17,5.92,CLIC
1994-05-18,8.15,CLIC
1994-05-19,8.8,CLIC
1994-05-20,8.04,CLIC
1994-05-21,7.17,CLIC
1994-05-22,11.83,CLIC
1994-05-23,11.02,CLIC
1994-05-24,7.03,CLIC
1994-05-25,9.11,CLIC
1994-05-26,0.91,CLIC
1994-05-27,9.94,CLIC
1994-05-28,9.21,CLIC
1994-05-29,8.73,CLIC
1994-05-30,6.87,CLIC
1994-05-31,8.07,CLIC
1994-07-01,6.1,CLIC
1994-07-02,9.98,CLIC
1994-07-03,10.88,CLIC
1994-07-04,7.59,CLIC
1994-07-05,11.53,CLIC
1994-07-06,12.21,CLIC
1994-07-07,6.68,CLIC
1994-07-08,7.02,CLIC
1994-07-09,6.98,CLIC
1994-07-10,5.25,CLIC
1994-07-11,2.92,CLIC
1994-07-12,0.86,CLIC
1994-07-13,1.04,CLIC
1994-07-14,1.09,CLIC
1994-07-15,1.95,CLIC
1994-07-16,9.09,CLIC
1994-07-17,8.99,CLIC
1994-07-18,9.12,CLIC
1994-07-19,7.4,CLIC
1994-07-20,8.42,CLIC
1994-07-21,8.26,CLIC
1994-07-22,9.41,CLIC
1994-07-23,14.7,CLIC
1994-07-24,13.13,CLIC
1994-07-25,11.43,CLIC
1994-07-26,11.73,CLIC
1994-07-27,12.49,CLIC
1994-07-28,11.35,CLIC
1994-07-29,8.09,CLIC
1994-07-30,7.34,CLIC
1994-07-31,10.58,CLIC
1994-10-01,3.03,CLIC
1994-10-02,5.82,CLIC
1994-10-03,7.2,CLIC
1994-10-04,4.98,CLIC
1994-10-05,4.25,CLIC
1994-10-06,4.89,CLIC
1994-10-07,0.86,CLIC
1994-10-08,0.97,CLIC
1994-10-09,1.3,CLIC
1994-10-10,2.88,CLIC
1994-10-11,1.84,CLIC
1994-10-12,3.17,CLIC
1994-10-13,4.01,CLIC
1994-10-14,3.86,CLIC
1994-10-15,3.19,CLIC
1994-10-16,3.83,CLIC
1994-10-17,3.96,CLIC
1994-10-18,4.04,CLIC
1994-10-19,3.86,CLIC
1994-10-20,3.36,CLIC
1994-10-21,3.81,CLIC
1994-10-22,4.89,CLIC
1994-10-23,3.05,CLIC
1994-10-24,2.18,CLIC
1994-10-25,3.75,CLIC
1994-10-26,1.11,CLIC
1994-10-27,2.83,CLIC
1994-10-28,2.98,CLIC
1994-10-29,2.93,CLIC
1994-10-30,3.12,CLIC
1994-10-31,2.89,CLIC
1994-11-01,5.24,CLIC
1994-11-02,4.16,CLIC
1994-11-03,5.04,CLIC
1994-11-04,3.91,CLIC
1994-11-05,3.14,CLIC
1994-11-06,3.78,CLIC
1994-11-07,2.39,CLIC
1994-11-08,3.78,CLIC
1994-11-09,3.86,CLIC
1994-11-10,3.92,CLIC
1994-11-11,5.4,CLIC
1994-11-12,5.96,CLIC
1994-11-13,4.11,CLIC
1994-11-14,6.59,CLIC
1994-11-15,2.85,CLIC
1994-11-16,4.24,CLIC
1994-11-17,3.88,CLIC
1994-11-18,4.8,CLIC
1994-11-19,2.97,CLIC
1994-11-20,3.08,CLIC
1994-11-21,3.84,CLIC
1994-11-22,3.08,CLIC
1994-11-23,2.17,CLIC
1994-11-24,3.78,CLIC
1994-11-25,3.03,CLIC
1994-11-26,3.08,CLIC
1994-11-27,3.87,CLIC
1994-11-28,7.02,CLIC
1994-11-29,5.95,CLIC
1994-11-30,4.03,CLIC
1994-12-01,1.12,CLIC
1994-12-02,1.27,CLIC
1994-12-03,3.17,CLIC
1994-12-04,4.08,CLIC
1994-12-05,3.21,CLIC
1994-12-06,6.02,CLIC
1994-12-07,7.72,CLIC
1994-12-08,4.96,CLIC
1994-12-09,3.91,CLIC
1994-12-10,4.55,CLIC
1994-12-11,7.71,CLIC
1994-12-12,3.88,CLIC
1994-12-13,4.02,CLIC
1994-12-14,5.16,CLIC
1994-12-15,4.92,CLIC
1994-12-16,5.08,CLIC
1994-12-17,4.91,CLIC
1994-12-18,5.16,CLIC
1994-12-19,6.96,CLIC
1994-12-20,2.2,CLIC
1994-12-21,5.56,CLIC
1994-12-22,2.85,CLIC
1994-12-23,3.22,CLIC
1994-12-24,2.81,CLIC
1994-12-25,3.25,CLIC
1994-12-26,2.82,CLIC
1994-12-27,4.06,CLIC
1994-12-28,1.93,CLIC
1994-12-29,3.02,CLIC
1994-12-30,0.82,CLIC
1994-12-31,2.12,CLIC
1995-02-01,4.35,CLIC
1995-02-02,4.81,CLIC
1995-02-03,5.15,CLIC
1995-02-04,5.89,CLIC
1995-02-05,6.15,CLIC
1995-02-06,5.8,CLIC
1995-02-07,3.8,CLIC
1995-02-08,1.35,CLIC
1995-02-09,0.88,CLIC
1995-02-10,2.16,CLIC
1995-02-11,3.73,CLIC
1995-02-12,5.99,CLIC
1995-02-13,7.87,CLIC
1995-02-14,3.28,CLIC
1995-02-15,1.89,CLIC
1995-02-16,4.07,CLIC
1995-02-17,1.04,CLIC
1995-02-18,1.93,CLIC
1995-02-19,3.82,CLIC
1995-02-20,4.27,CLIC
1995-02-21,5.7,CLIC
1995-02-22,6.11,CLIC
1995-02-23,5.18,CLIC
1995-02-24,5.98,CLIC
1995-02-25,4.15,CLIC
1995-02-26,2.35,CLIC
1995-02-27,5.55,CLIC
1995-02-28,4.12,CLIC
1995-03-01,3.66,CLIC
1995-03-02,3.07,CLIC
1995-03-03,3.93,CLIC
1995-03-04,4.07,CLIC
1995-03-05,3.07,CLIC
1995-03-06,2.36,CLIC
1995-03-07,3.46,CLIC
1995-03-08,4.21,CLIC
1995-03-09,4.08,CLIC
1995-03-10,4.13,CLIC
1995-03-11,2.32,CLIC
1995-03-12,4.22,CLIC
1995-03-13,4.65,CLIC
1995-03-14,6.62,CLIC
1995-03-15,5.03,CLIC
1995-03-16,6,CLIC
1995-03-17,5.11,CLIC
1995-03-18,5.88,CLIC
1995-03-19,8.12,CLIC
1995-03-20,8.05,CLIC
1995-03-21,6.02,CLIC
1995-03-22,5.75,CLIC
1995-03-23,5.12,CLIC
1995-03-24,5.85,CLIC
1995-03-25,5.26,CLIC
1995-03-26,5.91,CLIC
1995-03-27,4.17,CLIC
1995-03-28,1.83,CLIC
1995-03-29,3.92,CLIC
1995-03-30,2.9,CLIC
1995-03-31,1,CLIC
1995-05-01,8.75,CLIC
1995-05-02,6.16,CLIC
1995-05-03,5.22,CLIC
1995-05-04,3.98,CLIC
1995-05-05,8.74,CLIC
1995-05-06,7.22,CLIC
1995-05-07,3.79,CLIC
1995-05-08,10.57,CLIC
1995-05-09,9.01,CLIC
1995-05-10,7.11,CLIC
1995-05-11,7.08,CLIC
1995-05-12,8.11,CLIC
1995-05-13,9.68,CLIC
1995-05-14,9.02,CLIC
1995-05-15,10.59,CLIC
1995-05-16,8.45,CLIC
1995-05-17,7.08,CLIC
1995-05-18,9.99,CLIC
1995-05-19,11.04,CLIC
1995-05-20,8.2,CLIC
1995-05-21,8.62,CLIC
1995-05-22,10.06,CLIC
1995-05-23,9.32,CLIC
1995-05-24,4.82,CLIC
1995-05-25,7.81,CLIC
1995-05-26,5.51,CLIC
1995-05-27,7.21,CLIC
1995-05-28,5.97,CLIC
1995-05-29,9.27,CLIC
1995-05-30,7.77,CLIC
1995-05-31,7.17,CLIC
1995-06-01,9.93,CLIC
1995-06-02,11.01,CLIC
1995-06-03,6.8,CLIC
1995-06-04,10.2,CLIC
1995-06-05,6.83,CLIC
1995-06-06,8.36,CLIC
1995-06-07,9.5,CLIC
1995-06-08,8.21,CLIC
1995-06-09,11.47,CLIC
1995-06-10,8.81,CLIC
1995-06-11,5.95,CLIC
1995-06-12,7.2,CLIC
1995-06-13,7.73,CLIC
1995-06-14,7.52,CLIC
1995-06-15,9.72,CLIC
1995-06-16,6.07,CLIC
1995-06-17,9.01,CLIC
1995-06-18,7.11,CLIC
1995-06-19,1.92,CLIC
1995-06-20,5.04,CLIC
1995-06-21,3.03,CLIC
1995-06-22,9.1,CLIC
1995-06-23,11.83,CLIC
1995-06-24,8.32,CLIC
1995-06-25,8.61,CLIC
1995-06-26,10.11,CLIC
1995-06-27,8.16,CLIC
1995-06-28,10.24,CLIC
1995-06-29,10.67,CLIC
1995-06-30,7.14,CLIC
1995-07-01,5.94,CLIC
1995-07-02,9.22,CLIC
1995-07-03,2.5,CLIC
1995-07-04,10.84,CLIC
1995-07-05,6.82,CLIC
1995-07-06,6.21,CLIC
1995-07-07,6.36,CLIC
1995-07-08,7.07,CLIC
1995-07-09,7.2,CLIC
1995-07-10,8.24,CLIC
1995-07-11,9.68,CLIC
1995-07-12,7.54,CLIC
1995-07-13,8.42,CLIC
1995-07-14,8.93,CLIC
1995-07-15,9.14,CLIC
1995-07-16,6.35,CLIC
1995-07-17,2.76,CLIC
1995-07-18,6.31,CLIC
1995-07-19,11.6,CLIC
1995-07-20,13.17,CLIC
1995-07-21,6.21,CLIC
1995-07-22,8.53,CLIC
1995-07-23,11.08,CLIC
1995-07-24,7.78,CLIC
1995-07-25,7.77,CLIC
1995-07-26,13.57,CLIC
1995-07-27,10.45,CLIC
1995-07-28,8.76,CLIC
1995-07-29,10.79,CLIC
1995-07-30,0.77,CLIC
1995-07-31,4.92,CLIC
1995-09-05,5.47,CLIC
1995-09-06,7.6,CLIC
1995-09-07,6.05,CLIC
1995-09-08,9.17,CLIC
1995-09-09,5.79,CLIC
1995-09-10,6,CLIC
1995-09-11,5.35,CLIC
1995-09-12,6.63,CLIC
1995-09-13,3.23,CLIC
1995-09-14,5.47,CLIC
1995-09-15,6.26,CLIC
1995-09-16,5.16,CLIC
1995-09-17,5.98,CLIC
1995-09-18,6.67,CLIC
1995-09-19,5.77,CLIC
1995-09-20,6.07,CLIC
1995-09-21,1.16,CLIC
1995-09-22,4,CLIC
1995-09-23,2.14,CLIC
1995-09-24,3.7,CLIC
1995-09-25,7.08,CLIC
1995-09-26,6.19,CLIC
1995-09-27,5.01,CLIC
1995-09-28,5.6,CLIC
1995-09-29,5.34,CLIC
1995-09-30,7.08,CLIC
1995-10-01,4.8,CLIC
1995-10-02,10.54,CLIC
1995-10-03,5.33,CLIC
1995-10-04,6.23,CLIC
1995-10-05,4.84,CLIC
1995-10-06,5.78,CLIC
1995-10-07,3.9,CLIC
1995-10-08,3.4,CLIC
1995-10-09,4.85,CLIC
1995-10-10,4.87,CLIC
1995-10-11,6.15,CLIC
1995-10-12,5.12,CLIC
1995-10-13,2.73,CLIC
1995-10-14,2.86,CLIC
1995-10-15,5.22,CLIC
1995-10-16,7.12,CLIC
1995-10-17,4.12,CLIC
1995-10-18,3.29,CLIC
1995-10-19,2.02,CLIC
1995-10-20,2.1,CLIC
1995-10-21,5.65,CLIC
1995-10-22,4.88,CLIC
1995-10-23,4.41,CLIC
1995-10-24,4.57,CLIC
1995-10-25,3.56,CLIC
1995-10-26,2.93,CLIC
1995-10-27,5.61,CLIC
1995-10-28,2.33,CLIC
1995-10-29,2.23,CLIC
1995-10-30,1.72,CLIC
1995-10-31,5.22,CLIC
1995-11-01,4.55,CLIC
1995-11-02,2.74,CLIC
1995-11-03,2.7,CLIC
1995-11-04,1.36,CLIC
1995-11-05,3.53,CLIC
1995-11-06,2.73,CLIC
1995-11-07,7.24,CLIC
1995-11-08,5.86,CLIC
1995-11-09,3.16,CLIC
1995-11-10,3.02,CLIC
1995-11-11,3.98,CLIC
1995-11-12,3.72,CLIC
1995-11-13,3.73,CLIC
1995-11-14,5.46,CLIC
1995-11-15,1.57,CLIC
1995-11-16,2.42,CLIC
1995-11-17,3.08,CLIC
1995-11-18,1.87,CLIC
1995-11-19,3.15,CLIC
1995-11-20,3.59,CLIC
1995-11-21,1.79,CLIC
1995-11-22,2.07,CLIC
1995-11-23,2.91,CLIC
1995-11-24,2.36,CLIC
1995-11-25,4.82,CLIC
1995-11-26,5.14,CLIC
1995-11-27,3.93,CLIC
1995-11-28,3.07,CLIC
1995-11-29,3.07,CLIC
1995-11-30,1.94,CLIC
1995-12-01,4.08,CLIC
1995-12-02,3.59,CLIC
1995-12-03,6.26,CLIC
1995-12-04,2.7,CLIC
1995-12-05,2.88,CLIC
1995-12-06,2.21,CLIC
1995-12-07,2.56,CLIC
1995-12-08,3.6,CLIC
1995-12-09,1.19,CLIC
1995-12-10,0.44,CLIC
1995-12-11,2.45,CLIC
1995-12-12,2.84,CLIC
1995-12-13,3.09,CLIC
1995-12-14,5.45,CLIC
1995-12-15,2.78,CLIC
1995-12-16,3.51,CLIC
1995-12-17,3.16,CLIC
1995-12-18,3.81,CLIC
1995-12-19,5.52,CLIC
1995-12-20,1.9,CLIC
1995-12-21,2.76,CLIC
1995-12-22,1.47,CLIC
1995-12-23,0.85,CLIC
1995-12-24,1.75,CLIC
1995-12-25,0.15,CLIC
1996-02-05,5.7,CLIC
1996-02-06,4.03,CLIC
1996-02-07,3.29,CLIC
1996-02-08,5.49,CLIC
1996-02-09,3.03,CLIC
1996-02-10,4.08,CLIC
1996-02-11,2,CLIC
1996-02-12,0.55,CLIC
1996-02-13,2.87,CLIC
1996-02-14,4.59,CLIC
1996-02-15,6,CLIC
1996-02-16,4.87,CLIC
1996-02-17,8.23,CLIC
1996-02-18,6.98,CLIC
1996-02-19,7.05,CLIC
1996-02-20,10.08,CLIC
1996-02-21,4.97,CLIC
1996-02-22,7.28,CLIC
1996-02-23,9.03,CLIC
1996-02-24,4.6,CLIC
1996-02-25,6.89,CLIC
1996-02-26,3.01,CLIC
1996-02-27,6.89,CLIC
1996-02-28,7.93,CLIC
1996-02-29,2.93,CLIC
1996-03-01,3.46,CLIC
1996-03-02,5.92,CLIC
1996-03-03,4.93,CLIC
1996-03-04,3.52,CLIC
1996-03-05,6.9,CLIC
1996-03-06,10.07,CLIC
1996-03-07,7.48,CLIC
1996-03-08,3.92,CLIC
1996-03-09,4.79,CLIC
1996-03-10,5.3,CLIC
1996-03-11,5.9,CLIC
1996-03-12,8.25,CLIC
1996-03-13,9.48,CLIC
1996-03-14,10.12,CLIC
1996-03-15,8.7,CLIC
1996-03-16,4.95,CLIC
1996-03-17,7.75,CLIC
1996-03-18,8.66,CLIC
1996-03-19,6.2,CLIC
1996-03-20,6.14,CLIC
1996-03-21,4.78,CLIC
1996-03-22,6.72,CLIC
1996-03-23,5.5,CLIC
1996-03-24,4.91,CLIC
1996-03-25,5.7,CLIC
1996-03-26,5.98,CLIC
1996-03-27,4.84,CLIC
1996-03-28,5.3,CLIC
1996-03-29,7.89,CLIC
1996-03-30,8.13,CLIC
1996-03-31,4.91,CLIC
1996-04-01,3.37,CLIC
1996-04-02,5.72,CLIC
1996-04-03,6.89,CLIC
1996-04-04,7.31,CLIC
1996-04-05,3.97,CLIC
1996-04-06,3.82,CLIC
1996-04-07,3.4,CLIC
1996-04-08,5.54,CLIC
1996-04-09,6.81,CLIC
1996-04-10,8.11,CLIC
1996-04-11,3.99,CLIC
1996-04-12,10.54,CLIC
1996-04-13,10.61,CLIC
1996-04-14,10.64,CLIC
1996-04-15,8.89,CLIC
1996-04-16,7.41,CLIC
1996-04-17,8.06,CLIC
1996-04-18,11.25,CLIC
1996-04-19,11.89,CLIC
1996-04-20,7.56,CLIC
1996-04-21,9.34,CLIC
1996-04-22,9.21,CLIC
1996-04-23,7.15,CLIC
1996-04-24,11.41,CLIC
1996-04-25,10.44,CLIC
1996-04-26,10.92,CLIC
1996-04-27,6.94,CLIC
1996-04-28,7.73,CLIC
1996-04-29,2.84,CLIC
1996-04-30,9.4,CLIC
1996-05-01,7.27,CLIC
1996-05-02,7.86,CLIC
1996-05-03,5.93,CLIC
1996-05-04,5.66,CLIC
1996-05-05,4.35,CLIC
1996-05-06,6.14,CLIC
1996-05-07,4.51,CLIC
1996-05-08,7.94,CLIC
1996-05-09,10.31,CLIC
1996-05-10,6.63,CLIC
1996-05-11,8.08,CLIC
1996-05-12,9.91,CLIC
1996-05-13,7.86,CLIC
1996-05-14,8.25,CLIC
1996-05-15,8.47,CLIC
1996-05-16,10.31,CLIC
1996-05-17,10.22,CLIC
1996-05-18,9.59,CLIC
1996-05-19,9.39,CLIC
1996-05-20,11.5,CLIC
1996-05-21,9.35,CLIC
1996-05-22,9.63,CLIC
1996-05-23,8.51,CLIC
1996-05-24,6.32,CLIC
1996-05-25,7.14,CLIC
1996-05-26,7.78,CLIC
1996-05-27,6.19,CLIC
1996-05-28,5,CLIC
1996-05-29,7.81,CLIC
1996-05-30,8.45,CLIC
1996-05-31,6.82,CLIC
1996-06-01,7.37,CLIC
1996-06-02,8.29,CLIC
1996-06-03,6.81,CLIC
1996-06-04,11.56,CLIC
1996-06-05,7.71,CLIC
1996-06-06,11.16,CLIC
1996-06-07,10.11,CLIC
1996-06-08,4.65,CLIC
1996-06-09,10.23,CLIC
1996-06-10,10.91,CLIC
1996-06-11,9.11,CLIC
1996-06-12,9.61,CLIC
1996-06-13,9.45,CLIC
1996-06-14,8.24,CLIC
1996-06-15,8,CLIC
1996-06-16,8.81,CLIC
1996-06-17,8.11,CLIC
1996-06-18,7.64,CLIC
1996-06-19,10.5,CLIC
1996-06-20,12.64,CLIC
1996-06-21,11.31,CLIC
1996-06-22,9.65,CLIC
1996-06-23,9.24,CLIC
1996-06-24,11.01,CLIC
1996-06-25,8.99,CLIC
1996-06-26,7.46,CLIC
1996-06-27,8.7,CLIC
1996-06-28,10.17,CLIC
1996-06-29,6.87,CLIC
1996-06-30,2.77,CLIC
1996-07-01,7.96,CLIC
1996-07-02,8.95,CLIC
1996-07-03,8.7,CLIC
1996-07-04,9.24,CLIC
1996-07-05,6.75,CLIC
1996-07-06,11.24,CLIC
1996-07-07,10.21,CLIC
1996-07-08,8.44,CLIC
1996-07-09,8.25,CLIC
1996-07-10,6.99,CLIC
1996-07-11,3.56,CLIC
1996-07-12,10.29,CLIC
1996-07-13,9.27,CLIC
1996-07-14,9.91,CLIC
1996-07-15,9.28,CLIC
1996-07-16,9.63,CLIC
1996-07-17,10.19,CLIC
1996-07-18,9.58,CLIC
1996-07-19,10.43,CLIC
1996-07-20,8.28,CLIC
1996-07-21,11.74,CLIC
1996-07-22,9.2,CLIC
1996-07-23,12.38,CLIC
1996-07-24,7.82,CLIC
1996-07-25,7.13,CLIC
1996-07-26,9.07,CLIC
1996-07-27,10.64,CLIC
1996-07-28,9.91,CLIC
1996-07-29,10.47,CLIC
1996-07-30,9.33,CLIC
1996-07-31,10.53,CLIC
1996-08-01,10.15,CLIC
1996-08-02,7.02,CLIC
1996-08-03,11.23,CLIC
1996-08-04,9.68,CLIC
1996-08-05,9.66,CLIC
1996-08-06,9.06,CLIC
1996-08-07,8.59,CLIC
1996-08-08,16.26,CLIC
1996-08-09,6.73,CLIC
1996-08-10,7.25,CLIC
1996-08-11,9.16,CLIC
1996-08-12,7.01,CLIC
1996-08-13,7.58,CLIC
1996-08-14,7.46,CLIC
1996-08-15,8.19,CLIC
1996-08-16,9.89,CLIC
1996-08-17,10.65,CLIC
1996-08-18,10.1,CLIC
1996-08-19,9.25,CLIC
1996-08-20,5.07,CLIC
1996-08-21,1.45,CLIC
1996-08-22,0.53,CLIC
1996-08-23,2.11,CLIC
1996-08-24,2.88,CLIC
1996-08-25,5.9,CLIC
1996-08-26,5.48,CLIC
1996-08-27,8.82,CLIC
1996-08-28,8.08,CLIC
1996-08-29,6.12,CLIC
1996-08-30,6.85,CLIC
1996-08-31,0.13,CLIC
1996-09-01,8.05,CLIC
1996-09-02,0.96,CLIC
1996-09-03,5.07,CLIC
1996-09-04,5.39,CLIC
1996-09-05,6.62,CLIC
1996-09-06,5.78,CLIC
1996-09-07,6.19,CLIC
1996-09-08,5.88,CLIC
1996-09-09,2.99,CLIC
1996-09-10,3.93,CLIC
1996-09-11,4.67,CLIC
1996-09-12,3.23,CLIC
1996-09-13,4.16,CLIC
1996-09-14,3.95,CLIC
1996-09-15,4.23,CLIC
1996-09-16,6.97,CLIC
1996-09-17,2.97,CLIC
1996-09-18,3.69,CLIC
1996-09-19,3.99,CLIC
1996-09-20,3.78,CLIC
1996-09-21,5.5,CLIC
1996-09-22,4.88,CLIC
1996-09-23,5.45,CLIC
1996-09-24,5.4,CLIC
1996-09-25,8.19,CLIC
1996-09-26,0.95,CLIC
1996-09-27,5.15,CLIC
1996-09-28,4.9,CLIC
1996-09-29,5.01,CLIC
1996-09-30,4.15,CLIC
1996-10-01,7,CLIC
1996-10-02,0.69,CLIC
1996-10-04,4.15,CLIC
1996-10-05,0.51,CLIC
1996-10-06,0.82,CLIC
1996-10-07,2.91,CLIC
1996-10-08,4.47,CLIC
1996-10-09,2.77,CLIC
1996-10-10,3.56,CLIC
1996-10-11,3.39,CLIC
1996-10-12,3.92,CLIC
1996-10-13,3.82,CLIC
1996-10-14,3.71,CLIC
1996-10-15,3.46,CLIC
1996-10-16,4.1,CLIC
1996-10-17,4.25,CLIC
1996-10-18,5.75,CLIC
1996-10-19,4.02,CLIC
1996-10-20,3.66,CLIC
1996-10-21,5.28,CLIC
1996-10-22,3.52,CLIC
1996-10-23,3.16,CLIC
1996-10-24,2.19,CLIC
1996-10-25,3.34,CLIC
1996-10-26,1.85,CLIC
1996-10-27,2.83,CLIC
1996-10-28,3.43,CLIC
1996-10-29,2.85,CLIC
1996-10-30,3.76,CLIC
1996-10-31,2.91,CLIC
1996-11-01,3.68,CLIC
1996-11-02,1.67,CLIC
1996-11-03,3.13,CLIC
