Estación: ,C19155,LA POZA. GALEANA
1988-01-08,2.05,CLIC
1988-01-09,2.99,CLIC
1988-01-10,1.02,CLIC
1988-01-11,2.02,CLIC
1988-01-12,1.02,CLIC
1988-01-13,2.02,CLIC
1988-01-14,3.02,CLIC
1988-01-15,2.5,CLIC
1988-01-16,2.03,CLIC
1988-01-17,1.02,CLIC
1988-01-18,2.02,CLIC
1988-01-19,1.02,CLIC
1988-01-20,1.03,CLIC
1988-01-21,1.97,CLIC
1988-01-22,3.08,CLIC
1988-01-23,2.02,CLIC
1988-01-24,2.02,CLIC
1988-01-25,3.02,CLIC
1988-01-26,2.02,CLIC
1988-01-27,2.02,CLIC
1988-01-28,4.03,CLIC
1988-01-29,2,CLIC
1988-01-30,2.04,CLIC
1988-01-31,2.05,CLIC
1988-02-01,2.07,CLIC
1988-02-02,4.37,CLIC
1988-02-03,2.02,CLIC
1988-02-04,1.02,CLIC
1988-02-05,2.13,CLIC
1988-02-06,2.95,CLIC
1988-02-07,1.04,CLIC
1988-02-08,1.01,CLIC
1988-02-09,2.01,CLIC
1988-02-10,2.25,CLIC
1988-02-11,2.35,CLIC
1988-02-12,1.92,CLIC
1988-02-13,1.08,CLIC
1988-02-14,4.01,CLIC
1988-02-15,1.89,CLIC
1988-02-16,1.35,CLIC
1988-02-17,2.3,CLIC
1988-02-18,3.03,CLIC
1988-02-19,1.03,CLIC
1988-02-20,3.01,CLIC
1988-02-21,2.5,CLIC
1988-02-22,2.95,CLIC
1988-02-23,1.15,CLIC
1988-02-24,2.03,CLIC
1988-02-25,3.14,CLIC
1988-02-26,2.76,CLIC
1988-02-27,1.02,CLIC
1988-02-28,3.12,CLIC
1988-02-29,4.03,CLIC
1988-03-01,1.85,CLIC
1988-03-02,3.45,CLIC
1988-03-03,1.03,CLIC
1988-03-04,2.02,CLIC
1988-03-05,2.05,CLIC
1988-03-06,2.03,CLIC
1988-03-07,2.75,CLIC
1988-03-08,3.06,CLIC
1988-03-09,3.45,CLIC
1988-03-10,2.1,CLIC
1988-03-11,3.17,CLIC
1988-03-12,2.08,CLIC
1988-03-13,0.98,CLIC
1988-03-14,2.11,CLIC
1988-03-15,0.45,CLIC
1988-03-16,4.04,CLIC
1988-03-17,2.04,CLIC
1988-03-18,1.99,CLIC
1988-03-19,3.02,CLIC
1988-03-20,3.05,CLIC
1988-03-21,4.02,CLIC
1988-03-22,2.18,CLIC
1988-03-23,3.16,CLIC
1988-03-24,2.28,CLIC
1988-03-25,4,CLIC
1988-03-26,3.25,CLIC
1988-03-27,2.35,CLIC
1988-03-28,4.04,CLIC
1988-03-29,3.04,CLIC
1988-03-30,2.01,CLIC
1988-03-31,1.03,CLIC
1988-04-01,3.77,CLIC
1988-04-02,3.29,CLIC
1988-04-03,3.1,CLIC
1988-04-04,4.04,CLIC
1988-04-05,1.65,CLIC
1988-04-06,3.45,CLIC
1988-04-07,3.01,CLIC
1988-04-08,2.13,CLIC
1988-04-09,3.32,CLIC
1988-04-10,2.03,CLIC
1988-04-11,3.05,CLIC
1988-04-12,3.16,CLIC
1988-04-13,1.85,CLIC
1988-04-14,2.08,CLIC
1988-04-15,2.17,CLIC
1988-04-16,1.03,CLIC
1988-04-17,2.25,CLIC
1988-04-18,1.45,CLIC
1988-04-19,3.02,CLIC
1988-04-20,2.55,CLIC
1988-04-21,2.02,CLIC
1988-04-22,4.27,CLIC
1988-04-23,5.16,CLIC
1988-04-24,4.36,CLIC
1988-04-25,1.95,CLIC
1988-04-26,3.09,CLIC
1988-04-27,3.15,CLIC
1988-04-28,3.04,CLIC
1988-04-29,2.03,CLIC
1988-04-30,2.18,CLIC
1988-05-01,2.25,CLIC
1988-05-02,3.67,CLIC
1988-05-03,2.75,CLIC
1988-05-04,3.25,CLIC
1988-05-05,3.03,CLIC
1988-05-06,2.96,CLIC
1988-05-07,2.45,CLIC
1988-05-08,4.5,CLIC
1988-05-09,3.75,CLIC
1988-05-10,4.25,CLIC
1988-05-11,3.2,CLIC
1988-05-12,2.1,CLIC
1988-05-13,2.03,CLIC
1988-05-14,1.62,CLIC
1988-05-15,3.02,CLIC
1988-05-16,3.03,CLIC
1988-05-17,3.45,CLIC
1988-05-18,2.26,CLIC
1988-05-19,2.85,CLIC
1988-05-20,3.15,CLIC
1988-05-21,3.25,CLIC
1988-05-22,2.92,CLIC
1988-05-23,1.11,CLIC
1988-05-24,3.42,CLIC
1988-05-25,3.34,CLIC
1988-05-26,2.87,CLIC
1988-05-27,2.02,CLIC
1988-05-28,3.03,CLIC
1988-05-29,2.16,CLIC
1988-05-30,3.07,CLIC
1988-05-31,1.98,CLIC
1988-06-01,2.02,CLIC
1988-06-02,2.03,CLIC
1988-06-03,3.03,CLIC
1988-06-04,3.03,CLIC
1988-06-05,2.02,CLIC
1988-06-06,1.99,CLIC
1988-06-07,4.03,CLIC
1988-06-08,1.21,CLIC
1988-06-09,2.2,CLIC
1988-06-10,2.04,CLIC
1988-06-11,2.04,CLIC
1988-06-12,3.02,CLIC
1988-06-13,3.03,CLIC
1988-06-14,3.02,CLIC
1988-06-15,1.02,CLIC
1988-06-16,5.02,CLIC
1988-06-17,1.02,CLIC
1988-06-18,4.02,CLIC
1988-06-19,1.03,CLIC
1988-06-20,3.03,CLIC
1988-06-21,3.03,CLIC
1988-06-22,4.04,CLIC
1988-06-23,4.04,CLIC
1988-06-24,3.04,CLIC
1988-06-25,2.02,CLIC
1988-06-26,3.17,CLIC
1988-06-27,4.28,CLIC
1988-06-28,2.68,CLIC
1988-06-29,3.06,CLIC
1988-06-30,0.96,CLIC
1988-07-01,2.04,CLIC
1988-07-02,2.03,CLIC
1988-07-03,3.03,CLIC
1988-07-04,4,CLIC
1988-07-05,4.05,CLIC
1988-07-06,2.02,CLIC
1988-07-07,2.03,CLIC
1988-07-08,2.03,CLIC
1988-07-09,3.02,CLIC
1988-07-10,2.03,CLIC
1988-07-11,2.02,CLIC
1988-07-12,1.01,CLIC
1988-07-13,2.01,CLIC
1988-07-14,4.03,CLIC
1988-07-15,2.31,CLIC
1988-07-16,1.1,CLIC
1988-07-17,1.97,CLIC
1988-07-18,3.06,CLIC
1988-07-19,2.24,CLIC
1988-07-20,1.02,CLIC
1988-07-21,2.02,CLIC
1988-07-22,2.02,CLIC
1988-07-23,2.01,CLIC
1988-07-24,3.03,CLIC
1988-07-25,2.02,CLIC
1988-07-26,3.02,CLIC
1988-07-27,2.03,CLIC
1988-07-28,2.01,CLIC
1988-07-29,2.01,CLIC
1988-07-30,3.87,CLIC
1988-07-31,2.23,CLIC
1988-08-01,4.1,CLIC
1988-08-02,2.03,CLIC
1988-08-03,3.85,CLIC
1988-08-04,2.35,CLIC
1988-08-05,1.03,CLIC
1988-08-06,1.98,CLIC
1988-08-07,1.13,CLIC
1988-08-08,2.02,CLIC
1988-08-09,5.03,CLIC
1988-08-10,2.31,CLIC
1988-08-11,5.16,CLIC
1988-08-12,2.95,CLIC
1988-08-13,3.15,CLIC
1988-08-14,4.17,CLIC
1988-08-15,2.18,CLIC
1988-08-16,3.01,CLIC
1988-08-17,3.19,CLIC
1988-08-18,3.46,CLIC
1988-08-19,2.05,CLIC
1988-08-20,1.86,CLIC
1988-08-21,2.46,CLIC
1988-08-22,2.17,CLIC
1988-08-23,2.12,CLIC
1988-08-24,2,CLIC
1988-08-25,2.13,CLIC
1988-08-26,3.26,CLIC
1988-08-27,3.3,CLIC
1988-08-28,2.16,CLIC
1988-08-29,2.46,CLIC
1988-08-30,1.7,CLIC
1988-08-31,2.1,CLIC
1988-09-01,1.75,CLIC
1988-09-02,3.01,CLIC
1988-09-03,2.08,CLIC
1988-09-04,2.15,CLIC
1988-09-05,1.55,CLIC
1988-09-06,2.27,CLIC
1988-09-07,1.95,CLIC
1988-09-08,1.71,CLIC
1988-09-09,2.09,CLIC
1988-09-10,2,CLIC
1988-09-11,1.9,CLIC
1988-09-12,2.04,CLIC
1988-09-13,2.34,CLIC
1988-09-14,2.04,CLIC
1988-09-15,2.21,CLIC
1988-09-16,0.96,CLIC
1988-09-17,1.23,CLIC
1988-09-18,1.37,CLIC
1988-09-19,3.15,CLIC
1988-09-20,3.4,CLIC
1988-09-21,2.27,CLIC
1988-09-22,2.75,CLIC
1988-09-23,4.08,CLIC
1988-09-24,3.75,CLIC
1988-09-25,3.15,CLIC
1988-09-26,4.04,CLIC
1988-09-27,1.75,CLIC
1988-09-28,3.01,CLIC
1988-09-29,2.94,CLIC
1988-09-30,3.87,CLIC
1988-10-01,2.14,CLIC
1988-10-02,1.77,CLIC
1988-10-03,2.23,CLIC
1988-10-04,2.01,CLIC
1988-10-05,1.03,CLIC
1988-10-06,1.01,CLIC
1988-10-07,2.11,CLIC
1988-10-08,1.92,CLIC
1988-10-09,2.02,CLIC
1988-10-10,2.09,CLIC
1988-10-11,1.03,CLIC
1988-10-12,1.16,CLIC
1988-10-13,2.01,CLIC
1988-10-14,2.09,CLIC
1988-10-15,1.45,CLIC
1988-10-16,2.02,CLIC
1988-10-17,2.01,CLIC
1988-10-18,1.75,CLIC
1988-10-19,2.03,CLIC
1988-10-20,2.15,CLIC
1988-10-21,2.31,CLIC
1988-10-22,3.02,CLIC
1988-10-23,2.08,CLIC
1988-10-24,2.04,CLIC
1988-10-25,2.75,CLIC
1988-10-26,3.37,CLIC
1988-10-27,3.15,CLIC
1988-10-28,2.07,CLIC
1988-10-29,3.1,CLIC
1988-11-01,2.7,CLIC
1988-11-02,3.04,CLIC
1988-11-03,4.05,CLIC
1988-11-04,3.03,CLIC
1988-11-05,4.01,CLIC
1988-11-06,2.03,CLIC
1988-11-07,2.2,CLIC
1988-11-08,3.4,CLIC
1988-11-09,4.02,CLIC
1988-11-10,1.02,CLIC
1988-11-11,3.03,CLIC
1988-11-12,2.09,CLIC
1988-11-13,1.15,CLIC
1988-11-14,3.02,CLIC
1988-11-15,3.75,CLIC
1988-11-16,3.07,CLIC
1988-11-17,4.04,CLIC
1988-11-18,1.03,CLIC
1988-11-19,3.03,CLIC
1988-11-20,2.02,CLIC
1988-11-21,3.03,CLIC
1988-11-22,3.35,CLIC
1988-11-23,4.02,CLIC
1988-11-24,2.03,CLIC
1988-11-25,3.02,CLIC
1988-11-26,2.05,CLIC
1988-11-27,2.02,CLIC
1988-11-28,1.01,CLIC
1988-11-29,1.02,CLIC
1988-11-30,1.02,CLIC
1988-12-01,1.3,CLIC
1988-12-02,3.03,CLIC
1988-12-03,3.02,CLIC
1988-12-04,2.02,CLIC
1988-12-05,0.85,CLIC
1988-12-06,2.04,CLIC
1988-12-07,2.02,CLIC
1988-12-08,2.03,CLIC
1988-12-09,2.03,CLIC
1988-12-10,1.02,CLIC
1988-12-11,2.02,CLIC
1988-12-12,3.03,CLIC
1988-12-13,1.02,CLIC
1988-12-14,1.02,CLIC
1988-12-15,2.03,CLIC
1988-12-16,2.02,CLIC
1988-12-17,3.02,CLIC
1988-12-18,1.02,CLIC
1988-12-19,3.02,CLIC
1988-12-20,3.01,CLIC
1988-12-21,2.23,CLIC
1988-12-22,2.03,CLIC
1988-12-23,1.03,CLIC
1988-12-24,2.02,CLIC
1988-12-25,1.02,CLIC
1988-12-26,2.02,CLIC
1988-12-27,2.02,CLIC
1988-12-28,2.02,CLIC
1988-12-29,2.02,CLIC
1988-12-30,1.02,CLIC
1988-12-31,1.32,CLIC
1990-09-01,4.06,CLIC
1990-09-02,3.04,CLIC
1990-09-03,3.06,CLIC
1990-09-04,1.04,CLIC
1990-09-05,4.03,CLIC
1990-09-06,3,CLIC
1990-09-07,4.04,CLIC
1990-09-08,4.01,CLIC
1990-09-09,4.8,CLIC
1990-09-10,3.9,CLIC
1990-09-11,1.08,CLIC
1990-09-12,4.05,CLIC
1990-09-13,3.02,CLIC
1990-09-14,2.04,CLIC
1990-09-15,2.03,CLIC
1990-09-16,4.04,CLIC
1990-09-17,3.03,CLIC
1990-09-18,1.94,CLIC
1990-09-19,3.02,CLIC
1990-09-20,3.06,CLIC
1990-09-21,2.96,CLIC
1990-09-22,4.9,CLIC
1990-09-23,2.03,CLIC
1990-09-24,1.02,CLIC
1990-09-25,2.03,CLIC
1990-09-26,2.06,CLIC
1990-09-27,2.02,CLIC
1990-09-28,2.05,CLIC
1990-09-29,2.99,CLIC
1990-09-30,2.96,CLIC
1990-10-01,3.04,CLIC
1990-10-02,4.04,CLIC
1990-10-03,1.01,CLIC
1990-10-04,2.01,CLIC
1990-10-05,3.03,CLIC
1990-10-06,4.04,CLIC
1990-10-07,1.03,CLIC
1990-10-08,2.04,CLIC
1990-10-09,3.03,CLIC
1990-10-10,3.02,CLIC
1990-10-11,3.02,CLIC
1990-10-12,4.08,CLIC
1990-10-13,2.03,CLIC
1990-10-14,3.02,CLIC
1990-10-15,2.03,CLIC
1990-10-16,3.05,CLIC
1990-10-17,1.01,CLIC
1990-10-18,2.01,CLIC
1990-10-19,1.02,CLIC
1990-10-20,1.02,CLIC
1990-10-21,2.02,CLIC
1990-10-22,3.04,CLIC
1990-10-23,2.04,CLIC
1990-10-24,2.03,CLIC
1990-10-25,3.01,CLIC
1990-10-26,2.03,CLIC
1990-10-27,3,CLIC
1990-10-28,1.09,CLIC
1990-10-29,1.01,CLIC
1990-10-30,1.06,CLIC
1990-10-31,2.01,CLIC
1990-11-01,2.03,CLIC
1990-11-02,3.03,CLIC
1990-11-03,1.03,CLIC
1990-11-04,5.03,CLIC
1990-11-05,3.04,CLIC
1990-11-06,4.07,CLIC
1990-11-07,5.02,CLIC
1990-11-08,4.05,CLIC
1990-11-09,5.03,CLIC
1990-11-10,3.04,CLIC
1990-11-11,4.06,CLIC
1990-11-12,3.01,CLIC
1990-11-13,2.02,CLIC
1990-11-14,4.03,CLIC
1990-11-15,4.04,CLIC
1990-11-16,1.03,CLIC
1990-11-17,2.02,CLIC
1990-11-18,3.04,CLIC
1990-11-19,2.03,CLIC
1990-11-20,3.03,CLIC
1990-11-21,1.04,CLIC
1990-11-22,2.02,CLIC
1990-11-23,2.03,CLIC
1990-11-24,2.06,CLIC
1990-11-25,5.05,CLIC
1990-11-26,2.03,CLIC
1990-11-27,5.04,CLIC
1990-11-28,4.03,CLIC
1990-11-29,2.03,CLIC
1990-11-30,2.08,CLIC
1990-12-01,4.03,CLIC
1990-12-02,3.03,CLIC
1990-12-03,2.94,CLIC
1990-12-04,4.03,CLIC
1990-12-05,5.06,CLIC
1990-12-06,6.04,CLIC
1990-12-07,2.03,CLIC
1990-12-08,3.03,CLIC
1990-12-09,2.01,CLIC
1990-12-10,3.04,CLIC
1990-12-11,5.06,CLIC
1990-12-12,7.07,CLIC
1990-12-13,5.04,CLIC
1990-12-14,4.06,CLIC
1990-12-15,3.04,CLIC
1990-12-16,4.06,CLIC
1990-12-17,8.04,CLIC
1990-12-18,7.08,CLIC
1990-12-19,3.03,CLIC
1990-12-20,4.03,CLIC
1990-12-21,3.03,CLIC
1990-12-22,3.06,CLIC
1990-12-23,2.03,CLIC
1990-12-24,6.04,CLIC
1990-12-25,3.01,CLIC
1990-12-26,1.02,CLIC
1990-12-27,4.01,CLIC
1990-12-28,4.03,CLIC
1990-12-29,4.04,CLIC
1990-12-30,3.04,CLIC
1990-12-31,2.05,CLIC
1991-01-01,3.05,CLIC
1991-01-02,4.04,CLIC
1991-01-03,4.04,CLIC
1991-01-04,2.03,CLIC
1991-01-05,2.02,CLIC
1991-01-06,5.05,CLIC
1991-01-07,3.02,CLIC
1991-01-08,2.08,CLIC
1991-01-09,2.02,CLIC
1991-01-10,4.05,CLIC
1991-01-11,3.02,CLIC
1991-01-12,3.02,CLIC
1991-01-13,5.02,CLIC
1991-01-14,2.03,CLIC
1991-01-15,2.03,CLIC
1991-01-16,4.01,CLIC
1991-01-17,5.03,CLIC
1991-01-18,4.06,CLIC
1991-01-19,3.03,CLIC
1991-01-20,3.04,CLIC
1991-01-21,2.03,CLIC
1991-01-22,2.02,CLIC
1991-01-23,1.3,CLIC
1991-01-24,3.1,CLIC
1991-01-25,4.05,CLIC
1991-01-26,2.03,CLIC
1991-01-27,3.03,CLIC
1991-01-28,2.06,CLIC
1991-01-29,3.01,CLIC
1991-01-30,3.03,CLIC
1991-01-31,2.9,CLIC
1992-01-01,4.03,CLIC
1992-01-02,1.03,CLIC
1992-01-03,2.02,CLIC
1992-01-04,3.02,CLIC
1992-01-05,4.04,CLIC
1992-01-06,1.02,CLIC
1992-01-07,1.02,CLIC
1992-01-08,1.31,CLIC
1992-01-09,3.91,CLIC
1992-01-10,2.05,CLIC
1992-01-11,2.03,CLIC
1992-01-12,1.02,CLIC
1992-01-13,2.02,CLIC
1992-01-14,1.03,CLIC
1992-01-15,1.01,CLIC
1992-01-16,2.61,CLIC
1992-01-17,3.22,CLIC
1992-01-18,2.71,CLIC
1992-01-19,2.2,CLIC
1992-01-20,1.2,CLIC
1992-01-21,0.9,CLIC
1992-01-22,2.03,CLIC
1992-01-23,3.04,CLIC
1992-01-24,4.31,CLIC
1992-01-25,1.01,CLIC
1992-01-26,1.01,CLIC
1992-01-27,2.02,CLIC
1992-01-28,2.82,CLIC
1992-01-29,1.71,CLIC
1992-01-30,1.01,CLIC
1992-01-31,0.95,CLIC
1992-02-01,2.08,CLIC
1992-02-02,6.02,CLIC
1992-02-03,4.05,CLIC
1992-02-04,1.96,CLIC
1992-02-05,1.06,CLIC
1992-02-06,2.02,CLIC
1992-02-07,2.02,CLIC
1992-02-08,4.02,CLIC
1992-02-09,7.05,CLIC
1992-02-10,2.03,CLIC
1992-02-11,1.65,CLIC
1992-02-12,1.05,CLIC
1992-02-13,3.04,CLIC
1992-02-14,1.01,CLIC
1992-02-15,1.02,CLIC
1992-02-16,4.02,CLIC
1992-02-17,2.05,CLIC
1992-02-18,2.99,CLIC
1992-02-19,1.02,CLIC
1992-02-20,2.02,CLIC
1992-02-21,1.01,CLIC
1992-02-22,2.02,CLIC
1992-02-23,3.01,CLIC
1992-02-24,3.04,CLIC
1992-02-25,2.01,CLIC
1992-02-26,3.02,CLIC
1992-02-27,2.01,CLIC
1992-02-28,0.4,CLIC
1992-02-29,1,CLIC
1992-03-01,2.06,CLIC
1992-03-02,2.03,CLIC
1992-03-03,1.02,CLIC
1992-03-04,1.97,CLIC
1992-03-05,1.01,CLIC
1992-03-06,2.02,CLIC
1992-03-07,2.01,CLIC
1992-03-08,2.04,CLIC
1992-03-09,2,CLIC
1992-03-10,2.03,CLIC
1992-03-11,1.01,CLIC
1992-03-12,1.02,CLIC
1992-03-13,2.02,CLIC
1992-03-14,1.44,CLIC
1992-03-15,1.01,CLIC
1992-03-16,2.02,CLIC
1992-03-17,1.02,CLIC
1992-03-18,2.01,CLIC
1992-03-19,1.03,CLIC
1992-03-20,2.02,CLIC
1992-03-21,1.01,CLIC
1992-03-22,2.02,CLIC
1992-03-23,2.01,CLIC
1992-03-24,2.02,CLIC
1992-03-25,1.02,CLIC
1992-03-26,3.02,CLIC
1992-03-27,2.02,CLIC
1992-03-28,2.03,CLIC
1992-03-29,1.01,CLIC
1992-03-30,2,CLIC
1992-03-31,1.6,CLIC
1992-04-01,3.03,CLIC
1992-04-02,2.02,CLIC
1992-04-03,1.01,CLIC
1992-04-04,2.01,CLIC
1992-04-05,1.3,CLIC
1992-04-06,1.1,CLIC
1992-04-07,2.1,CLIC
1992-04-08,2,CLIC
1992-04-09,1.08,CLIC
1992-04-10,0.97,CLIC
1992-04-11,1.02,CLIC
1992-04-12,1.01,CLIC
1992-04-13,2.02,CLIC
1992-04-14,2.02,CLIC
1992-04-15,4.01,CLIC
1992-04-16,2.02,CLIC
1992-04-17,1.02,CLIC
1992-04-18,1.01,CLIC
1992-04-19,2.03,CLIC
1992-04-20,2.02,CLIC
1992-04-21,3.02,CLIC
1992-04-22,2.02,CLIC
1992-04-23,2.02,CLIC
1992-04-24,2.02,CLIC
1992-04-25,2.01,CLIC
1992-04-26,2.2,CLIC
1992-04-27,1.2,CLIC
1992-04-28,1.1,CLIC
1992-04-29,2.1,CLIC
1992-04-30,2.03,CLIC
1992-05-01,3.03,CLIC
1992-05-02,1.02,CLIC
1992-05-03,1.03,CLIC
1992-05-04,1.01,CLIC
1992-05-05,2.03,CLIC
1992-05-06,3.02,CLIC
1992-05-07,1.01,CLIC
1992-05-08,2.02,CLIC
1992-05-09,2.95,CLIC
1992-05-10,2.07,CLIC
1992-05-11,3.04,CLIC
1992-05-12,1.02,CLIC
1992-05-13,2.01,CLIC
1992-05-14,1.97,CLIC
1992-05-15,3.07,CLIC
1992-05-16,0.2,CLIC
1992-05-17,1.2,CLIC
1992-05-18,0.68,CLIC
1992-05-19,2.03,CLIC
1992-05-20,1.02,CLIC
1992-05-21,2.02,CLIC
1992-05-22,2.02,CLIC
1992-05-23,2.02,CLIC
1992-05-24,3.03,CLIC
1992-05-25,2.03,CLIC
1992-05-26,1.02,CLIC
1992-05-27,2.02,CLIC
1992-05-28,1.01,CLIC
1992-05-29,2.01,CLIC
1992-05-30,2.02,CLIC
1992-05-31,2,CLIC
1992-06-01,2.02,CLIC
1992-06-02,1.01,CLIC
1992-06-03,0.2,CLIC
1992-06-04,0.9,CLIC
1992-06-05,1.02,CLIC
1992-06-06,2.02,CLIC
1992-06-07,1.01,CLIC
1992-06-08,2.02,CLIC
1992-06-09,1.01,CLIC
1992-06-10,4.06,CLIC
1992-06-11,2,CLIC
1992-06-12,5.04,CLIC
1992-06-13,5.1,CLIC
1992-06-14,4.01,CLIC
1992-06-15,6.06,CLIC
1992-06-16,2.02,CLIC
1992-06-17,1.03,CLIC
1992-06-18,1.02,CLIC
1992-06-19,1.02,CLIC
1992-06-20,1.01,CLIC
1992-06-21,3.01,CLIC
1992-06-22,2.03,CLIC
1992-06-23,2.06,CLIC
1992-06-24,2.02,CLIC
1992-06-25,2.01,CLIC
1992-06-26,2,CLIC
1992-06-27,2.01,CLIC
1992-06-28,1.2,CLIC
1992-06-29,1.1,CLIC
1992-06-30,1.01,CLIC
1992-07-01,3.03,CLIC
1992-07-02,2.04,CLIC
1992-07-03,1.13,CLIC
1992-07-04,1.92,CLIC
1992-07-05,5.03,CLIC
1992-07-06,2.04,CLIC
1992-07-07,3.03,CLIC
1992-07-08,2.01,CLIC
1992-07-09,3.02,CLIC
1992-07-10,2.03,CLIC
1992-07-11,2.4,CLIC
1992-07-12,5.03,CLIC
1992-07-13,6.2,CLIC
1992-07-14,2.59,CLIC
1992-07-15,2.31,CLIC
1992-07-16,2.84,CLIC
1992-07-17,3.59,CLIC
1992-07-18,3.04,CLIC
1992-07-19,7.04,CLIC
1992-07-20,2.32,CLIC
1992-07-21,5.02,CLIC
1992-07-22,4,CLIC
1992-07-23,2.03,CLIC
1992-07-24,3.01,CLIC
1992-07-25,1.31,CLIC
1992-07-26,2.21,CLIC
1992-07-27,3.02,CLIC
1992-07-28,2.21,CLIC
1992-07-29,3.22,CLIC
1992-07-30,2.6,CLIC
1992-07-31,3.45,CLIC
1992-08-01,2.02,CLIC
1992-08-02,2.65,CLIC
1992-08-03,3.03,CLIC
1992-08-04,1.08,CLIC
1992-08-05,1.98,CLIC
1992-08-06,3.07,CLIC
1992-08-07,2.21,CLIC
1992-08-08,2.12,CLIC
1992-08-09,1.89,CLIC
1992-08-10,2.01,CLIC
1992-08-11,2.26,CLIC
1992-08-12,2.7,CLIC
1992-08-13,3.3,CLIC
1992-08-14,3.5,CLIC
1992-08-15,2.9,CLIC
1992-08-16,1.97,CLIC
1992-08-17,2.45,CLIC
1992-08-18,3.07,CLIC
1992-08-19,2.04,CLIC
1992-08-20,2.02,CLIC
1992-08-21,2.45,CLIC
1992-08-22,1.98,CLIC
1992-08-23,2.04,CLIC
1992-08-24,3.01,CLIC
1992-08-25,1.89,CLIC
1992-08-26,3.02,CLIC
1992-08-27,4.42,CLIC
1992-08-28,2.02,CLIC
1992-08-29,1.99,CLIC
1992-08-30,5.03,CLIC
1992-08-31,4.12,CLIC
1992-09-01,3.36,CLIC
1992-09-02,3.02,CLIC
1992-09-03,2.05,CLIC
1992-09-04,2.02,CLIC
1992-09-05,3.03,CLIC
1992-09-06,2.02,CLIC
1992-09-07,1.02,CLIC
1992-09-08,2.02,CLIC
1992-09-09,2.02,CLIC
1992-09-10,2.02,CLIC
1992-09-11,3.01,CLIC
1992-09-12,2.03,CLIC
1992-09-13,2.01,CLIC
1992-09-14,1.02,CLIC
1992-09-15,2.03,CLIC
1992-09-16,3.02,CLIC
1992-09-17,0.2,CLIC
1992-09-18,2.2,CLIC
1992-09-19,3.1,CLIC
1992-09-20,2.56,CLIC
1992-09-21,3.03,CLIC
1992-09-22,2.06,CLIC
1992-09-23,1.02,CLIC
1992-09-24,1.01,CLIC
1992-09-25,1.01,CLIC
1992-09-26,1.02,CLIC
1992-09-27,1.01,CLIC
1992-09-28,2.02,CLIC
1992-09-29,3.04,CLIC
1992-09-30,3,CLIC
2000-11-01,2.74,CLIC
2000-11-02,4.1,CLIC
2000-11-03,2.66,CLIC
2000-11-04,2.65,CLIC
2000-11-05,3.71,CLIC
2000-11-06,2.84,CLIC
2000-11-07,4.09,CLIC
2000-11-08,1.75,CLIC
2000-11-09,2.89,CLIC
2000-11-10,4.72,CLIC
2000-11-11,6.26,CLIC
2000-11-12,2.19,CLIC
2000-11-13,2.3,CLIC
2000-11-14,2.82,CLIC
2000-11-15,4,CLIC
2000-11-16,5.12,CLIC
2000-11-17,2.55,CLIC
2000-11-18,2.26,CLIC
2000-11-19,2.17,CLIC
2000-11-20,1.56,CLIC
2000-11-21,3.12,CLIC
2000-11-22,3.36,CLIC
2000-11-23,1.01,CLIC
2000-11-24,3.48,CLIC
2000-11-25,4.2,CLIC
2000-11-26,1.97,CLIC
2000-11-27,2.05,CLIC
2000-11-28,3.04,CLIC
2000-11-29,2.45,CLIC
2000-11-30,3.67,CLIC
2000-12-01,3.58,CLIC
2000-12-02,7.87,CLIC
2000-12-03,0.87,CLIC
2000-12-04,17.76,CLIC
2000-12-05,4.89,CLIC
2000-12-06,0.71,CLIC
2000-12-07,0.32,CLIC
2000-12-08,6.06,CLIC
2000-12-09,0.03,CLIC
2000-12-10,10.24,CLIC
2000-12-11,5.37,CLIC
2000-12-12,1.05,CLIC
2000-12-13,0.54,CLIC
2000-12-14,10.21,CLIC
2000-12-15,0.18,CLIC
2000-12-16,8.24,CLIC
2000-12-17,0.08,CLIC
2000-12-18,2.18,CLIC
2000-12-19,0.8,CLIC
2000-12-20,9.45,CLIC
2000-12-21,0.1,CLIC
2000-12-22,4.99,CLIC
2000-12-23,4.06,CLIC
2000-12-24,4.7,CLIC
2000-12-25,9.94,CLIC
2000-12-26,5.36,CLIC
2000-12-27,4,CLIC
2000-12-28,5.8,CLIC
2000-12-29,5.2,CLIC
2000-12-30,4.49,CLIC
2000-12-31,5.15,CLIC
2001-01-01,4.9,CLIC
2001-01-02,1,CLIC
2001-01-03,2.23,CLIC
2001-01-04,1.02,CLIC
2001-01-05,1.99,CLIC
2001-01-06,7.41,CLIC
2001-01-07,0.3,CLIC
2001-01-08,1.02,CLIC
2001-01-09,5.38,CLIC
2001-01-10,0.03,CLIC
2001-01-11,1.02,CLIC
2001-01-12,2.94,CLIC
2001-01-13,8.66,CLIC
2001-01-14,0.95,CLIC
2001-01-15,2.01,CLIC
2001-01-16,9.04,CLIC
2001-01-17,1.1,CLIC
2001-01-18,3.95,CLIC
2001-01-19,1.2,CLIC
2001-01-20,0.25,CLIC
2001-01-21,0.7,CLIC
2001-01-22,1.95,CLIC
2001-01-23,0.97,CLIC
2001-01-24,1.5,CLIC
2001-01-25,6.87,CLIC
2001-01-26,10.07,CLIC
2001-01-27,0.11,CLIC
2001-01-28,1.91,CLIC
2001-01-29,4.3,CLIC
2001-01-30,2.24,CLIC
2001-01-31,2.5,CLIC
