Estación: ,C19032,LA CARBONERA. GALEANA
1984-04-30,6.74,CLIC
1984-05-01,11.06,CLIC
1984-05-02,13.57,CLIC
1984-05-03,10.62,CLIC
1984-05-04,9.25,CLIC
1984-05-05,12.16,CLIC
1984-05-06,9.56,CLIC
1984-05-07,8.91,CLIC
1984-05-08,7.68,CLIC
1984-05-09,5.74,CLIC
1984-05-10,6.32,CLIC
1984-05-11,8.48,CLIC
1984-05-12,6.69,CLIC
1984-05-13,5.99,CLIC
1984-05-14,5.32,CLIC
1984-05-15,1.6,CLIC
1984-05-16,2,CLIC
1984-05-17,3.3,CLIC
1984-05-18,4,CLIC
1984-05-19,5.76,CLIC
1984-05-20,5,CLIC
1984-05-21,7.95,CLIC
1984-05-22,6.7,CLIC
1984-05-23,7.17,CLIC
1984-05-24,8.84,CLIC
1984-05-25,7.17,CLIC
1984-05-26,6.01,CLIC
1984-05-27,6.87,CLIC
1984-05-28,6.22,CLIC
1984-05-29,6.19,CLIC
1984-05-30,6.54,CLIC
1984-05-31,6.28,CLIC
1985-03-01,3.8,CLIC
1985-03-02,4.27,CLIC
1985-03-03,5.67,CLIC
1985-03-04,9.17,CLIC
1985-03-05,7.29,CLIC
1985-03-06,4.76,CLIC
1985-03-07,6.15,CLIC
1985-03-08,6.88,CLIC
1985-03-09,7.61,CLIC
1985-03-10,6.9,CLIC
1985-03-11,6.5,CLIC
1985-03-12,4.9,CLIC
1985-03-13,5.7,CLIC
1985-03-14,3.55,CLIC
1985-03-15,5.45,CLIC
1985-03-16,5.1,CLIC
1985-03-17,5.85,CLIC
1985-03-18,5.25,CLIC
1985-03-19,2.55,CLIC
1985-03-20,6.1,CLIC
1985-03-21,6.4,CLIC
1985-03-22,4.55,CLIC
1985-03-23,5.5,CLIC
1985-03-24,4.85,CLIC
1985-03-25,4.1,CLIC
1985-03-26,5.13,CLIC
1985-03-27,4.32,CLIC
1985-03-28,3.84,CLIC
1985-03-29,6.35,CLIC
1985-03-30,7.38,CLIC
1985-03-31,6.28,CLIC
1985-04-01,3.4,CLIC
1985-04-02,4.9,CLIC
1985-04-03,3.9,CLIC
1985-04-04,4.3,CLIC
1985-04-05,3.8,CLIC
1985-04-06,3.1,CLIC
1985-04-07,3.3,CLIC
1985-04-08,4.6,CLIC
1985-04-09,3.8,CLIC
1985-04-10,2.9,CLIC
1985-04-11,2.7,CLIC
1985-04-12,3.2,CLIC
1985-04-13,4,CLIC
1985-04-14,3.3,CLIC
1985-04-15,4.6,CLIC
1985-04-16,4.9,CLIC
1985-04-17,7.1,CLIC
1985-04-18,3.2,CLIC
1985-04-19,7.5,CLIC
1985-04-20,3.2,CLIC
1985-04-21,6.4,CLIC
1985-04-22,3.4,CLIC
1985-04-23,5.1,CLIC
1985-04-24,5.3,CLIC
1985-04-25,4.3,CLIC
1985-04-26,4.5,CLIC
1985-04-27,4.2,CLIC
1985-04-28,4.2,CLIC
1985-04-29,5.5,CLIC
1985-04-30,7.6,CLIC
1985-05-01,5.4,CLIC
1985-05-02,6.2,CLIC
1985-05-03,5.3,CLIC
1985-05-04,3,CLIC
1985-05-05,6.5,CLIC
1985-05-06,4.4,CLIC
1985-05-07,6.7,CLIC
1985-05-08,6.5,CLIC
1985-05-09,7.5,CLIC
1985-05-10,7.7,CLIC
1985-05-11,6.1,CLIC
1985-05-12,7.4,CLIC
1985-05-13,8.3,CLIC
1985-05-14,7,CLIC
1985-05-15,7.9,CLIC
1985-05-16,3.4,CLIC
1985-05-17,5.2,CLIC
1985-05-18,3.9,CLIC
1985-05-19,3.2,CLIC
1985-05-20,3.8,CLIC
1985-05-21,4.1,CLIC
1985-05-22,5.1,CLIC
1985-05-23,6.1,CLIC
1985-05-24,4.9,CLIC
1985-05-25,1.1,CLIC
1985-05-26,3.9,CLIC
1985-05-27,4,CLIC
1985-05-28,7.3,CLIC
1985-05-29,7.3,CLIC
1985-05-30,9.2,CLIC
1985-05-31,8.1,CLIC
1985-06-01,9,CLIC
1985-06-02,7.8,CLIC
1985-06-03,6.9,CLIC
1985-06-04,8,CLIC
1985-06-05,6.1,CLIC
1985-06-06,5.1,CLIC
1985-06-07,4.2,CLIC
1985-06-08,5.7,CLIC
1985-06-09,9,CLIC
1985-06-10,7.8,CLIC
1985-06-11,4.4,CLIC
1985-06-12,3.9,CLIC
1985-06-13,4.6,CLIC
1985-06-14,3.2,CLIC
1985-06-15,5.9,CLIC
1985-06-16,5.2,CLIC
1985-06-17,4.9,CLIC
1985-06-18,4.6,CLIC
1985-06-19,3.2,CLIC
1985-06-20,4,CLIC
1985-06-21,2.8,CLIC
1985-06-22,3.9,CLIC
1985-06-23,3.1,CLIC
1985-06-24,3.6,CLIC
1985-06-25,2.1,CLIC
1985-06-26,3.1,CLIC
1985-06-27,3.7,CLIC
1985-06-28,3.4,CLIC
1985-06-29,3.1,CLIC
1985-06-30,3.8,CLIC
1985-07-01,2.2,CLIC
1985-07-02,7.5,CLIC
1985-07-03,3.5,CLIC
1985-07-04,3.2,CLIC
1985-07-05,2.2,CLIC
1985-07-06,4.9,CLIC
1985-07-07,9.1,CLIC
1985-07-08,5.7,CLIC
1985-07-09,4,CLIC
1985-07-10,3.4,CLIC
1985-07-11,6,CLIC
1985-07-12,6.4,CLIC
1985-07-13,4.5,CLIC
1985-07-14,5.1,CLIC
1985-07-15,3.7,CLIC
1985-07-16,1.3,CLIC
1985-07-17,2.7,CLIC
1985-07-18,5.1,CLIC
1985-07-19,6.2,CLIC
1985-07-20,7.1,CLIC
1985-07-21,6,CLIC
1985-07-22,6,CLIC
1985-07-23,5.7,CLIC
1985-07-24,1.9,CLIC
1985-07-25,1.3,CLIC
1985-07-26,2.9,CLIC
1985-07-27,9.1,CLIC
1985-07-28,7.9,CLIC
1985-07-29,6.4,CLIC
1985-07-30,6.2,CLIC
1985-07-31,2.7,CLIC
1985-08-01,5.8,CLIC
1985-08-02,6.1,CLIC
1985-08-03,6.1,CLIC
1985-08-04,3.4,CLIC
1985-08-05,4.6,CLIC
1985-08-06,5.4,CLIC
1985-08-07,7.8,CLIC
1985-08-08,7.1,CLIC
1985-08-09,5.1,CLIC
1985-08-10,4.2,CLIC
1985-08-11,6,CLIC
1985-08-12,6,CLIC
1985-08-13,3.9,CLIC
1985-08-14,2.4,CLIC
1985-08-15,3,CLIC
1985-08-16,1.9,CLIC
1985-08-17,6,CLIC
1985-08-18,4.5,CLIC
1985-08-19,6.4,CLIC
1985-08-20,7.4,CLIC
1985-08-21,7.3,CLIC
1985-08-22,6.8,CLIC
1985-08-23,4.7,CLIC
1985-08-24,6.9,CLIC
1985-08-25,6.1,CLIC
1985-08-26,6.1,CLIC
1985-08-27,6.9,CLIC
1985-08-28,8.5,CLIC
1985-08-29,4.3,CLIC
1985-08-30,6.2,CLIC
1985-08-31,4,CLIC
1985-09-01,6.6,CLIC
1985-09-02,5.8,CLIC
1985-09-03,5.3,CLIC
1985-09-04,5.3,CLIC
1985-09-05,2.9,CLIC
1985-09-06,2.6,CLIC
1985-09-07,4.7,CLIC
1985-09-08,5.2,CLIC
1985-09-09,6.6,CLIC
1985-09-10,4.5,CLIC
1985-09-11,2.2,CLIC
1985-09-12,4.1,CLIC
1985-09-13,5,CLIC
1985-09-14,6.3,CLIC
1985-09-15,5.5,CLIC
1985-09-16,5.9,CLIC
1985-09-17,7.9,CLIC
1985-09-18,6.3,CLIC
1985-09-19,6.1,CLIC
1985-09-20,5.3,CLIC
1985-09-21,5.7,CLIC
1985-09-22,5.3,CLIC
1985-09-23,4.7,CLIC
1985-09-24,5.7,CLIC
1985-09-25,3.3,CLIC
1985-09-26,2,CLIC
1985-09-27,3.2,CLIC
1985-09-28,4,CLIC
1985-09-29,3,CLIC
1985-09-30,4.8,CLIC
1985-10-01,2.1,CLIC
1985-10-02,4.4,CLIC
1985-10-03,3.9,CLIC
1985-10-04,3.6,CLIC
1985-10-05,5,CLIC
1985-10-06,4,CLIC
1985-10-07,2.2,CLIC
1985-10-08,4.3,CLIC
1985-10-09,5.1,CLIC
1985-10-10,5.2,CLIC
1985-10-11,3.4,CLIC
1985-10-12,3.3,CLIC
1985-10-13,4.2,CLIC
1985-10-14,3.2,CLIC
1985-10-15,2.4,CLIC
1985-10-16,2.7,CLIC
1985-10-17,4.1,CLIC
1985-10-18,3.8,CLIC
1985-10-19,3.7,CLIC
1985-10-20,3.5,CLIC
1985-10-21,2.7,CLIC
1985-10-22,2.1,CLIC
1985-10-23,1.7,CLIC
1985-10-24,6.4,CLIC
1985-10-25,5.9,CLIC
1985-10-26,4,CLIC
1985-10-27,4.8,CLIC
1985-10-28,3.4,CLIC
1985-10-29,4.8,CLIC
1985-10-30,5.9,CLIC
1985-10-31,5.1,CLIC
1985-11-01,4.5,CLIC
1985-11-02,3.4,CLIC
1985-11-03,1.4,CLIC
1985-11-04,2.9,CLIC
1985-11-05,3.4,CLIC
1985-11-06,3.4,CLIC
1985-11-07,2.8,CLIC
1985-11-08,2.7,CLIC
1985-11-09,4.2,CLIC
1985-11-10,4.1,CLIC
1985-11-11,4.5,CLIC
1985-11-12,5.1,CLIC
1985-11-13,3.8,CLIC
1985-11-14,2.8,CLIC
1985-11-15,2.2,CLIC
1985-11-16,3.7,CLIC
1985-11-17,2.8,CLIC
1985-11-18,3.3,CLIC
1985-11-19,3.1,CLIC
1985-11-20,2.9,CLIC
1985-11-21,3.3,CLIC
1985-11-22,4.4,CLIC
1985-11-23,4.3,CLIC
1985-11-24,4.3,CLIC
1985-11-25,5.7,CLIC
1985-11-26,4.8,CLIC
1985-11-27,4.4,CLIC
1985-11-28,3.8,CLIC
1985-11-29,3,CLIC
1985-11-30,4.5,CLIC
1985-12-01,4.5,CLIC
1985-12-02,4.9,CLIC
1985-12-03,5,CLIC
1985-12-04,5,CLIC
1985-12-05,4.3,CLIC
1985-12-06,5.7,CLIC
1985-12-07,3.4,CLIC
1985-12-08,4.5,CLIC
1985-12-09,4,CLIC
1985-12-10,4.2,CLIC
1985-12-11,3.8,CLIC
1985-12-12,3.5,CLIC
1985-12-13,3.6,CLIC
1985-12-14,3.2,CLIC
1985-12-15,4.7,CLIC
1985-12-16,4.2,CLIC
1985-12-17,4.2,CLIC
1985-12-18,4.8,CLIC
1985-12-19,4,CLIC
1985-12-20,4.5,CLIC
1985-12-21,3.8,CLIC
1985-12-22,3.9,CLIC
1985-12-23,4.7,CLIC
1985-12-24,3.6,CLIC
1985-12-25,4.5,CLIC
1985-12-26,2.9,CLIC
1985-12-27,3.5,CLIC
1985-12-28,3.5,CLIC
1985-12-29,3.4,CLIC
1985-12-30,2,CLIC
1985-12-31,4.9,CLIC
1986-04-01,5.21,CLIC
1986-04-02,6.77,CLIC
1986-04-03,5.44,CLIC
1986-04-04,6.37,CLIC
1986-04-05,6.38,CLIC
1986-04-06,5.66,CLIC
1986-04-07,5.24,CLIC
1986-04-08,2.63,CLIC
1986-04-09,7.12,CLIC
1986-04-10,6.45,CLIC
1986-04-11,6.91,CLIC
1986-04-12,7.88,CLIC
1986-04-13,6.11,CLIC
1986-04-14,6.35,CLIC
1986-04-15,6.32,CLIC
1986-04-16,5.5,CLIC
1986-04-17,4.98,CLIC
1986-04-18,6.58,CLIC
1986-04-19,5.24,CLIC
1986-04-20,5.39,CLIC
1986-04-21,5.48,CLIC
1986-04-22,5.63,CLIC
1986-04-23,5.9,CLIC
1986-04-24,5.72,CLIC
1986-04-25,5.28,CLIC
1986-04-26,3.85,CLIC
1986-04-27,4.99,CLIC
1986-04-28,3.66,CLIC
1986-04-29,4.28,CLIC
1986-04-30,4.37,CLIC
1986-05-01,4.83,CLIC
1986-05-02,5.55,CLIC
1986-05-03,4.8,CLIC
1986-05-04,5.4,CLIC
1986-05-05,4.25,CLIC
1986-05-06,4.93,CLIC
1986-05-07,5.52,CLIC
1986-05-08,4.55,CLIC
1986-05-09,5.13,CLIC
1986-05-10,5.84,CLIC
1986-05-11,5.76,CLIC
1986-05-12,5.72,CLIC
1986-05-13,5.54,CLIC
1986-05-14,5.95,CLIC
1986-05-15,5.19,CLIC
1986-05-16,6.48,CLIC
1986-05-17,5.18,CLIC
1986-05-18,5.27,CLIC
1986-05-19,5.96,CLIC
1986-05-20,6.29,CLIC
1986-05-21,5.6,CLIC
1986-05-22,5.32,CLIC
1986-05-23,6.13,CLIC
1986-05-24,5.82,CLIC
1986-05-25,7.08,CLIC
1986-05-26,7.72,CLIC
1986-05-27,7.13,CLIC
1986-05-28,6.05,CLIC
1986-05-29,5.36,CLIC
1986-05-30,5.75,CLIC
1986-05-31,5.88,CLIC
1986-06-01,4.61,CLIC
1986-06-02,4.38,CLIC
1986-06-03,4.62,CLIC
1986-06-04,3.39,CLIC
1986-06-05,2.24,CLIC
1986-06-06,3.36,CLIC
1986-06-07,4.62,CLIC
1986-06-08,5.81,CLIC
1986-06-09,3.57,CLIC
1986-06-10,2.76,CLIC
1986-06-11,5.3,CLIC
1986-06-12,3.06,CLIC
1986-06-13,2.46,CLIC
1986-06-14,4.46,CLIC
1986-06-15,2.3,CLIC
1986-06-16,3.2,CLIC
1986-06-17,3.75,CLIC
1986-06-18,3.13,CLIC
1986-06-19,3.96,CLIC
1986-06-20,3.13,CLIC
1986-06-21,3.17,CLIC
1986-06-22,3.55,CLIC
1986-06-23,2.68,CLIC
1986-06-24,2.52,CLIC
1986-06-25,2.97,CLIC
1986-06-26,2.79,CLIC
1986-06-27,2.38,CLIC
1986-06-28,3.6,CLIC
1986-06-29,2.94,CLIC
1986-06-30,6.62,CLIC
1986-07-01,3.78,CLIC
1986-07-02,3.71,CLIC
1986-07-03,3.39,CLIC
1986-07-04,4.42,CLIC
1986-07-05,4.86,CLIC
1986-07-06,5.71,CLIC
1986-07-07,7.56,CLIC
1986-07-08,4.28,CLIC
1986-07-09,4.12,CLIC
1986-07-10,4.13,CLIC
1986-07-11,4.23,CLIC
1986-07-12,4.2,CLIC
1986-07-13,4.23,CLIC
1986-07-14,3.97,CLIC
1986-07-15,4.64,CLIC
1986-07-16,3.58,CLIC
1986-07-17,3.64,CLIC
1986-07-18,5.55,CLIC
1986-07-19,5.15,CLIC
1986-07-20,5.99,CLIC
1986-07-21,5.24,CLIC
1986-07-22,5.22,CLIC
1986-07-23,5.3,CLIC
1986-07-24,5.28,CLIC
1986-07-25,5.53,CLIC
1986-07-26,4.89,CLIC
1986-07-27,4.08,CLIC
1986-07-28,4.27,CLIC
1986-07-29,5.97,CLIC
1986-07-30,6.45,CLIC
1986-07-31,7.85,CLIC
1986-08-01,4.91,CLIC
1986-08-02,6.15,CLIC
1986-08-03,5.08,CLIC
1986-08-04,6.59,CLIC
1986-08-05,6.8,CLIC
1986-08-06,5.69,CLIC
1986-08-07,4.29,CLIC
1986-08-08,4.05,CLIC
1986-08-09,5.07,CLIC
1986-08-10,4.79,CLIC
1986-08-11,5.43,CLIC
1986-08-12,5.7,CLIC
1986-08-13,5.33,CLIC
1986-08-14,5.34,CLIC
1986-08-15,5.56,CLIC
1986-08-16,6.71,CLIC
1986-08-17,4.96,CLIC
1986-08-18,4.4,CLIC
1986-08-19,6.27,CLIC
1986-08-20,6.23,CLIC
1986-08-21,6.52,CLIC
1986-08-22,3.07,CLIC
1986-08-23,3.15,CLIC
1986-08-24,4.2,CLIC
1986-08-25,4.33,CLIC
1986-08-26,5.26,CLIC
1986-08-27,4.42,CLIC
1986-08-28,5.05,CLIC
1986-08-29,4.14,CLIC
1986-08-30,5.28,CLIC
1986-08-31,3.97,CLIC
1986-09-01,4.77,CLIC
1986-09-02,2.75,CLIC
1986-09-03,6.69,CLIC
1986-09-04,4.19,CLIC
1986-09-05,3.91,CLIC
1986-09-06,4.4,CLIC
1986-09-07,6.21,CLIC
1986-09-08,3.75,CLIC
1986-09-09,4.24,CLIC
1986-09-10,3.85,CLIC
1986-09-11,4.33,CLIC
1986-09-12,4.12,CLIC
1986-09-13,6.7,CLIC
1986-09-14,6.85,CLIC
1986-09-15,3.93,CLIC
1986-09-16,6.36,CLIC
1986-09-17,6.02,CLIC
1986-09-18,6.25,CLIC
1986-09-19,6.23,CLIC
1986-09-20,5.89,CLIC
1986-09-21,4.25,CLIC
1986-09-22,5.15,CLIC
1986-09-23,5.22,CLIC
1986-09-24,4.55,CLIC
1986-09-25,4.55,CLIC
1986-09-26,4.48,CLIC
1986-09-27,4.55,CLIC
1986-09-28,4.46,CLIC
1986-09-29,5.5,CLIC
1986-09-30,5.31,CLIC
1986-10-01,5.7,CLIC
1986-10-02,4.5,CLIC
1986-10-03,4.6,CLIC
1986-10-04,5.13,CLIC
1986-10-05,4.16,CLIC
1986-10-06,5.26,CLIC
1986-10-07,4.75,CLIC
1986-10-08,4.13,CLIC
1986-10-09,4.31,CLIC
1986-10-10,4.43,CLIC
1986-10-11,3.95,CLIC
1986-10-12,4.18,CLIC
1986-10-13,4.82,CLIC
1986-10-14,4.63,CLIC
1986-10-15,4.08,CLIC
1986-10-16,4.4,CLIC
1986-10-17,4.1,CLIC
1986-10-18,4.9,CLIC
1986-10-19,3.6,CLIC
1986-10-20,4.5,CLIC
1986-10-21,3.47,CLIC
1986-10-22,3.32,CLIC
1986-10-23,3.57,CLIC
1986-10-24,3.57,CLIC
1986-10-25,3.71,CLIC
1986-10-26,3.51,CLIC
1986-10-27,3.84,CLIC
1986-10-28,3.86,CLIC
1986-10-29,3.48,CLIC
1986-10-30,4.2,CLIC
1986-10-31,4.06,CLIC
1986-11-01,3.29,CLIC
1986-11-02,3.94,CLIC
1986-11-03,4.07,CLIC
1986-11-04,4.05,CLIC
1986-11-05,3.95,CLIC
1986-11-06,3.63,CLIC
1986-11-07,3.12,CLIC
1986-11-08,3.95,CLIC
1986-11-09,3.38,CLIC
1986-11-10,4.4,CLIC
1986-11-11,3.43,CLIC
1986-11-12,4.09,CLIC
1986-11-13,4.72,CLIC
1986-11-14,3.04,CLIC
1986-11-15,3.74,CLIC
1986-11-16,3.73,CLIC
1986-11-17,3.3,CLIC
1986-11-18,3.54,CLIC
1986-11-19,3.52,CLIC
1986-11-20,4.67,CLIC
1986-11-21,3.95,CLIC
1986-11-22,2.95,CLIC
1986-11-23,4.02,CLIC
1986-11-24,5.02,CLIC
1986-11-25,4.06,CLIC
1986-11-26,3.65,CLIC
1986-11-27,3.17,CLIC
1986-11-28,2.91,CLIC
1986-11-29,2.88,CLIC
1986-11-30,2.68,CLIC
1986-12-01,3.44,CLIC
1986-12-02,4.09,CLIC
1986-12-03,2.89,CLIC
1986-12-04,1.61,CLIC
1986-12-05,3.39,CLIC
1986-12-06,2,CLIC
1986-12-07,2.33,CLIC
1986-12-08,2.72,CLIC
1986-12-09,2.85,CLIC
1986-12-10,2.15,CLIC
1986-12-11,2.74,CLIC
1986-12-12,2.34,CLIC
1986-12-13,2.16,CLIC
1986-12-14,1.94,CLIC
1986-12-15,2.25,CLIC
1986-12-16,2.13,CLIC
1986-12-17,2.06,CLIC
1986-12-18,2.46,CLIC
1986-12-19,2.12,CLIC
1986-12-20,2.34,CLIC
1986-12-21,2.56,CLIC
1986-12-22,2.46,CLIC
1986-12-23,1.85,CLIC
1986-12-24,1.51,CLIC
1986-12-25,2.16,CLIC
1986-12-26,2.3,CLIC
1986-12-27,2.25,CLIC
1986-12-28,2.27,CLIC
1986-12-29,2.28,CLIC
1986-12-30,1.41,CLIC
1986-12-31,1.55,CLIC
1987-01-01,1.64,CLIC
1987-01-02,1.33,CLIC
1987-01-03,1.62,CLIC
1987-01-04,1.88,CLIC
1987-01-05,2.24,CLIC
1987-01-06,4.13,CLIC
1987-01-07,2.6,CLIC
1987-01-08,2.87,CLIC
1987-01-09,1.29,CLIC
1987-01-10,2.9,CLIC
1987-01-11,1.88,CLIC
1987-01-12,1.1,CLIC
1987-01-13,0.34,CLIC
1987-01-14,0.61,CLIC
1987-01-15,1.05,CLIC
1987-01-16,1.44,CLIC
1987-01-17,1.85,CLIC
1987-01-18,2.26,CLIC
1987-01-19,1.89,CLIC
1987-01-20,2.25,CLIC
1987-01-21,2.25,CLIC
1987-01-22,2.51,CLIC
1987-01-23,1.04,CLIC
1987-01-24,1.28,CLIC
1987-01-25,1.85,CLIC
1987-01-26,3.72,CLIC
1987-01-27,3.3,CLIC
1987-01-28,4.08,CLIC
1987-01-29,3.23,CLIC
1987-01-30,3.48,CLIC
1987-01-31,2.69,CLIC
1987-07-01,5.3,CLIC
1987-07-02,5.13,CLIC
1987-07-03,5.86,CLIC
1987-07-04,4.95,CLIC
1987-07-05,5.1,CLIC
1987-07-06,5.44,CLIC
1987-07-07,6.17,CLIC
1987-07-08,5.57,CLIC
1987-07-09,5.72,CLIC
1987-07-10,5.21,CLIC
1987-07-11,5.85,CLIC
1987-07-12,5.18,CLIC
1987-07-13,6.34,CLIC
1987-07-14,5.39,CLIC
1987-07-15,5.4,CLIC
1987-07-16,5.59,CLIC
1987-07-17,4.52,CLIC
1987-07-18,5.29,CLIC
1987-07-19,4.96,CLIC
1987-07-20,5.24,CLIC
1987-07-21,5.34,CLIC
1987-07-22,5.4,CLIC
1987-07-23,5.16,CLIC
1987-07-24,5.49,CLIC
1987-07-25,4.36,CLIC
1987-07-26,4.08,CLIC
1987-07-27,4.86,CLIC
1987-07-28,4.31,CLIC
1987-07-29,4.4,CLIC
1987-07-30,4.74,CLIC
1987-07-31,4.47,CLIC
1987-08-01,4.32,CLIC
1987-08-02,4.95,CLIC
1987-08-03,5.52,CLIC
1987-08-04,4.11,CLIC
1987-08-05,4,CLIC
1987-08-06,4.78,CLIC
1987-08-07,5.21,CLIC
1987-08-08,4.95,CLIC
1987-08-09,5.29,CLIC
1987-08-10,5.47,CLIC
1987-08-11,6.63,CLIC
1987-08-12,3.65,CLIC
1987-08-13,3.03,CLIC
1987-08-14,6.23,CLIC
1987-08-15,6.31,CLIC
1987-08-16,6.48,CLIC
1987-08-17,6.58,CLIC
1987-08-18,7.2,CLIC
1987-08-19,5.94,CLIC
1987-08-20,6.49,CLIC
1987-08-21,6.84,CLIC
1987-08-22,6.71,CLIC
1987-08-23,5.81,CLIC
1987-08-24,5.86,CLIC
1987-08-25,6.44,CLIC
1987-08-26,5.31,CLIC
1987-08-27,6.56,CLIC
1987-08-28,5.84,CLIC
1987-08-29,5.65,CLIC
1987-08-30,5.75,CLIC
1987-08-31,6.05,CLIC
1987-09-01,3.36,CLIC
1987-09-02,4.86,CLIC
1987-09-03,3.98,CLIC
1987-09-04,3.25,CLIC
1987-09-05,4.34,CLIC
1987-09-06,5.38,CLIC
1987-09-07,6.12,CLIC
1987-09-08,6.73,CLIC
1987-09-09,5.63,CLIC
1987-09-10,6.55,CLIC
1987-09-11,7.7,CLIC
1987-09-12,5.05,CLIC
1987-09-13,8.27,CLIC
1987-09-14,7.31,CLIC
1987-09-15,7.11,CLIC
1987-09-16,6.58,CLIC
1987-09-17,7.13,CLIC
1987-09-18,4.18,CLIC
1987-09-19,4.81,CLIC
1987-09-20,4.07,CLIC
1987-09-21,4.05,CLIC
1987-09-22,3.1,CLIC
1987-09-23,4.79,CLIC
1987-09-24,5.25,CLIC
1987-09-25,4.28,CLIC
1987-09-26,4.65,CLIC
1987-09-27,5.41,CLIC
1987-09-28,3.57,CLIC
1987-09-29,4.61,CLIC
1987-09-30,3.37,CLIC
1987-10-01,4.89,CLIC
1987-10-02,3.92,CLIC
1987-10-03,4.9,CLIC
1987-10-04,6.93,CLIC
1987-10-05,4.31,CLIC
1987-10-06,4.97,CLIC
1987-10-07,7.47,CLIC
1987-10-08,8.38,CLIC
1987-10-09,2.92,CLIC
1987-10-10,5.44,CLIC
1987-10-11,5.52,CLIC
1987-10-12,4.94,CLIC
1987-10-13,4.03,CLIC
1987-10-14,4.92,CLIC
1987-10-15,5.05,CLIC
1987-10-16,4.64,CLIC
1987-10-17,5.04,CLIC
1987-10-18,4.74,CLIC
1987-10-19,4.27,CLIC
1987-10-20,4.82,CLIC
1987-10-21,3.99,CLIC
1987-10-22,3.81,CLIC
1987-10-23,4.04,CLIC
1987-10-24,4.21,CLIC
1987-10-25,4.15,CLIC
1987-10-26,4.11,CLIC
1987-10-27,4.08,CLIC
1987-10-28,3.99,CLIC
1987-10-29,2.83,CLIC
1987-10-30,3.9,CLIC
1987-10-31,4.44,CLIC
1987-11-01,4.16,CLIC
1987-11-02,4.09,CLIC
1987-11-03,3.56,CLIC
1987-11-04,4.15,CLIC
1987-11-05,4.53,CLIC
1987-11-06,3.72,CLIC
1987-11-07,3.78,CLIC
1987-11-08,3.52,CLIC
1987-11-09,2.97,CLIC
1987-11-10,2.62,CLIC
1987-11-11,2.27,CLIC
1987-11-12,2.78,CLIC
1987-11-13,2.25,CLIC
1987-11-14,3.92,CLIC
1987-11-15,5.48,CLIC
1987-11-16,3.53,CLIC
1987-11-17,3.66,CLIC
1987-11-18,3.05,CLIC
1987-11-19,3.28,CLIC
1987-11-20,4.55,CLIC
1987-11-21,4.42,CLIC
1987-11-22,3.61,CLIC
1987-11-23,2.8,CLIC
1987-11-24,2.62,CLIC
1987-11-25,2.92,CLIC
1987-11-26,3.01,CLIC
1987-11-27,3.22,CLIC
1987-11-28,3.96,CLIC
1987-11-29,2.81,CLIC
1987-11-30,2.38,CLIC
1987-12-01,2.76,CLIC
1987-12-02,2.94,CLIC
1987-12-03,2.92,CLIC
1987-12-04,3.75,CLIC
1987-12-05,3.23,CLIC
1987-12-06,4.94,CLIC
1987-12-07,4.61,CLIC
1987-12-08,3.92,CLIC
1987-12-09,3.69,CLIC
1987-12-10,4.57,CLIC
1987-12-11,4.11,CLIC
1987-12-12,3.83,CLIC
1987-12-13,3.49,CLIC
1987-12-14,3.82,CLIC
1987-12-15,3.86,CLIC
1987-12-16,3.04,CLIC
1987-12-17,2.9,CLIC
1987-12-18,2.38,CLIC
1987-12-19,2.41,CLIC
1987-12-20,2.16,CLIC
1987-12-21,2.39,CLIC
1987-12-22,2.56,CLIC
1987-12-23,3.1,CLIC
1987-12-24,2.34,CLIC
1987-12-25,3.65,CLIC
1987-12-26,4.34,CLIC
1987-12-27,3.86,CLIC
1987-12-28,3.61,CLIC
1987-12-29,3.2,CLIC
1987-12-30,2.55,CLIC
1987-12-31,2.49,CLIC
1988-01-01,1.74,CLIC
1988-01-02,1.66,CLIC
1988-01-03,2.75,CLIC
1988-01-04,1.89,CLIC
1988-01-05,1.75,CLIC
1988-01-06,2.2,CLIC
1988-01-07,1.44,CLIC
1988-01-08,3.5,CLIC
1988-01-09,2.84,CLIC
1988-01-10,2.55,CLIC
1988-01-11,2.54,CLIC
1988-01-12,3.49,CLIC
1988-01-13,3.7,CLIC
1988-01-14,3.35,CLIC
1988-01-15,2.28,CLIC
1988-01-16,2.6,CLIC
1988-01-17,4.44,CLIC
1988-01-18,5.4,CLIC
1988-01-19,7.58,CLIC
1988-01-20,7.75,CLIC
1988-01-21,6.4,CLIC
1988-01-22,2.66,CLIC
1988-01-23,3.49,CLIC
1988-01-24,2.22,CLIC
1988-01-25,2.29,CLIC
1988-01-26,0.96,CLIC
1988-01-27,7.36,CLIC
1988-01-28,3.45,CLIC
1988-01-29,3.67,CLIC
1988-01-30,3.73,CLIC
1988-01-31,3.75,CLIC
1988-02-01,5.33,CLIC
1988-02-02,5.04,CLIC
1988-02-03,4.49,CLIC
1988-02-04,4.17,CLIC
1988-02-05,4.54,CLIC
1988-02-06,2.45,CLIC
1988-02-07,1.87,CLIC
1988-02-08,2.94,CLIC
1988-02-09,4.12,CLIC
1988-02-10,5.45,CLIC
1988-02-11,3.04,CLIC
1988-02-12,2.49,CLIC
1988-02-13,2.96,CLIC
1988-02-14,4.69,CLIC
1988-02-15,5.38,CLIC
1988-02-16,5.04,CLIC
1988-02-17,6.26,CLIC
1988-02-18,4.49,CLIC
