Estación: ,C19050,RAICES. GALEANA
1997-10-11,3.49,CLIC
1997-10-12,3,CLIC
1997-10-13,4.9,CLIC
1997-10-14,7.1,CLIC
1997-10-15,3.9,CLIC
1997-10-16,4,CLIC
1997-10-17,4.95,CLIC
1997-10-18,5.25,CLIC
1997-10-19,4.9,CLIC
1997-10-20,5.15,CLIC
1997-10-21,4.92,CLIC
1997-10-22,4.92,CLIC
1997-10-23,0.5,CLIC
1997-10-24,4.59,CLIC
1997-10-25,4.21,CLIC
1997-10-26,2.7,CLIC
1997-10-27,1.22,CLIC
1997-10-28,0.23,CLIC
1997-10-29,1.92,CLIC
1997-10-30,0.9,CLIC
1997-10-31,4.14,CLIC
1997-11-01,2.96,CLIC
1997-11-02,3,CLIC
1997-11-03,0.73,CLIC
1997-11-04,2.7,CLIC
1997-11-05,5.2,CLIC
1997-11-06,1.2,CLIC
1997-11-07,0.5,CLIC
1997-11-08,7.1,CLIC
1997-11-09,3.43,CLIC
1997-11-10,3.99,CLIC
1997-11-11,5.38,CLIC
1997-11-12,8.19,CLIC
1997-11-13,8.05,CLIC
1997-11-14,8.05,CLIC
1997-11-15,0.17,CLIC
1997-11-16,0.98,CLIC
1997-11-17,1.37,CLIC
1997-11-18,1.01,CLIC
1997-11-19,1.08,CLIC
1997-11-20,2.07,CLIC
1997-11-21,1.98,CLIC
1997-11-22,0.95,CLIC
1997-11-23,0.8,CLIC
1997-11-24,1.35,CLIC
1997-11-25,1.03,CLIC
1997-11-26,2.12,CLIC
1997-11-27,2.03,CLIC
1997-11-28,3.07,CLIC
1997-11-29,2.91,CLIC
1997-11-30,2.09,CLIC
1997-12-01,2.95,CLIC
1997-12-02,3.08,CLIC
1997-12-03,3.03,CLIC
1997-12-04,2.03,CLIC
1997-12-05,0.27,CLIC
1997-12-06,3.07,CLIC
1997-12-07,2.07,CLIC
1997-12-08,3.02,CLIC
1997-12-09,3.02,CLIC
1997-12-10,1.04,CLIC
1997-12-11,1,CLIC
1997-12-12,0.37,CLIC
1997-12-13,0.84,CLIC
1997-12-14,2.91,CLIC
1997-12-15,2.2,CLIC
1997-12-16,1.95,CLIC
1997-12-17,2.1,CLIC
1997-12-18,2.93,CLIC
1997-12-19,2.02,CLIC
1997-12-20,2.96,CLIC
1997-12-21,3.09,CLIC
1997-12-22,2.01,CLIC
1997-12-23,3.99,CLIC
1997-12-24,2.05,CLIC
1997-12-25,3,CLIC
1997-12-26,0.3,CLIC
1997-12-27,2.2,CLIC
1997-12-28,2.1,CLIC
1997-12-29,2.05,CLIC
1997-12-30,3.02,CLIC
1997-12-31,4.95,CLIC
2001-06-07,8.66,CLIC
2001-06-08,9,CLIC
2001-06-09,5.1,CLIC
2001-06-10,3.01,CLIC
2001-06-11,1.02,CLIC
2001-06-12,1.39,CLIC
2001-06-13,9.25,CLIC
2001-06-14,1.99,CLIC
2001-06-15,8.58,CLIC
2001-06-16,4.14,CLIC
2001-06-17,6.6,CLIC
2001-06-18,7.37,CLIC
2001-06-19,3.52,CLIC
2001-06-20,4.3,CLIC
2001-06-21,6.54,CLIC
2001-06-22,7.32,CLIC
2001-06-23,2.01,CLIC
2001-06-24,8.44,CLIC
2001-06-25,3.04,CLIC
2001-06-26,1.89,CLIC
2001-06-27,2.39,CLIC
2001-06-28,3.12,CLIC
2001-06-29,4.98,CLIC
2001-06-30,4.48,CLIC
2001-07-01,4.26,CLIC
2001-07-02,3.6,CLIC
2001-07-03,2.3,CLIC
2001-07-04,5.33,CLIC
2001-07-05,4.32,CLIC
2001-07-06,2.26,CLIC
2001-07-07,2.82,CLIC
2001-07-08,10.74,CLIC
2001-07-09,2,CLIC
2001-07-10,8.19,CLIC
2001-07-11,7.52,CLIC
2001-07-12,6.5,CLIC
2001-07-13,7.48,CLIC
2001-07-14,5.8,CLIC
2001-07-15,4.9,CLIC
2001-07-16,8.3,CLIC
2001-07-17,10.17,CLIC
2001-07-18,2.96,CLIC
2001-07-19,6,CLIC
2001-07-20,6.54,CLIC
2001-07-21,1.13,CLIC
2001-07-22,1.11,CLIC
2001-07-23,4.32,CLIC
2001-07-24,8.16,CLIC
2001-07-25,6.7,CLIC
2001-07-26,2.69,CLIC
2001-07-27,2.86,CLIC
2001-07-28,3.91,CLIC
2001-07-29,3.1,CLIC
2001-07-30,1.2,CLIC
2001-07-31,2.29,CLIC
2001-08-01,4.89,CLIC
2001-08-02,8,CLIC
2001-08-03,3.94,CLIC
2001-08-04,6.03,CLIC
2001-08-05,7.87,CLIC
2001-08-06,4.53,CLIC
2001-08-07,4.93,CLIC
2001-08-08,2.06,CLIC
2001-08-09,4.56,CLIC
2001-08-10,2.93,CLIC
2001-08-11,1.96,CLIC
2001-08-12,4.96,CLIC
2001-08-13,1.1,CLIC
2001-08-14,2.07,CLIC
2001-08-15,8.72,CLIC
2001-08-16,9.67,CLIC
2001-08-17,5.03,CLIC
2001-08-18,4.31,CLIC
2001-08-19,3.65,CLIC
2001-08-20,7.41,CLIC
2001-08-21,2.9,CLIC
2001-08-22,6.1,CLIC
2001-08-23,4.38,CLIC
2001-08-24,1.91,CLIC
2001-08-25,8.91,CLIC
2001-08-26,2.66,CLIC
2001-08-27,4.88,CLIC
2001-08-28,6.38,CLIC
2001-08-29,4.89,CLIC
2001-08-30,6.4,CLIC
2001-08-31,1.63,CLIC
2001-09-01,5.17,CLIC
2001-09-02,1.9,CLIC
2001-09-03,2.1,CLIC
2001-09-04,6.7,CLIC
2001-09-05,12.7,CLIC
2001-09-06,1.9,CLIC
2001-09-07,9.71,CLIC
2001-09-08,4.97,CLIC
2001-09-09,1.09,CLIC
2001-09-10,2.56,CLIC
2001-09-11,4.41,CLIC
2001-09-12,1.09,CLIC
2001-09-13,4.69,CLIC
2001-09-14,5.09,CLIC
2001-09-15,4.92,CLIC
2001-09-16,1.38,CLIC
2001-09-17,14.08,CLIC
2001-09-18,4.31,CLIC
2001-09-19,5.41,CLIC
2001-09-20,3.4,CLIC
2001-09-21,2.31,CLIC
2001-09-22,1.92,CLIC
2001-09-23,5.43,CLIC
2001-09-24,6.01,CLIC
2001-09-25,1.18,CLIC
2001-09-26,2,CLIC
2001-09-27,5.11,CLIC
2001-09-28,3.51,CLIC
2001-09-29,2.65,CLIC
2001-09-30,5.86,CLIC
2001-10-01,1.16,CLIC
2001-10-02,1.2,CLIC
2001-10-03,4.08,CLIC
2001-10-07,1.18,CLIC
2001-10-08,6.76,CLIC
2001-10-09,3.08,CLIC
2001-10-10,1.9,CLIC
2001-10-11,2.13,CLIC
2001-10-12,3.71,CLIC
2001-10-13,1.2,CLIC
2001-10-14,2.36,CLIC
2001-10-15,1.5,CLIC
2001-10-16,2.41,CLIC
2001-10-17,3.3,CLIC
2001-10-18,1.86,CLIC
2001-10-19,2.74,CLIC
2001-10-20,5.18,CLIC
2001-10-21,2.58,CLIC
2001-10-22,4,CLIC
2001-10-23,2.88,CLIC
2001-10-24,3.56,CLIC
2001-10-25,0.99,CLIC
2001-10-26,1.93,CLIC
2001-10-27,5.3,CLIC
2001-10-28,7.14,CLIC
2001-10-29,6,CLIC
2001-10-30,1.71,CLIC
2001-10-31,3.52,CLIC
2001-11-01,1.86,CLIC
2001-11-02,2.02,CLIC
2001-11-03,3,CLIC
2001-11-04,1.91,CLIC
2001-11-05,3.2,CLIC
2001-11-06,2.55,CLIC
2001-11-07,3.2,CLIC
2001-11-08,2.12,CLIC
2001-11-09,7.05,CLIC
2001-11-10,3.63,CLIC
2001-11-11,1.76,CLIC
2001-11-12,3.36,CLIC
2001-11-13,4.67,CLIC
2001-11-14,2.12,CLIC
2001-11-15,4.19,CLIC
2001-11-16,1.5,CLIC
2001-11-17,4.66,CLIC
2001-11-18,4.05,CLIC
2001-11-19,7.81,CLIC
2001-11-20,1.46,CLIC
2001-11-21,1.19,CLIC
2001-11-22,2.68,CLIC
2001-11-23,1.2,CLIC
2001-11-24,4.51,CLIC
2001-11-25,1.76,CLIC
2001-11-26,1.51,CLIC
2001-11-27,2.6,CLIC
2001-11-28,1.6,CLIC
2001-11-29,6.91,CLIC
2001-11-30,2.33,CLIC
2001-12-01,1.36,CLIC
2001-12-03,1.58,CLIC
2001-12-04,5.22,CLIC
2001-12-05,4.35,CLIC
2001-12-06,5.1,CLIC
2001-12-07,2.08,CLIC
2001-12-08,1.82,CLIC
2001-12-09,1.44,CLIC
2001-12-10,1.6,CLIC
2001-12-11,1.4,CLIC
2001-12-12,2.3,CLIC
2001-12-13,2.07,CLIC
2001-12-14,1.82,CLIC
2001-12-15,1.11,CLIC
2001-12-16,2.86,CLIC
2001-12-17,2.12,CLIC
2001-12-18,1.95,CLIC
2001-12-19,1.74,CLIC
2001-12-20,1.7,CLIC
2001-12-21,4.13,CLIC
2001-12-22,2.5,CLIC
2001-12-23,2.5,CLIC
2001-12-24,2.03,CLIC
2001-12-25,3.02,CLIC
2001-12-26,1.89,CLIC
2001-12-27,1.56,CLIC
2001-12-28,1.65,CLIC
2001-12-29,1.35,CLIC
2001-12-30,3.41,CLIC
2001-12-31,1.88,CLIC
2002-01-01,2.86,CLIC
2002-01-02,1.6,CLIC
2002-01-03,2.54,CLIC
2002-01-04,3.11,CLIC
2002-01-05,1.56,CLIC
2002-01-06,1.4,CLIC
2002-01-07,1.6,CLIC
2002-01-08,2.8,CLIC
2002-01-09,2.5,CLIC
2002-01-10,1.9,CLIC
2002-01-11,1.4,CLIC
2002-01-12,1.1,CLIC
2002-01-13,1.7,CLIC
2002-01-14,1.3,CLIC
2002-01-15,2.3,CLIC
2002-01-16,1.95,CLIC
2002-01-17,1.74,CLIC
2002-01-18,2.08,CLIC
2002-01-19,1.82,CLIC
2002-01-20,2.03,CLIC
2002-01-22,4.61,CLIC
2002-01-23,4.83,CLIC
2002-01-24,2.11,CLIC
2002-01-25,3.14,CLIC
2002-01-26,4.8,CLIC
2002-01-27,3.63,CLIC
2002-01-28,2.07,CLIC
2002-01-29,1.78,CLIC
2002-01-30,4.59,CLIC
2002-01-31,4.14,CLIC
2002-02-01,4.99,CLIC
2002-02-02,2.5,CLIC
2002-02-03,1.48,CLIC
2002-02-04,3.08,CLIC
2002-02-05,1.33,CLIC
2002-02-06,6.52,CLIC
2002-02-07,3.64,CLIC
2002-02-08,2.43,CLIC
2002-02-09,2.35,CLIC
2002-02-10,1.56,CLIC
2002-02-11,2.5,CLIC
2002-02-12,1.85,CLIC
2002-02-13,3.11,CLIC
2002-02-14,3.14,CLIC
2002-02-15,2,CLIC
2002-02-16,1.56,CLIC
2002-02-17,2.57,CLIC
2002-02-18,1.33,CLIC
2002-02-19,4.74,CLIC
2002-02-20,3.08,CLIC
2002-02-21,3.21,CLIC
2002-02-22,4.65,CLIC
2002-02-24,3.6,CLIC
2002-02-25,2.73,CLIC
2002-02-26,1.53,CLIC
2002-02-27,1.33,CLIC
2002-02-28,3.07,CLIC
2002-03-01,1.86,CLIC
2002-03-02,3.12,CLIC
2002-03-03,2.9,CLIC
2002-03-04,1.36,CLIC
2002-03-05,2.36,CLIC
2002-03-06,2,CLIC
2002-03-07,3.74,CLIC
2002-03-08,3.73,CLIC
2002-03-09,7.88,CLIC
2002-03-10,5.21,CLIC
2002-03-11,3.09,CLIC
2002-03-12,3.1,CLIC
2002-03-13,6.74,CLIC
2002-03-14,7.86,CLIC
2002-03-15,3.3,CLIC
2002-03-16,5.97,CLIC
2002-03-17,1.04,CLIC
2002-03-18,1.22,CLIC
2002-03-19,2.12,CLIC
2002-03-20,2.45,CLIC
2002-03-21,1.03,CLIC
2002-03-22,1.9,CLIC
2002-03-23,2.9,CLIC
2002-03-24,2.1,CLIC
2002-03-25,2.14,CLIC
2002-03-26,1.9,CLIC
2002-03-27,3.21,CLIC
2002-03-28,3,CLIC
2002-03-29,4.69,CLIC
2002-03-30,5.24,CLIC
2002-03-31,2.09,CLIC
2002-04-01,4.14,CLIC
2002-04-02,2.22,CLIC
2002-04-03,1.34,CLIC
2002-04-04,2.26,CLIC
2002-04-05,2.25,CLIC
2002-04-06,1.25,CLIC
2002-04-07,2.72,CLIC
2002-04-08,2.11,CLIC
2002-04-09,2.1,CLIC
2002-04-10,4,CLIC
2002-04-11,2.02,CLIC
2002-04-12,2.49,CLIC
2002-04-13,2.35,CLIC
2002-04-14,1.35,CLIC
2002-04-15,1.11,CLIC
2002-04-16,2.91,CLIC
2002-04-17,3.1,CLIC
2002-04-18,1.1,CLIC
2002-04-19,2.61,CLIC
2002-04-20,1.61,CLIC
2002-04-21,1,CLIC
2002-04-22,2.03,CLIC
2002-04-23,2.33,CLIC
2002-04-24,1.37,CLIC
2002-04-25,1.89,CLIC
2002-04-26,4.63,CLIC
2002-04-27,7.63,CLIC
2002-04-28,4.45,CLIC
2002-04-29,5.12,CLIC
2002-04-30,4.18,CLIC
2002-05-02,9.6,CLIC
2002-05-03,10.01,CLIC
2002-05-04,7.91,CLIC
2002-05-05,10.41,CLIC
2002-05-06,4.93,CLIC
2002-05-07,9.59,CLIC
2002-05-08,4.59,CLIC
2002-05-09,3,CLIC
2002-05-10,1.54,CLIC
2002-05-11,2.02,CLIC
2002-05-12,2.21,CLIC
2002-05-13,4.1,CLIC
2002-05-14,1.9,CLIC
2002-05-15,4.05,CLIC
2002-05-16,3.13,CLIC
2002-05-17,2.01,CLIC
2002-05-18,5.11,CLIC
2002-05-19,3.21,CLIC
2002-05-20,5.04,CLIC
2002-05-21,3.45,CLIC
2002-05-22,4.35,CLIC
2002-05-23,7.14,CLIC
2002-05-24,2,CLIC
2002-05-25,3.25,CLIC
2002-05-26,3.72,CLIC
2002-05-27,3.67,CLIC
2002-05-28,5.3,CLIC
2002-05-29,3.24,CLIC
2002-05-30,7.95,CLIC
2002-05-31,9.95,CLIC
2002-06-01,11.64,CLIC
2002-06-02,5.24,CLIC
2002-06-03,7.75,CLIC
2002-06-04,2.5,CLIC
2002-06-05,5.5,CLIC
2002-06-06,7.75,CLIC
2002-06-07,3.47,CLIC
2002-06-08,2.85,CLIC
2002-06-09,2.14,CLIC
2002-06-10,4.01,CLIC
2002-06-18,10.7,CLIC
2002-06-19,7.35,CLIC
2002-06-20,5.75,CLIC
2002-06-21,4.93,CLIC
2002-06-22,8.75,CLIC
2002-07-01,5,CLIC
2002-07-02,2.14,CLIC
2002-07-03,3.26,CLIC
2002-07-04,4.01,CLIC
2002-07-05,2,CLIC
2002-07-06,3.02,CLIC
2002-07-07,4.12,CLIC
2002-07-08,2.45,CLIC
2002-07-09,3.9,CLIC
2002-07-10,3.65,CLIC
2002-07-11,3,CLIC
2002-07-12,1.38,CLIC
2002-07-13,8.54,CLIC
2002-07-14,3.43,CLIC
2002-07-15,5.01,CLIC
2002-07-16,6.16,CLIC
2002-07-17,2.02,CLIC
2002-07-18,1.41,CLIC
2002-07-19,8.32,CLIC
2002-07-20,3.01,CLIC
2002-07-21,1.97,CLIC
2002-07-22,2.3,CLIC
2002-07-23,3.34,CLIC
2002-07-24,2.13,CLIC
2002-07-25,4.3,CLIC
2002-07-26,6.14,CLIC
2002-07-27,5.41,CLIC
2002-07-28,3.46,CLIC
2002-07-29,5.14,CLIC
2002-07-30,2.46,CLIC
2002-07-31,4.25,CLIC
2002-08-01,3.47,CLIC
2002-08-02,5,CLIC
2002-08-03,2.3,CLIC
2002-08-04,1.65,CLIC
2002-08-05,4.2,CLIC
2002-08-06,3.15,CLIC
2002-08-07,5.26,CLIC
2002-08-08,2.4,CLIC
2002-08-09,4.15,CLIC
2002-08-10,2.46,CLIC
2002-08-11,5.1,CLIC
2002-08-13,1.55,CLIC
2002-08-14,3.4,CLIC
2002-08-15,2.45,CLIC
2002-08-16,3.25,CLIC
2002-08-17,5.2,CLIC
2002-08-18,4.6,CLIC
2002-08-19,1.5,CLIC
2002-08-20,3.6,CLIC
2002-08-21,1.7,CLIC
2002-08-22,2.4,CLIC
2002-08-23,3.5,CLIC
2002-08-24,4.6,CLIC
2002-08-25,2.5,CLIC
2002-08-26,1.65,CLIC
2002-08-27,3.4,CLIC
2002-08-28,1.6,CLIC
2002-08-29,1,CLIC
2002-08-30,1.6,CLIC
2002-08-31,2,CLIC
2002-09-01,1.7,CLIC
2002-09-02,3.6,CLIC
2002-09-03,2.45,CLIC
2002-09-04,4.35,CLIC
2002-09-05,2.6,CLIC
2002-09-06,5,CLIC
2002-09-07,3.26,CLIC
2002-09-08,4.01,CLIC
2002-09-09,2,CLIC
2002-09-10,1,CLIC
2002-09-11,2.35,CLIC
2002-09-12,3.9,CLIC
2002-09-13,3.45,CLIC
2002-09-14,2.6,CLIC
2002-09-15,1.35,CLIC
2002-09-16,3.3,CLIC
2002-09-17,1.45,CLIC
2002-09-18,2.55,CLIC
2002-09-19,1.65,CLIC
2002-09-20,4.35,CLIC
2002-09-21,3.7,CLIC
2002-09-22,2.45,CLIC
2002-09-23,4.25,CLIC
2002-09-24,3,CLIC
2002-09-26,1.45,CLIC
2002-09-27,4.15,CLIC
2002-09-28,3.4,CLIC
2002-09-29,2.45,CLIC
2002-09-30,1.45,CLIC
2003-08-01,2.17,CLIC
2003-08-02,2.11,CLIC
2003-08-03,2.97,CLIC
2003-08-04,4.01,CLIC
2003-08-05,10.29,CLIC
2003-08-06,3.92,CLIC
2003-08-07,0.26,CLIC
2003-08-08,7.73,CLIC
2003-08-09,8.4,CLIC
2003-08-10,7.43,CLIC
2003-08-11,4,CLIC
2004-05-01,2.14,CLIC
2004-05-02,1.46,CLIC
2004-05-03,2.34,CLIC
2004-05-04,1.46,CLIC
2004-05-05,3.4,CLIC
2004-05-06,2.14,CLIC
2004-05-07,4.25,CLIC
2004-05-08,1.46,CLIC
2004-05-09,2.34,CLIC
2004-05-10,4.3,CLIC
2004-05-11,2.36,CLIC
2004-05-20,3.4,CLIC
2004-05-21,2.6,CLIC
2004-05-22,5.4,CLIC
2004-05-23,3.1,CLIC
2004-05-24,6.38,CLIC
2004-05-25,2.1,CLIC
2004-05-26,6.2,CLIC
2004-05-27,5.14,CLIC
