Estación: ,C19173,LOS PALMITOS. CADEREYTA
1992-10-19,2.46,CLIC
1992-10-20,3.68,CLIC
1992-10-21,2.85,CLIC
1992-10-22,3.58,CLIC
1992-10-23,2.88,CLIC
1992-10-24,3.17,CLIC
1992-10-25,2.92,CLIC
1992-10-26,3.04,CLIC
1992-10-27,3.77,CLIC
1992-10-28,4.26,CLIC
1992-10-29,3.99,CLIC
1992-10-30,5.94,CLIC
1992-10-31,3.06,CLIC
1992-11-01,5.06,CLIC
1992-11-02,3.48,CLIC
1992-11-03,5.61,CLIC
1992-11-04,4.24,CLIC
1992-11-05,6.19,CLIC
1992-11-06,4.4,CLIC
1992-11-07,0.3,CLIC
1992-11-08,1.8,CLIC
1992-11-09,7.01,CLIC
1992-11-10,3.08,CLIC
1992-11-11,2.31,CLIC
1992-11-12,3.4,CLIC
1992-11-13,3.3,CLIC
1992-11-14,1.4,CLIC
1992-11-15,1.2,CLIC
1992-11-16,3.4,CLIC
1992-11-17,2.8,CLIC
1992-11-18,3.45,CLIC
1992-11-19,2.6,CLIC
1992-11-20,3.52,CLIC
1992-11-21,6.33,CLIC
1992-11-22,3.65,CLIC
1992-11-23,2.29,CLIC
1992-11-24,3.74,CLIC
1992-11-25,2.96,CLIC
1992-11-26,2.48,CLIC
1992-11-27,3.34,CLIC
1992-11-28,2.92,CLIC
1992-11-29,1.12,CLIC
1992-11-30,2.12,CLIC
1992-12-01,2.97,CLIC
1992-12-02,2.71,CLIC
1992-12-03,3.28,CLIC
1992-12-04,1.78,CLIC
1992-12-05,0.92,CLIC
1992-12-06,1.3,CLIC
1992-12-07,2.88,CLIC
1992-12-08,2.32,CLIC
1992-12-09,2.2,CLIC
1992-12-10,3.55,CLIC
1992-12-11,1.59,CLIC
1992-12-12,2.45,CLIC
1992-12-13,0.35,CLIC
1992-12-14,1.37,CLIC
1992-12-15,2.71,CLIC
1992-12-16,1.36,CLIC
1992-12-17,2.02,CLIC
1992-12-18,2.35,CLIC
1992-12-19,2.44,CLIC
1992-12-20,1.97,CLIC
1992-12-21,0.74,CLIC
1992-12-22,0.51,CLIC
1992-12-23,0.75,CLIC
1992-12-24,0.64,CLIC
1992-12-25,1.67,CLIC
1992-12-26,2.32,CLIC
1992-12-27,0.17,CLIC
1992-12-28,2.05,CLIC
1992-12-29,2.76,CLIC
1992-12-30,1.63,CLIC
1992-12-31,0.36,CLIC
1993-03-01,3.55,CLIC
1993-03-02,2.12,CLIC
1993-03-03,1.17,CLIC
1993-03-04,0.51,CLIC
1993-03-05,0.75,CLIC
1993-03-06,4.12,CLIC
1993-03-07,2.38,CLIC
1993-03-08,4.65,CLIC
1993-03-09,5.18,CLIC
1993-03-10,6.35,CLIC
1993-03-11,6.85,CLIC
1993-03-12,3.74,CLIC
1993-03-13,4.9,CLIC
1993-03-14,2.9,CLIC
1993-03-15,2.7,CLIC
1993-03-16,3.25,CLIC
1993-03-17,3.13,CLIC
1993-03-18,2.72,CLIC
1993-03-19,3.09,CLIC
1993-03-20,6.22,CLIC
1993-03-21,2.12,CLIC
1993-03-22,2.67,CLIC
1993-03-23,3.88,CLIC
1993-03-24,2.62,CLIC
1993-03-25,0.53,CLIC
1993-03-26,3.87,CLIC
1993-03-27,2.93,CLIC
1993-03-28,3.97,CLIC
1993-03-29,2.89,CLIC
1993-03-30,3.81,CLIC
1993-03-31,3.34,CLIC
1993-04-01,3,CLIC
1993-04-02,3.82,CLIC
1993-04-03,4.13,CLIC
1993-04-04,3.41,CLIC
1993-04-05,4.66,CLIC
1993-04-06,3.85,CLIC
1993-04-07,4.18,CLIC
1993-04-08,3.64,CLIC
1993-04-09,3.67,CLIC
1993-04-10,4.6,CLIC
1993-04-11,4,CLIC
1993-04-12,3.91,CLIC
1993-04-13,7.96,CLIC
1993-04-14,3.53,CLIC
1993-04-15,3.81,CLIC
1993-04-16,4.68,CLIC
1993-04-17,3.79,CLIC
1993-04-18,4.11,CLIC
1993-04-19,3.81,CLIC
1993-04-20,4.33,CLIC
1993-04-21,3.62,CLIC
1993-04-22,4.36,CLIC
1993-04-23,3.96,CLIC
1993-04-24,3.93,CLIC
1993-04-25,3,CLIC
1993-04-26,1.26,CLIC
1993-04-27,3.13,CLIC
1993-04-28,1.99,CLIC
1993-04-29,1.12,CLIC
1993-04-30,1.46,CLIC
1993-05-01,3.05,CLIC
1993-05-02,4.75,CLIC
1993-05-03,4.43,CLIC
1993-05-04,3.41,CLIC
1993-05-05,6.18,CLIC
1993-05-06,6.83,CLIC
1993-05-07,4.6,CLIC
1993-05-08,0.75,CLIC
1993-05-09,0.32,CLIC
1993-05-10,5.15,CLIC
1993-05-11,7.38,CLIC
1993-05-12,4.93,CLIC
1993-05-13,5.37,CLIC
1993-05-14,4.3,CLIC
1993-05-15,7.28,CLIC
1993-05-16,8.91,CLIC
1993-05-17,4.96,CLIC
1993-05-18,5.85,CLIC
1993-05-19,4.75,CLIC
1993-05-20,7.17,CLIC
1993-05-21,4.73,CLIC
1993-05-22,5.73,CLIC
1993-05-23,4.29,CLIC
1993-05-24,5.28,CLIC
1993-05-25,2.61,CLIC
1993-05-26,3.24,CLIC
1993-05-27,2.83,CLIC
1993-05-28,2.27,CLIC
1993-05-29,2.76,CLIC
1993-05-30,2.45,CLIC
1993-05-31,4.14,CLIC
1993-06-01,4.6,CLIC
1993-06-02,6.2,CLIC
1993-06-03,6.47,CLIC
1993-06-04,6.94,CLIC
1993-06-05,7.72,CLIC
1993-06-06,6.77,CLIC
1993-06-07,7.19,CLIC
1993-06-08,4.89,CLIC
1993-06-09,3.19,CLIC
1993-06-10,5.85,CLIC
1993-06-11,7.28,CLIC
1993-06-12,2.85,CLIC
1993-06-13,0.43,CLIC
1993-06-14,4.6,CLIC
1993-06-15,0.75,CLIC
1993-06-16,4.25,CLIC
1993-06-17,7.18,CLIC
1993-06-18,1.39,CLIC
1993-06-19,3.67,CLIC
1993-06-20,4.24,CLIC
1993-06-21,1.18,CLIC
1993-06-22,0.62,CLIC
1993-06-23,2.9,CLIC
1993-06-24,2.97,CLIC
1993-06-25,1.72,CLIC
1993-06-26,7.18,CLIC
1993-06-27,4.89,CLIC
1993-06-28,3.74,CLIC
1993-06-29,7.9,CLIC
1993-06-30,8.59,CLIC
1993-07-01,7.41,CLIC
1993-07-02,8.1,CLIC
1993-07-03,8.55,CLIC
1993-07-04,7.55,CLIC
1993-07-05,5.8,CLIC
1993-07-06,5.5,CLIC
1993-07-07,7.6,CLIC
1993-07-08,6.79,CLIC
1993-07-09,6.02,CLIC
1993-07-10,6.21,CLIC
1993-07-11,6.47,CLIC
1993-07-12,5.96,CLIC
1993-07-13,5.85,CLIC
1993-07-14,5.98,CLIC
1993-07-15,6.13,CLIC
1993-07-16,5.87,CLIC
1993-07-17,5.91,CLIC
1993-07-18,6.06,CLIC
1993-07-19,5.59,CLIC
1993-07-20,6.16,CLIC
1993-07-21,6.24,CLIC
1993-07-22,5.9,CLIC
1993-07-23,6.02,CLIC
1993-07-24,5.88,CLIC
1993-07-25,6.09,CLIC
1993-07-26,6.2,CLIC
1993-07-27,6.42,CLIC
1993-07-28,7.38,CLIC
1993-07-29,5.12,CLIC
1993-07-30,6.82,CLIC
1993-07-31,5.26,CLIC
1993-08-01,6.4,CLIC
1993-08-02,5.95,CLIC
1993-08-03,5.38,CLIC
1993-08-04,6.19,CLIC
1993-08-05,5.98,CLIC
1993-08-06,6.21,CLIC
1993-08-07,5.98,CLIC
1993-08-08,5.51,CLIC
1993-08-09,5.87,CLIC
1993-08-10,5.12,CLIC
1993-08-11,5.21,CLIC
1993-08-12,6.75,CLIC
1993-08-13,5.95,CLIC
1993-08-14,6.09,CLIC
1993-08-15,5.65,CLIC
1993-08-16,4.72,CLIC
1993-08-17,5.81,CLIC
1993-08-18,5.89,CLIC
1993-08-19,6.2,CLIC
1993-08-20,5.79,CLIC
1993-08-21,6.22,CLIC
1993-08-22,5.69,CLIC
1993-08-23,4.87,CLIC
1993-08-24,5.61,CLIC
1993-08-25,6.71,CLIC
1993-08-26,5.2,CLIC
1993-08-27,5,CLIC
1993-08-28,6,CLIC
1993-08-29,6.6,CLIC
1993-08-30,6.71,CLIC
1993-08-31,4.15,CLIC
1993-09-01,6.89,CLIC
1993-09-02,3.55,CLIC
1993-09-03,5.04,CLIC
1993-09-04,4.85,CLIC
1993-09-05,2.69,CLIC
1993-09-06,1.32,CLIC
1993-09-07,2.01,CLIC
1993-09-08,3.01,CLIC
1993-09-09,4.58,CLIC
1993-09-10,5.39,CLIC
1993-09-11,4.51,CLIC
1993-09-12,5.28,CLIC
1993-09-13,4.32,CLIC
1993-09-14,3.1,CLIC
1993-09-15,3.4,CLIC
1993-09-16,3.72,CLIC
1993-09-17,4.23,CLIC
1993-09-18,3.67,CLIC
1993-09-19,4.13,CLIC
1993-09-20,6,CLIC
1993-09-21,4.67,CLIC
1993-09-22,4.34,CLIC
1993-09-23,4.96,CLIC
1993-09-24,4.81,CLIC
1993-09-25,5.31,CLIC
1993-09-26,0.61,CLIC
1993-09-27,2.4,CLIC
1993-09-28,3.32,CLIC
1993-09-29,4.55,CLIC
1993-09-30,3.34,CLIC
1993-10-01,4.74,CLIC
1993-10-02,3.55,CLIC
1993-10-03,4.2,CLIC
1993-10-04,3.81,CLIC
1993-10-05,4.29,CLIC
1993-10-06,3.2,CLIC
1993-10-07,3.43,CLIC
1993-10-08,0.97,CLIC
1993-10-09,5.6,CLIC
1993-10-10,4.26,CLIC
1993-10-11,3.54,CLIC
1993-10-12,2.6,CLIC
1993-10-13,3.28,CLIC
1993-10-14,3.17,CLIC
1993-10-15,3.2,CLIC
1993-10-16,3.96,CLIC
1993-10-17,2.82,CLIC
1993-10-18,3.27,CLIC
1993-10-19,2.99,CLIC
1993-10-20,3.21,CLIC
1993-10-21,2.6,CLIC
1993-10-22,2.9,CLIC
1993-10-23,2.4,CLIC
1993-10-24,4.11,CLIC
1993-10-25,3.48,CLIC
1993-10-26,3.57,CLIC
1993-10-27,4.6,CLIC
1993-10-28,2.74,CLIC
1993-10-29,0.41,CLIC
1993-10-30,2.46,CLIC
1993-10-31,0.37,CLIC
1993-11-01,1.2,CLIC
1993-11-02,1.27,CLIC
1993-11-03,1.73,CLIC
1993-11-04,2.6,CLIC
1993-11-05,2.57,CLIC
1993-11-06,3.13,CLIC
1993-11-07,3.2,CLIC
1993-11-08,3.19,CLIC
1993-11-09,1.06,CLIC
1993-11-10,1.83,CLIC
1993-11-11,4.39,CLIC
1993-11-12,1.27,CLIC
1993-11-13,3.06,CLIC
1993-11-14,2.24,CLIC
1993-11-15,2.75,CLIC
1993-11-16,2.05,CLIC
1993-11-17,2.31,CLIC
1993-11-18,1.49,CLIC
1993-11-19,3.56,CLIC
1993-11-20,1.83,CLIC
1993-11-21,2.56,CLIC
1993-11-22,2.23,CLIC
1993-11-23,2.13,CLIC
1993-11-24,1.7,CLIC
1993-11-25,0.45,CLIC
1993-11-26,1.78,CLIC
1993-11-27,1.94,CLIC
1993-11-28,2.03,CLIC
1993-11-29,2.12,CLIC
1993-11-30,1.53,CLIC
1993-12-01,2.04,CLIC
1993-12-02,2.41,CLIC
1993-12-03,1.33,CLIC
1993-12-04,2.85,CLIC
1993-12-05,1.45,CLIC
1993-12-06,3.6,CLIC
1993-12-07,2.5,CLIC
1993-12-08,2.81,CLIC
1993-12-09,3.76,CLIC
1993-12-10,2.75,CLIC
1993-12-11,3.21,CLIC
1993-12-12,2.87,CLIC
1993-12-13,2.4,CLIC
1993-12-14,2.95,CLIC
1993-12-15,3.2,CLIC
1993-12-16,1.91,CLIC
1993-12-17,2.7,CLIC
1993-12-18,0.82,CLIC
1993-12-19,2.11,CLIC
1993-12-20,2.51,CLIC
1993-12-21,2.85,CLIC
1993-12-22,5.27,CLIC
1993-12-23,2.91,CLIC
1993-12-24,2.89,CLIC
1993-12-25,2.79,CLIC
1993-12-26,3.4,CLIC
1993-12-27,3.01,CLIC
1993-12-28,2.65,CLIC
1993-12-29,5.35,CLIC
1993-12-30,1.12,CLIC
1993-12-31,2.63,CLIC
1994-01-01,2.9,CLIC
1994-01-02,3.87,CLIC
1994-01-03,2.9,CLIC
1994-01-04,3.34,CLIC
1994-01-05,2.89,CLIC
1994-01-06,3.9,CLIC
1994-01-07,3.23,CLIC
1994-01-08,2.93,CLIC
1994-01-09,2.64,CLIC
1994-01-10,3.43,CLIC
1994-01-11,2.77,CLIC
1994-01-12,2.97,CLIC
1994-01-13,3,CLIC
1994-01-14,3.11,CLIC
1994-01-15,3.8,CLIC
1994-01-16,3.13,CLIC
1994-01-17,2.94,CLIC
1994-01-18,3.12,CLIC
1994-01-19,4.66,CLIC
1994-01-21,1.87,CLIC
1994-01-22,4.03,CLIC
1994-01-23,0.93,CLIC
1994-01-24,2.74,CLIC
1994-01-25,2.93,CLIC
1994-01-26,3.33,CLIC
1994-01-27,4.57,CLIC
1994-01-28,3.3,CLIC
1994-01-29,3,CLIC
1994-01-30,2.1,CLIC
1994-01-31,2.17,CLIC
1994-02-01,2.23,CLIC
1994-02-02,2.5,CLIC
1994-02-03,4.5,CLIC
1994-02-04,3.3,CLIC
1994-02-05,2.9,CLIC
1994-02-06,3.85,CLIC
1994-02-07,3.2,CLIC
1994-02-08,3.05,CLIC
1994-02-09,2.89,CLIC
1994-02-10,3.04,CLIC
1994-02-11,2.95,CLIC
1994-02-12,2.99,CLIC
1994-02-13,3.92,CLIC
1994-02-14,2.49,CLIC
1994-02-15,3.49,CLIC
1994-02-16,0.41,CLIC
1994-02-17,1.5,CLIC
1994-02-18,1.6,CLIC
1994-02-19,2.32,CLIC
1994-02-20,1.05,CLIC
1994-02-21,2.18,CLIC
1994-02-22,4.38,CLIC
1994-02-23,2.63,CLIC
1994-02-24,3.59,CLIC
1994-02-25,3.14,CLIC
1994-02-26,1.31,CLIC
1994-02-27,1.75,CLIC
1994-02-28,0.14,CLIC
1994-03-01,4.79,CLIC
1994-03-02,3.29,CLIC
1994-03-03,3.02,CLIC
1994-03-04,2.21,CLIC
1994-03-05,3.06,CLIC
1994-03-06,3.04,CLIC
1994-03-07,2.95,CLIC
1994-03-08,2.92,CLIC
1994-03-09,2.33,CLIC
1994-03-10,3.77,CLIC
1994-03-11,2.98,CLIC
1994-03-12,2.15,CLIC
1994-03-13,2.85,CLIC
1994-03-14,1.77,CLIC
1994-03-15,2.03,CLIC
1994-03-16,1.03,CLIC
1994-03-17,2.5,CLIC
1994-03-18,5.82,CLIC
1994-03-19,4.23,CLIC
1994-03-20,5.8,CLIC
1994-03-21,4.95,CLIC
1994-03-22,4.9,CLIC
1994-03-23,4.73,CLIC
1994-03-24,5.31,CLIC
1994-03-25,4.43,CLIC
1994-03-26,5.61,CLIC
1994-03-27,4.86,CLIC
1994-03-28,5.18,CLIC
1994-03-29,4.94,CLIC
1994-03-30,4.81,CLIC
1994-03-31,5.22,CLIC
1994-04-01,5.07,CLIC
1994-04-02,4.85,CLIC
1994-04-03,6.06,CLIC
1994-04-04,4.79,CLIC
1994-04-05,4.11,CLIC
1994-04-06,4.9,CLIC
1994-04-07,5.15,CLIC
1994-04-08,4.24,CLIC
1994-04-09,5.21,CLIC
1994-04-10,5.55,CLIC
1994-04-11,5.01,CLIC
1994-04-12,4.54,CLIC
1994-04-13,4.63,CLIC
1994-04-14,5.27,CLIC
1994-04-15,5.09,CLIC
1994-04-16,4.82,CLIC
1994-04-17,5.18,CLIC
1994-04-18,1.41,CLIC
1994-04-19,5.52,CLIC
1994-04-20,4.97,CLIC
1994-04-21,5.06,CLIC
1994-04-22,4.25,CLIC
1994-04-23,5.77,CLIC
1994-04-24,4.95,CLIC
1994-04-25,4.23,CLIC
1994-04-26,5.06,CLIC
1994-04-27,4.93,CLIC
1994-04-28,4.86,CLIC
1994-04-29,4.01,CLIC
1994-04-30,2.9,CLIC
1994-05-01,0.47,CLIC
1994-05-02,5.12,CLIC
1994-05-03,4.88,CLIC
1994-05-04,0.88,CLIC
1994-05-05,4.91,CLIC
1994-05-06,5.09,CLIC
1994-05-07,4.96,CLIC
1994-05-08,4.88,CLIC
1994-05-09,5.18,CLIC
1994-05-10,4.23,CLIC
1994-05-11,3.73,CLIC
1994-05-12,4.92,CLIC
1994-05-13,5.02,CLIC
1994-05-14,9.15,CLIC
1994-05-15,11.17,CLIC
1994-05-16,11.19,CLIC
1994-05-17,3.42,CLIC
1994-05-18,4.22,CLIC
1994-05-19,3.25,CLIC
1994-05-20,4.71,CLIC
1994-05-21,5.3,CLIC
1994-05-22,4.92,CLIC
1994-05-23,4.6,CLIC
1994-05-24,4.8,CLIC
1994-05-25,4.2,CLIC
1994-05-26,5.61,CLIC
1994-05-27,5.19,CLIC
1994-05-28,4.89,CLIC
1994-05-29,4.99,CLIC
1994-05-30,5.03,CLIC
1994-05-31,5.09,CLIC
1994-06-01,5.19,CLIC
1994-06-02,4.81,CLIC
1994-06-03,4.47,CLIC
1994-06-04,4.69,CLIC
1994-06-05,3.86,CLIC
1994-06-06,4.35,CLIC
1994-06-07,3.34,CLIC
1994-06-08,6.26,CLIC
1994-06-09,4.19,CLIC
1994-06-10,6.16,CLIC
1994-06-11,5.02,CLIC
1994-06-12,4.93,CLIC
1994-06-13,4.89,CLIC
1994-06-14,4.23,CLIC
1994-06-15,5.32,CLIC
1994-06-16,5.47,CLIC
1994-06-17,6.68,CLIC
1994-06-18,5.58,CLIC
1994-06-19,7.98,CLIC
1994-06-20,5.15,CLIC
1994-06-21,4.79,CLIC
1994-06-22,5.26,CLIC
1994-06-23,5.15,CLIC
1994-06-24,4.84,CLIC
1994-06-25,5.13,CLIC
1994-06-26,4.78,CLIC
1994-06-27,5.22,CLIC
1994-06-28,4.78,CLIC
1994-06-29,5.03,CLIC
1994-06-30,6.07,CLIC
1994-07-01,5.94,CLIC
1994-07-02,5.97,CLIC
1994-07-03,1.88,CLIC
1994-07-04,4,CLIC
1994-07-05,5.51,CLIC
1994-07-06,5.13,CLIC
1994-07-07,5.07,CLIC
1994-07-08,1.13,CLIC
1994-07-09,4.94,CLIC
1994-07-10,5.07,CLIC
1994-07-11,4.9,CLIC
1994-07-12,4.51,CLIC
1994-07-13,3.92,CLIC
1994-07-14,5.51,CLIC
1994-07-15,4.28,CLIC
1994-07-16,9.58,CLIC
1994-07-17,7.2,CLIC
1994-07-18,6.89,CLIC
1994-07-19,6.6,CLIC
1994-07-20,5.12,CLIC
1994-07-21,5.9,CLIC
1994-07-22,6.05,CLIC
1994-07-23,5.85,CLIC
1994-07-24,6.19,CLIC
1994-07-25,5.94,CLIC
1994-07-26,5.92,CLIC
1994-07-27,6.15,CLIC
1994-07-28,2.89,CLIC
1994-07-29,7.48,CLIC
1994-07-30,4.32,CLIC
1994-08-01,9.49,CLIC
1994-08-02,5.15,CLIC
1994-08-03,4.98,CLIC
1994-08-04,4.97,CLIC
1994-08-05,4.71,CLIC
1994-08-06,5.17,CLIC
1994-08-07,5.16,CLIC
1994-08-08,4.42,CLIC
1994-08-09,4.95,CLIC
1994-08-10,1.5,CLIC
1994-08-11,5.47,CLIC
1994-08-12,4.84,CLIC
1994-08-13,4.98,CLIC
1994-08-14,5.21,CLIC
1994-08-15,4.82,CLIC
1994-08-16,5.09,CLIC
1994-08-17,4.61,CLIC
1994-08-18,5.76,CLIC
1994-08-19,4.5,CLIC
1994-08-20,5.54,CLIC
1994-08-21,4.99,CLIC
1994-08-22,4.92,CLIC
1994-08-23,5.24,CLIC
1994-08-24,4.92,CLIC
1994-08-25,4.83,CLIC
1994-08-26,4.75,CLIC
1994-08-27,1.1,CLIC
1994-08-28,6.06,CLIC
1994-08-29,4.84,CLIC
1994-08-30,0.2,CLIC
1994-08-31,0.56,CLIC
1994-09-01,0.51,CLIC
1994-09-02,4.28,CLIC
1994-09-03,4.06,CLIC
1994-09-04,3.84,CLIC
1994-09-05,5.23,CLIC
1994-09-06,3.95,CLIC
1994-09-07,4.1,CLIC
1994-09-08,7.13,CLIC
1994-09-09,1.32,CLIC
1994-09-10,5.03,CLIC
1994-09-11,0.35,CLIC
1994-09-12,4,CLIC
1994-09-13,3.07,CLIC
1994-09-14,4.75,CLIC
1994-09-15,3.03,CLIC
1994-09-16,7.35,CLIC
1994-09-17,5.2,CLIC
1994-09-18,3.49,CLIC
1994-09-19,3.08,CLIC
1994-09-20,5.38,CLIC
1994-09-21,1.94,CLIC
1994-09-22,3.02,CLIC
1994-09-23,2.86,CLIC
1994-09-24,2.43,CLIC
1994-09-25,3.73,CLIC
1994-09-26,2.73,CLIC
1994-09-27,3.01,CLIC
1994-09-28,3.32,CLIC
1994-09-29,2.94,CLIC
1994-09-30,2.82,CLIC
1994-10-01,3.14,CLIC
1994-10-02,2.64,CLIC
1994-10-03,3.47,CLIC
1994-10-04,2.77,CLIC
1994-10-05,3.22,CLIC
1994-10-06,2.84,CLIC
1994-10-07,3.16,CLIC
1994-10-08,2.83,CLIC
1994-10-09,2.88,CLIC
1994-10-10,3.16,CLIC
1994-10-11,2.89,CLIC
1994-10-12,3.1,CLIC
1994-10-13,3.03,CLIC
1994-10-14,2.95,CLIC
1994-10-15,2.67,CLIC
1994-10-16,3.36,CLIC
1994-10-17,2.44,CLIC
1994-10-18,3.59,CLIC
1994-10-19,2.92,CLIC
1994-10-20,2.98,CLIC
1994-10-21,2.85,CLIC
1994-10-22,2.45,CLIC
1994-10-23,3.48,CLIC
1994-10-24,3.15,CLIC
1994-10-25,9.57,CLIC
1994-10-26,2,CLIC
1994-10-27,3.85,CLIC
1994-10-28,2.97,CLIC
1994-10-29,4.93,CLIC
1994-10-30,2.55,CLIC
1994-10-31,2.94,CLIC
1994-11-01,2.51,CLIC
1994-11-02,3.44,CLIC
1994-11-03,3.09,CLIC
1994-11-04,3.06,CLIC
1994-11-05,2.86,CLIC
1994-11-06,3.1,CLIC
1994-11-07,2.25,CLIC
1994-11-08,3.67,CLIC
1994-11-09,3.04,CLIC
1994-11-10,2.79,CLIC
1994-11-11,3.09,CLIC
1994-11-12,2.99,CLIC
1994-11-13,2.9,CLIC
1994-11-14,2.9,CLIC
1994-11-15,3.12,CLIC
1994-11-16,2.79,CLIC
1994-11-17,3.27,CLIC
1994-11-18,2.8,CLIC
1994-11-19,3.19,CLIC
1994-11-20,2.63,CLIC
1994-11-21,3.33,CLIC
1994-11-22,3.43,CLIC
1994-11-23,2.05,CLIC
1994-11-24,5,CLIC
1994-11-25,3.35,CLIC
1994-11-26,2.84,CLIC
1994-11-27,2.95,CLIC
1994-11-28,3.42,CLIC
1994-11-29,2.84,CLIC
1994-11-30,3.27,CLIC
1994-12-01,1.43,CLIC
1994-12-02,2.18,CLIC
1994-12-03,2.28,CLIC
1994-12-04,2.31,CLIC
1994-12-05,2.88,CLIC
1994-12-06,2.92,CLIC
1994-12-07,1.9,CLIC
1994-12-08,1.92,CLIC
1994-12-09,1.1,CLIC
1994-12-10,3.67,CLIC
1994-12-11,2.86,CLIC
1994-12-12,2.76,CLIC
1994-12-13,3.01,CLIC
1994-12-14,3.33,CLIC
1994-12-15,2.86,CLIC
1994-12-16,2.88,CLIC
1994-12-17,0.57,CLIC
1994-12-18,0.48,CLIC
1994-12-19,3.33,CLIC
1994-12-20,2.86,CLIC
1994-12-21,3.18,CLIC
1994-12-22,2.94,CLIC
1994-12-23,2.92,CLIC
1994-12-24,4.94,CLIC
1994-12-25,3.2,CLIC
1994-12-26,2.86,CLIC
1994-12-27,3.09,CLIC
1994-12-28,0.88,CLIC
1994-12-29,3.02,CLIC
1994-12-30,3.1,CLIC
1994-12-31,2.86,CLIC
1995-01-01,2.79,CLIC
1995-01-02,8.41,CLIC
1995-01-03,10.05,CLIC
1995-01-04,0.45,CLIC
1995-01-05,0.7,CLIC
1995-01-06,0.47,CLIC
1995-01-07,1.33,CLIC
1995-01-08,2.61,CLIC
1995-01-09,2.69,CLIC
1995-01-10,3.19,CLIC
1995-01-11,3.1,CLIC
1995-01-12,3.06,CLIC
1995-01-13,2.25,CLIC
1995-01-14,3.73,CLIC
1995-01-15,2.86,CLIC
1995-01-16,3.11,CLIC
1995-01-17,1.5,CLIC
1995-01-18,3.57,CLIC
1995-01-19,2.94,CLIC
1995-01-20,2.29,CLIC
1995-01-21,3.69,CLIC
1995-01-22,2.8,CLIC
1995-01-23,2.95,CLIC
1995-01-24,6.96,CLIC
1995-01-25,3.06,CLIC
1995-01-26,3.02,CLIC
1995-01-27,2.69,CLIC
1995-01-28,2.09,CLIC
1995-01-29,3.18,CLIC
1995-01-30,2.35,CLIC
1995-01-31,3.63,CLIC
1995-02-01,2.94,CLIC
1995-02-02,2.87,CLIC
1995-02-03,3.11,CLIC
1995-02-04,3.09,CLIC
1995-02-05,2.99,CLIC
1995-02-06,3.69,CLIC
1995-02-07,2.53,CLIC
1995-02-08,1.03,CLIC
1995-02-09,2.25,CLIC
1995-02-10,3.97,CLIC
1995-02-11,0.93,CLIC
1995-02-12,1.33,CLIC
1995-02-13,2.86,CLIC
1995-02-14,2.61,CLIC
1995-02-15,4.4,CLIC
1995-02-16,0.5,CLIC
1995-02-17,1.44,CLIC
1995-02-18,3.44,CLIC
1995-02-19,3.89,CLIC
1995-02-20,3.88,CLIC
1995-02-21,4.18,CLIC
1995-02-22,3.56,CLIC
1995-02-23,4.44,CLIC
1995-02-24,3.9,CLIC
1995-02-25,3.97,CLIC
1995-02-26,3.4,CLIC
1995-02-27,4.66,CLIC
1995-02-28,1.14,CLIC
1995-03-01,10.4,CLIC
1995-03-02,1.2,CLIC
1995-03-03,0.85,CLIC
1995-03-04,2.3,CLIC
1995-03-05,3.05,CLIC
1995-03-06,2.4,CLIC
1995-03-07,4.3,CLIC
1995-03-08,3.85,CLIC
1995-03-09,4.42,CLIC
1995-03-10,3.82,CLIC
1995-03-11,3.8,CLIC
1995-03-12,4.1,CLIC
1995-03-13,3.6,CLIC
1995-03-14,4.13,CLIC
1995-03-15,4.27,CLIC
1995-03-16,8.8,CLIC
1995-03-17,0.49,CLIC
1995-03-18,4.16,CLIC
1995-03-19,3.8,CLIC
1995-03-20,5.7,CLIC
1995-03-21,5.04,CLIC
1995-03-22,4.87,CLIC
1995-03-23,4.63,CLIC
1995-03-24,4.64,CLIC
1995-03-25,5.73,CLIC
1995-03-26,4.87,CLIC
1995-03-27,1,CLIC
1995-03-28,1.36,CLIC
1995-03-29,1.45,CLIC
1995-03-30,3.5,CLIC
1995-03-31,5.1,CLIC
1995-04-01,0.85,CLIC
1995-04-02,0.45,CLIC
1995-04-03,1.85,CLIC
1995-04-04,2.92,CLIC
1995-04-05,2.73,CLIC
1995-04-06,4.4,CLIC
1995-04-07,3.92,CLIC
1995-04-08,3.88,CLIC
1995-04-09,4.16,CLIC
1995-04-10,4.03,CLIC
1995-04-11,3.41,CLIC
1995-04-12,5.15,CLIC
1995-04-13,4.93,CLIC
1995-04-14,5.01,CLIC
1995-04-15,4.95,CLIC
1995-04-16,4.86,CLIC
1995-04-17,4.86,CLIC
1995-04-18,5.38,CLIC
1995-04-19,4.81,CLIC
1995-04-20,5.13,CLIC
1995-04-21,4.77,CLIC
1995-04-22,4.95,CLIC
1995-04-23,4.98,CLIC
1995-04-24,4.89,CLIC
1995-04-25,4.38,CLIC
1995-04-26,5.72,CLIC
1995-04-27,4.87,CLIC
1995-04-28,5.2,CLIC
1995-04-29,4.21,CLIC
1995-04-30,5.79,CLIC
1995-05-01,0.15,CLIC
1995-05-02,1,CLIC
1995-05-03,2.64,CLIC
1995-05-04,2.91,CLIC
1995-05-05,2.5,CLIC
1995-05-06,3.55,CLIC
1995-05-07,3.92,CLIC
1995-05-08,3.83,CLIC
1995-05-09,3.5,CLIC
1995-05-10,0.7,CLIC
1995-05-11,4.4,CLIC
1995-05-12,3.9,CLIC
