Estación: ,C19162,VISTA HERMOSA. LINARES
1998-02-25,6.65,CLIC
1998-02-26,6.28,CLIC
1998-02-27,5.91,CLIC
1998-02-28,4.13,CLIC
1998-03-01,3.89,CLIC
1998-03-02,2.93,CLIC
1998-03-03,2.28,CLIC
1998-03-04,3.32,CLIC
1998-03-05,4.2,CLIC
1998-03-06,4.88,CLIC
1998-03-07,3.11,CLIC
1998-03-08,8.49,CLIC
1998-03-09,5.86,CLIC
1998-03-10,3.06,CLIC
1998-03-11,6.02,CLIC
1998-03-12,5.58,CLIC
1998-03-13,0.91,CLIC
1998-03-14,7.98,CLIC
1998-03-15,2.18,CLIC
1998-03-16,5.81,CLIC
1998-03-17,4.96,CLIC
1998-03-18,5.24,CLIC
1998-03-19,2.05,CLIC
1998-03-20,6.91,CLIC
1998-03-21,5.03,CLIC
1998-03-22,6.03,CLIC
1998-03-23,5.93,CLIC
1998-03-24,6.01,CLIC
1998-03-25,5.25,CLIC
1998-03-26,5.02,CLIC
1998-03-27,5.05,CLIC
1998-03-28,4.97,CLIC
1998-03-29,5.03,CLIC
1998-03-30,4.96,CLIC
1998-03-31,5.04,CLIC
1998-04-01,4.03,CLIC
1998-04-02,9.1,CLIC
1998-04-03,7.15,CLIC
1998-04-04,1.85,CLIC
1998-04-05,3.1,CLIC
1998-04-06,4.7,CLIC
1998-04-07,5.35,CLIC
1998-04-08,7.04,CLIC
1998-04-09,7.96,CLIC
1998-04-10,8.36,CLIC
1998-04-11,8.6,CLIC
1998-04-12,7.07,CLIC
1998-04-13,7.9,CLIC
1998-04-14,7.24,CLIC
1998-04-15,5.25,CLIC
1998-04-16,8.99,CLIC
1998-04-17,7.31,CLIC
1998-04-18,6.09,CLIC
1998-04-19,3.14,CLIC
1998-04-20,5.41,CLIC
1998-04-21,9.39,CLIC
1998-04-22,0.84,CLIC
1998-04-23,3.09,CLIC
1998-04-24,5.43,CLIC
1998-04-25,7.64,CLIC
1998-04-26,3.15,CLIC
1998-04-27,4.84,CLIC
1998-04-28,4.13,CLIC
1998-04-29,2.65,CLIC
1998-04-30,6.56,CLIC
1998-05-01,4.79,CLIC
1998-05-02,6.05,CLIC
1998-05-03,10.35,CLIC
1998-05-04,8.35,CLIC
1998-05-05,5,CLIC
1998-05-06,5.24,CLIC
1998-05-07,9.03,CLIC
1998-05-08,6.27,CLIC
1998-05-09,1.16,CLIC
1998-05-10,5.13,CLIC
1998-05-11,6.74,CLIC
1998-05-12,4.61,CLIC
1998-05-13,4.15,CLIC
1998-05-14,5.52,CLIC
1998-05-15,6.14,CLIC
1998-05-16,6.08,CLIC
1998-05-17,7.32,CLIC
1998-05-18,8.42,CLIC
1998-05-19,3.48,CLIC
1998-05-20,1.7,CLIC
1998-05-21,7.81,CLIC
1998-05-22,11.18,CLIC
1998-05-23,8.72,CLIC
1998-05-24,8.71,CLIC
1998-05-25,8.52,CLIC
1998-05-26,6.11,CLIC
1998-05-27,6.08,CLIC
1998-05-28,5.29,CLIC
1998-05-29,7.13,CLIC
1998-05-30,6.21,CLIC
1998-05-31,8.51,CLIC
1998-06-01,8.96,CLIC
1998-06-02,11.12,CLIC
1998-06-03,11.4,CLIC
1998-06-04,12,CLIC
1998-06-05,12.51,CLIC
1998-06-06,11.53,CLIC
1998-06-07,6.53,CLIC
1998-06-08,12.15,CLIC
1998-06-09,10.52,CLIC
1998-06-10,9,CLIC
1998-06-11,13.52,CLIC
1998-06-12,11.17,CLIC
1998-06-13,11.13,CLIC
1998-06-14,8.61,CLIC
1998-06-15,11,CLIC
1998-06-16,11.5,CLIC
1998-06-17,10.75,CLIC
1998-06-18,10,CLIC
1998-06-19,11.36,CLIC
1998-06-20,11.46,CLIC
1998-06-21,11.31,CLIC
1998-06-22,13.45,CLIC
1998-06-23,11.03,CLIC
1998-06-24,10.68,CLIC
1998-06-25,10.38,CLIC
1998-06-26,11.54,CLIC
1998-06-27,11.62,CLIC
1998-06-28,5.23,CLIC
1998-06-29,5.69,CLIC
1998-06-30,8.12,CLIC
1998-07-01,9.21,CLIC
1998-07-02,10.24,CLIC
1998-07-03,13.84,CLIC
1998-07-04,8,CLIC
1998-07-05,7.72,CLIC
1998-07-06,8.51,CLIC
1998-07-07,10.35,CLIC
1998-07-08,10.53,CLIC
1998-07-09,7.28,CLIC
1998-07-10,8.56,CLIC
1998-07-11,7.36,CLIC
1998-07-12,12.61,CLIC
1998-07-13,10.44,CLIC
1998-07-14,12.43,CLIC
1998-07-15,8.28,CLIC
1998-07-16,9.75,CLIC
1998-07-17,9.27,CLIC
1998-07-18,10.57,CLIC
1998-07-19,7.87,CLIC
1998-07-20,9.22,CLIC
1998-07-21,9.04,CLIC
1998-07-22,8.85,CLIC
1998-07-23,8.4,CLIC
1998-07-24,9.41,CLIC
1998-07-25,7.18,CLIC
1998-07-26,11.22,CLIC
1998-07-27,7.34,CLIC
1998-07-28,8.81,CLIC
1998-07-29,10.48,CLIC
1998-07-30,8.76,CLIC
1998-07-31,9.7,CLIC
1998-08-01,8.83,CLIC
1998-08-02,10.96,CLIC
1998-08-03,8.7,CLIC
1998-08-04,8.25,CLIC
1998-08-05,9.5,CLIC
1998-08-06,7.75,CLIC
1998-08-07,6.45,CLIC
1998-08-08,7.15,CLIC
1998-08-09,7.96,CLIC
1998-08-10,10.05,CLIC
1998-08-11,11.21,CLIC
1998-08-12,9.45,CLIC
1998-08-13,8.33,CLIC
1998-08-14,11.1,CLIC
1998-08-15,8.8,CLIC
1998-08-16,7.33,CLIC
1998-08-17,5.2,CLIC
1998-08-18,9.24,CLIC
1998-08-19,6.88,CLIC
1998-08-20,5.45,CLIC
1998-08-21,7.85,CLIC
1998-08-22,4.28,CLIC
1998-08-23,4.76,CLIC
1998-08-24,6.82,CLIC
1998-08-25,7.3,CLIC
1998-08-26,7.53,CLIC
1998-08-27,5.28,CLIC
1998-08-28,7.95,CLIC
1998-08-29,7.07,CLIC
1998-08-30,4.89,CLIC
1998-08-31,6.35,CLIC
1998-09-13,3.59,CLIC
1998-09-14,6.7,CLIC
1998-09-15,3.08,CLIC
1998-09-16,3.64,CLIC
1998-09-17,0,CLIC
1998-09-18,0.58,CLIC
1998-09-19,4.45,CLIC
1998-09-20,3.23,CLIC
1998-09-21,6.07,CLIC
1998-09-22,5.18,CLIC
1998-09-23,6.9,CLIC
1998-09-24,4.3,CLIC
1998-09-25,2.23,CLIC
1998-09-26,4.55,CLIC
1998-09-27,6.8,CLIC
1998-09-28,7.4,CLIC
1998-09-29,3.45,CLIC
1998-09-30,5.7,CLIC
1998-10-01,4.5,CLIC
1998-10-02,4.38,CLIC
1998-10-03,4.62,CLIC
1998-10-04,4.35,CLIC
1998-10-05,5.2,CLIC
1998-10-06,2.35,CLIC
1998-10-07,3.85,CLIC
1998-10-08,3.68,CLIC
1998-10-09,3.42,CLIC
1998-10-10,2.19,CLIC
1998-10-11,2.97,CLIC
1998-10-12,3.33,CLIC
1998-10-13,3.96,CLIC
1998-10-14,2.8,CLIC
1998-10-15,4.89,CLIC
1998-10-16,4.8,CLIC
1998-10-17,2.31,CLIC
1998-10-18,3.39,CLIC
1998-10-19,2.1,CLIC
1998-10-20,2.75,CLIC
1998-10-21,2.45,CLIC
1998-10-22,2.19,CLIC
1998-10-23,2.38,CLIC
1998-10-24,4.8,CLIC
1998-10-25,4.39,CLIC
1998-10-26,3.1,CLIC
1998-10-27,1.75,CLIC
1998-10-28,2.4,CLIC
1998-10-29,1.28,CLIC
1998-10-30,2.18,CLIC
1998-10-31,3.96,CLIC
1998-11-01,2.35,CLIC
1998-11-02,1.25,CLIC
1998-11-03,1.75,CLIC
1998-11-04,1.35,CLIC
1998-11-05,3.45,CLIC
1998-11-06,0.1,CLIC
1998-11-07,2.18,CLIC
1998-11-08,2.45,CLIC
1998-11-09,1.46,CLIC
1998-11-10,3.64,CLIC
1998-11-11,1.95,CLIC
1998-11-12,1.85,CLIC
1998-11-13,2.52,CLIC
1998-11-14,1.1,CLIC
1998-11-15,1.5,CLIC
1998-11-16,3.31,CLIC
1998-11-17,2.36,CLIC
1998-11-18,1.3,CLIC
1998-11-19,2.1,CLIC
1998-11-20,2.48,CLIC
1998-11-21,4.83,CLIC
1998-11-22,2.28,CLIC
1998-11-23,3.46,CLIC
1998-11-24,3.55,CLIC
1998-11-25,4.75,CLIC
1998-11-26,2.4,CLIC
1998-11-27,2.35,CLIC
1998-11-28,3.4,CLIC
1998-11-29,2.76,CLIC
1998-11-30,2.96,CLIC
1998-12-01,2.92,CLIC
1998-12-02,2.65,CLIC
1998-12-03,4.04,CLIC
1998-12-04,3.36,CLIC
1998-12-05,2.82,CLIC
1998-12-06,2.77,CLIC
1998-12-07,3.68,CLIC
1998-12-08,3.74,CLIC
1998-12-09,1.71,CLIC
1998-12-10,4.51,CLIC
1998-12-11,3.78,CLIC
1998-12-12,1.52,CLIC
1998-12-13,2.55,CLIC
1998-12-14,3.39,CLIC
1998-12-15,1.12,CLIC
1998-12-16,2.49,CLIC
1998-12-17,1.32,CLIC
1998-12-18,3.47,CLIC
1998-12-19,2.23,CLIC
1998-12-20,1.43,CLIC
1998-12-21,2.09,CLIC
1998-12-22,2.7,CLIC
1998-12-23,2.08,CLIC
1998-12-24,2.08,CLIC
1998-12-25,1.62,CLIC
1998-12-26,2.42,CLIC
1998-12-27,2.29,CLIC
1998-12-28,1.32,CLIC
1998-12-29,2.22,CLIC
1998-12-30,2.23,CLIC
1998-12-31,2.27,CLIC
1999-01-01,2.4,CLIC
1999-01-02,3.3,CLIC
1999-01-03,1.7,CLIC
1999-01-04,1.6,CLIC
1999-01-05,0.8,CLIC
1999-01-06,1.26,CLIC
1999-01-07,1.4,CLIC
1999-01-08,2.2,CLIC
1999-01-09,1.76,CLIC
1999-01-10,2.6,CLIC
1999-01-11,2.31,CLIC
1999-01-12,2.9,CLIC
1999-01-13,3.33,CLIC
1999-01-14,1.64,CLIC
1999-01-15,2.38,CLIC
1999-01-16,2.36,CLIC
1999-01-17,3.49,CLIC
1999-01-18,3.1,CLIC
1999-01-19,3,CLIC
1999-01-20,3.04,CLIC
1999-01-21,4.27,CLIC
1999-01-22,4.5,CLIC
1999-01-23,1.86,CLIC
1999-01-24,2.67,CLIC
1999-01-25,3.3,CLIC
1999-01-26,4.09,CLIC
1999-01-27,4.41,CLIC
1999-01-28,1.92,CLIC
1999-01-29,4.5,CLIC
1999-01-30,2.25,CLIC
1999-01-31,3.7,CLIC
1999-02-01,3.95,CLIC
1999-02-02,1.66,CLIC
1999-02-03,2.3,CLIC
1999-02-04,2.15,CLIC
1999-02-05,2.54,CLIC
1999-02-06,4.7,CLIC
1999-02-07,2.9,CLIC
1999-02-08,4.44,CLIC
1999-02-09,3.28,CLIC
1999-02-10,1.83,CLIC
1999-02-11,5.75,CLIC
1999-02-12,2.5,CLIC
1999-02-13,4.03,CLIC
1999-02-14,4.1,CLIC
1999-02-15,4.74,CLIC
1999-02-16,4.4,CLIC
1999-02-17,2.94,CLIC
1999-02-18,5.7,CLIC
1999-02-19,3.9,CLIC
1999-02-20,4.76,CLIC
1999-02-21,1.7,CLIC
1999-02-22,2.9,CLIC
1999-02-23,3.1,CLIC
1999-02-24,1.72,CLIC
1999-02-25,2.3,CLIC
1999-02-26,5.45,CLIC
1999-02-27,4.28,CLIC
1999-02-28,3.41,CLIC
1999-03-01,2.7,CLIC
1999-03-02,2.6,CLIC
1999-03-03,3.68,CLIC
1999-03-04,6.8,CLIC
1999-03-05,6.5,CLIC
1999-03-06,6.65,CLIC
1999-03-07,4.75,CLIC
1999-03-08,8.1,CLIC
1999-03-09,6.33,CLIC
1999-03-10,6.9,CLIC
1999-03-11,5.89,CLIC
1999-03-12,4.45,CLIC
1999-03-13,6.48,CLIC
1999-03-14,6.33,CLIC
1999-03-15,6.5,CLIC
1999-03-16,6.75,CLIC
1999-03-17,6.28,CLIC
1999-03-18,6.76,CLIC
1999-03-19,1.3,CLIC
1999-03-20,2.39,CLIC
1999-03-21,2.18,CLIC
1999-03-22,3.19,CLIC
1999-03-23,6.75,CLIC
1999-03-24,3.86,CLIC
1999-03-25,2.4,CLIC
1999-03-26,3.9,CLIC
1999-03-27,6.75,CLIC
1999-03-28,4.12,CLIC
1999-03-29,6.14,CLIC
1999-03-30,2.55,CLIC
1999-03-31,3.7,CLIC
1999-04-01,2.09,CLIC
1999-04-02,5.23,CLIC
1999-04-03,6.3,CLIC
1999-04-04,6.25,CLIC
1999-04-05,7.21,CLIC
1999-04-06,6.5,CLIC
1999-04-07,8.24,CLIC
1999-04-08,5.14,CLIC
1999-04-09,7.84,CLIC
1999-04-10,5.67,CLIC
1999-04-11,7.06,CLIC
1999-04-12,7.73,CLIC
1999-04-13,5.22,CLIC
1999-04-14,8.65,CLIC
1999-04-15,8.9,CLIC
1999-04-16,6.72,CLIC
1999-04-17,6.43,CLIC
1999-04-18,6.8,CLIC
1999-04-19,7.47,CLIC
1999-04-20,4.89,CLIC
1999-04-21,9.27,CLIC
1999-04-22,8.08,CLIC
1999-04-23,8.11,CLIC
1999-04-24,6.3,CLIC
1999-04-25,5.8,CLIC
1999-04-26,2.83,CLIC
1999-04-27,5.41,CLIC
1999-04-28,5.44,CLIC
1999-04-29,7.18,CLIC
1999-04-30,6.26,CLIC
1999-05-01,5.8,CLIC
1999-05-02,2.43,CLIC
1999-05-03,4.32,CLIC
1999-05-04,10.08,CLIC
1999-05-05,8.32,CLIC
1999-05-06,3.53,CLIC
1999-05-07,5.59,CLIC
1999-05-08,10.27,CLIC
1999-05-09,7.46,CLIC
1999-05-10,5.3,CLIC
1999-05-11,4.24,CLIC
1999-05-12,8.12,CLIC
1999-05-13,8.25,CLIC
1999-05-14,4.13,CLIC
1999-05-15,6.46,CLIC
1999-05-16,8.24,CLIC
1999-05-17,7.04,CLIC
1999-05-18,4.64,CLIC
1999-05-19,7.36,CLIC
1999-05-20,8.34,CLIC
1999-05-21,8.72,CLIC
1999-05-22,7.21,CLIC
1999-05-23,8.51,CLIC
1999-05-24,7.27,CLIC
1999-05-25,6.09,CLIC
1999-05-26,8.17,CLIC
1999-05-27,6.9,CLIC
1999-05-28,5.61,CLIC
1999-05-29,7.24,CLIC
1999-05-30,6.64,CLIC
1999-05-31,9.45,CLIC
1999-06-01,4.18,CLIC
1999-06-02,8.1,CLIC
1999-06-03,7.13,CLIC
1999-06-04,11.11,CLIC
1999-06-05,8.02,CLIC
1999-06-06,8.65,CLIC
1999-06-07,7.57,CLIC
1999-06-08,4.16,CLIC
1999-06-09,4.47,CLIC
1999-06-10,5.73,CLIC
1999-06-11,7.54,CLIC
1999-06-12,8.38,CLIC
1999-06-13,9.03,CLIC
1999-06-14,4.51,CLIC
1999-06-15,1.08,CLIC
1999-06-17,8.67,CLIC
1999-06-18,2.13,CLIC
1999-06-19,6.08,CLIC
1999-06-20,6.31,CLIC
1999-06-21,6.44,CLIC
1999-06-22,6.22,CLIC
1999-06-23,8.12,CLIC
1999-06-24,10.01,CLIC
1999-06-25,11.1,CLIC
1999-06-26,6.24,CLIC
1999-06-27,9.05,CLIC
1999-06-28,3.1,CLIC
1999-06-29,1.16,CLIC
1999-06-30,10.11,CLIC
1999-07-01,10.11,CLIC
1999-07-02,8.1,CLIC
1999-07-03,10.01,CLIC
1999-07-05,7,CLIC
1999-07-06,4.02,CLIC
1999-07-07,0.98,CLIC
1999-07-08,10,CLIC
1999-07-09,5.49,CLIC
1999-07-10,5.58,CLIC
1999-07-11,5.6,CLIC
1999-07-12,8.1,CLIC
1999-07-13,10.42,CLIC
1999-07-14,7.9,CLIC
1999-07-15,7.7,CLIC
1999-07-16,7.38,CLIC
1999-07-17,7.76,CLIC
1999-07-18,7,CLIC
1999-07-19,10.01,CLIC
1999-07-20,6.06,CLIC
1999-07-28,2.61,CLIC
1999-07-29,7.11,CLIC
1999-07-30,7.34,CLIC
1999-07-31,6.18,CLIC
1999-08-01,6.13,CLIC
1999-08-02,6.89,CLIC
1999-08-03,6.71,CLIC
1999-08-04,5.02,CLIC
1999-08-05,5.25,CLIC
1999-08-06,5.51,CLIC
1999-08-07,7.88,CLIC
1999-08-08,6.31,CLIC
1999-08-09,8.99,CLIC
1999-08-10,8.43,CLIC
1999-08-11,9.16,CLIC
1999-08-12,8.34,CLIC
1999-08-13,7.69,CLIC
1999-08-14,8.16,CLIC
1999-08-15,8.72,CLIC
1999-08-16,6.1,CLIC
1999-08-17,6.89,CLIC
1999-08-18,7.42,CLIC
1999-08-19,8.71,CLIC
1999-08-20,7.4,CLIC
1999-08-21,7.54,CLIC
1999-08-22,7.06,CLIC
1999-08-23,6.88,CLIC
1999-08-24,8.21,CLIC
1999-08-25,6.88,CLIC
1999-08-26,7.56,CLIC
1999-08-27,6.55,CLIC
1999-08-28,7.55,CLIC
1999-08-29,7.39,CLIC
1999-08-30,7.31,CLIC
1999-08-31,8.51,CLIC
1999-09-01,7.1,CLIC
1999-09-02,8.78,CLIC
1999-09-03,7.08,CLIC
1999-09-04,8.05,CLIC
1999-09-05,4.63,CLIC
1999-09-06,4.25,CLIC
1999-09-08,5.76,CLIC
1999-09-09,4.26,CLIC
1999-09-10,3.65,CLIC
1999-09-11,6.08,CLIC
1999-09-12,3.04,CLIC
1999-09-13,2.02,CLIC
1999-09-14,4.02,CLIC
1999-09-15,3.02,CLIC
1999-09-16,3.97,CLIC
1999-09-17,3.01,CLIC
1999-09-18,4.01,CLIC
1999-09-19,4.74,CLIC
1999-09-20,4.48,CLIC
1999-09-21,3.75,CLIC
1999-09-22,3.53,CLIC
1999-09-23,3.45,CLIC
1999-09-24,8.42,CLIC
1999-09-25,5.67,CLIC
1999-09-26,3.92,CLIC
1999-09-27,7.93,CLIC
1999-09-28,2.04,CLIC
1999-09-29,5.07,CLIC
1999-09-30,3.01,CLIC
1999-10-01,3.01,CLIC
1999-10-02,2.03,CLIC
1999-10-03,4.06,CLIC
1999-10-04,3.09,CLIC
1999-10-05,2.01,CLIC
1999-10-06,3.07,CLIC
1999-10-07,3.01,CLIC
1999-10-08,4.01,CLIC
1999-10-09,4.94,CLIC
1999-10-10,2.01,CLIC
1999-10-11,2.1,CLIC
1999-10-12,3.98,CLIC
1999-10-13,3.91,CLIC
1999-10-14,3.01,CLIC
1999-10-15,2.98,CLIC
1999-10-16,3.02,CLIC
1999-10-17,3,CLIC
1999-10-18,2.01,CLIC
1999-10-19,1.99,CLIC
1999-10-20,2.09,CLIC
1999-10-21,3.98,CLIC
1999-10-22,4.91,CLIC
1999-10-23,2.03,CLIC
1999-10-24,4.03,CLIC
1999-10-25,4.03,CLIC
1999-10-26,4.02,CLIC
1999-10-27,3.01,CLIC
1999-10-28,4.09,CLIC
1999-10-29,2.88,CLIC
1999-10-30,2.02,CLIC
1999-10-31,3.56,CLIC
1999-11-01,3.59,CLIC
1999-11-02,4.38,CLIC
1999-11-03,3.47,CLIC
1999-11-04,3.53,CLIC
1999-11-05,2.43,CLIC
1999-11-06,4.96,CLIC
1999-11-07,2.78,CLIC
1999-11-08,4.25,CLIC
1999-11-09,3.33,CLIC
1999-11-10,3.54,CLIC
1999-11-11,1.86,CLIC
1999-11-12,1.16,CLIC
1999-11-13,2.04,CLIC
1999-11-14,3.75,CLIC
1999-11-15,2.96,CLIC
1999-11-16,4.95,CLIC
1999-11-17,2.47,CLIC
1999-11-18,4.16,CLIC
1999-11-19,2.86,CLIC
1999-11-20,3.51,CLIC
1999-11-21,2.91,CLIC
1999-11-22,2.38,CLIC
1999-11-23,3.23,CLIC
1999-11-24,1.45,CLIC
1999-11-25,1.09,CLIC
1999-11-26,2.01,CLIC
1999-11-27,3.51,CLIC
1999-11-28,3.48,CLIC
1999-11-29,2.93,CLIC
1999-11-30,1.53,CLIC
1999-12-01,2.95,CLIC
1999-12-02,2.07,CLIC
1999-12-03,2.92,CLIC
1999-12-04,1.06,CLIC
1999-12-05,1.95,CLIC
1999-12-06,2.06,CLIC
1999-12-07,3.89,CLIC
1999-12-08,1.12,CLIC
1999-12-09,2.81,CLIC
1999-12-10,2.19,CLIC
1999-12-11,3.31,CLIC
1999-12-12,2.72,CLIC
1999-12-13,2.86,CLIC
1999-12-14,2.4,CLIC
1999-12-15,1.85,CLIC
1999-12-16,1.19,CLIC
1999-12-17,1.98,CLIC
1999-12-18,1.84,CLIC
1999-12-19,1.01,CLIC
1999-12-20,1.15,CLIC
1999-12-21,0.26,CLIC
1999-12-22,0.25,CLIC
1999-12-23,0.35,CLIC
1999-12-24,0.1,CLIC
1999-12-25,0.3,CLIC
1999-12-26,0.85,CLIC
1999-12-27,1.28,CLIC
1999-12-28,1.43,CLIC
1999-12-29,2.85,CLIC
1999-12-30,2.82,CLIC
1999-12-31,2.96,CLIC
2000-01-01,0.9,CLIC
2000-01-02,1.14,CLIC
2000-01-03,3.78,CLIC
2000-01-04,7.18,CLIC
2000-01-05,1.49,CLIC
2000-01-06,1.53,CLIC
2000-01-07,1.02,CLIC
2000-01-08,0.76,CLIC
2000-01-09,1.26,CLIC
2000-01-10,2.94,CLIC
2000-01-11,0.53,CLIC
2000-01-12,1.61,CLIC
2000-01-13,1.82,CLIC
2000-01-14,0.95,CLIC
2000-01-15,2.1,CLIC
2000-01-16,1.47,CLIC
2000-01-17,2.57,CLIC
2000-01-18,2.02,CLIC
2000-01-19,3.62,CLIC
2000-01-20,1.91,CLIC
2000-01-21,1.88,CLIC
2000-01-22,1.03,CLIC
2000-01-23,1.75,CLIC
2000-01-24,1.67,CLIC
2000-01-25,2.03,CLIC
2000-01-26,1.61,CLIC
2000-01-27,0.92,CLIC
2000-01-28,0.88,CLIC
2000-01-29,1.46,CLIC
2000-01-30,1.86,CLIC
2000-01-31,1.81,CLIC
2000-02-01,2.39,CLIC
2000-02-02,0.21,CLIC
2000-02-03,4.01,CLIC
2000-02-04,1.04,CLIC
2000-02-05,2.28,CLIC
2000-02-06,1.55,CLIC
2000-02-07,2.11,CLIC
2000-02-08,3.26,CLIC
2000-02-09,17.88,CLIC
2000-02-10,1.76,CLIC
2000-02-11,2.18,CLIC
2000-02-12,6.04,CLIC
2000-02-13,6.07,CLIC
2000-02-14,7.09,CLIC
2000-02-15,7.95,CLIC
2000-02-16,4.09,CLIC
2000-02-17,5.16,CLIC
2000-02-18,2.81,CLIC
2000-02-19,2.18,CLIC
2000-02-20,6.39,CLIC
2000-02-21,4.63,CLIC
2000-02-22,4.26,CLIC
2000-02-23,2.63,CLIC
2000-02-24,2.09,CLIC
2000-02-25,2.72,CLIC
2000-02-26,2.2,CLIC
2000-02-27,6.46,CLIC
2000-02-28,3.59,CLIC
2000-02-29,3.09,CLIC
2000-03-01,6.92,CLIC
2000-03-02,4.2,CLIC
2000-03-03,1.85,CLIC
2000-03-04,1.92,CLIC
2000-03-05,1.91,CLIC
2000-03-06,2.57,CLIC
2000-03-07,2.51,CLIC
2000-03-08,3.06,CLIC
2000-03-09,5.05,CLIC
2000-03-10,4.81,CLIC
2000-03-11,3.04,CLIC
2000-03-12,4.86,CLIC
2000-03-13,1.03,CLIC
2000-03-14,4.76,CLIC
2000-03-15,2.14,CLIC
2000-03-16,6.89,CLIC
2000-03-17,2.16,CLIC
2000-03-18,4.03,CLIC
2000-03-19,2.12,CLIC
2000-03-20,6.69,CLIC
2000-03-21,6.86,CLIC
2000-03-22,4.86,CLIC
2000-03-23,5.1,CLIC
2000-03-24,3.3,CLIC
2000-03-25,6.84,CLIC
2000-03-26,4.82,CLIC
2000-03-27,3.24,CLIC
2000-03-28,6.72,CLIC
2000-03-29,8.22,CLIC
2000-03-30,7.09,CLIC
2000-03-31,7.85,CLIC
2000-04-01,4.08,CLIC
2000-04-02,4.78,CLIC
2000-04-03,6.16,CLIC
2000-04-04,7.03,CLIC
2000-04-05,7.96,CLIC
2000-04-06,4.14,CLIC
2000-04-07,7.08,CLIC
2000-04-08,4.57,CLIC
2000-04-09,7.49,CLIC
2000-04-10,5.08,CLIC
2000-04-11,4.35,CLIC
2000-04-12,2.41,CLIC
2000-04-13,1.03,CLIC
2000-04-14,6.08,CLIC
2000-04-15,6.26,CLIC
2000-04-16,1.69,CLIC
2000-04-17,1.31,CLIC
2000-04-18,7.77,CLIC
2000-04-19,7.88,CLIC
2000-04-20,7.07,CLIC
2000-04-21,7.52,CLIC
2000-04-22,6.58,CLIC
2000-04-23,9.06,CLIC
2000-04-24,9.32,CLIC
2000-04-25,9.38,CLIC
2000-04-26,2.04,CLIC
2000-04-27,4.78,CLIC
2000-04-28,6.06,CLIC
2000-04-29,5.58,CLIC
2000-04-30,6.27,CLIC
2000-05-01,2.23,CLIC
2000-05-02,1.76,CLIC
2000-05-03,5.46,CLIC
2000-05-04,8.18,CLIC
2000-05-05,8.08,CLIC
2000-05-06,7.23,CLIC
2000-05-07,8.44,CLIC
2000-05-08,7.69,CLIC
2000-05-09,7.68,CLIC
2000-05-10,6.87,CLIC
2000-05-11,8.15,CLIC
2000-05-12,7.81,CLIC
2000-05-13,1.97,CLIC
2000-05-14,9.3,CLIC
2000-05-15,8.84,CLIC
2000-05-16,9.94,CLIC
2000-05-17,9.46,CLIC
2000-05-18,9.36,CLIC
2000-05-19,10.54,CLIC
2000-05-20,6.06,CLIC
2000-05-21,8.3,CLIC
2000-05-22,8.62,CLIC
2000-05-23,8.85,CLIC
2000-05-24,9.51,CLIC
2000-05-25,8.35,CLIC
2000-05-26,6.31,CLIC
2000-05-27,6.88,CLIC
2000-05-28,4.16,CLIC
2000-05-29,8.11,CLIC
2000-05-30,8.82,CLIC
2000-05-31,6.2,CLIC
2000-06-01,6.85,CLIC
2000-06-02,7.2,CLIC
2000-06-03,8.28,CLIC
2000-06-04,8.42,CLIC
2000-06-05,2.18,CLIC
2000-06-06,4.86,CLIC
2000-06-07,6.22,CLIC
2000-06-08,6.98,CLIC
2000-06-09,6.78,CLIC
2000-06-10,6.65,CLIC
2000-06-11,3.17,CLIC
2000-06-12,7.91,CLIC
2000-06-13,6.85,CLIC
2000-06-14,6.24,CLIC
2000-06-15,8.06,CLIC
2000-06-16,6.25,CLIC
2000-06-17,4.16,CLIC
2000-06-18,8.21,CLIC
2000-06-19,8.88,CLIC
2000-06-20,7.9,CLIC
2000-06-21,11.46,CLIC
2000-06-22,7.5,CLIC
2000-06-23,9.24,CLIC
2000-06-24,9.81,CLIC
2000-06-25,9.76,CLIC
2000-06-26,8.14,CLIC
2000-06-27,9.11,CLIC
2000-06-28,9.43,CLIC
2000-06-29,9.2,CLIC
2000-06-30,8.36,CLIC
2000-07-01,8.67,CLIC
2000-07-02,9.55,CLIC
2000-07-03,9.82,CLIC
2000-07-04,9.58,CLIC
2000-07-05,9.31,CLIC
2000-07-06,9.45,CLIC
2000-07-07,11.24,CLIC
2000-07-08,13.62,CLIC
2000-07-09,12.58,CLIC
2000-07-10,13.19,CLIC
2000-07-11,12.55,CLIC
2000-07-12,12.7,CLIC
2000-07-13,12.78,CLIC
2000-07-14,12.46,CLIC
2000-07-15,8.84,CLIC
2000-07-16,8.85,CLIC
2000-07-17,12.37,CLIC
2000-07-18,10.3,CLIC
2000-07-19,12.7,CLIC
2000-07-20,14.16,CLIC
2000-07-21,9.07,CLIC
2000-07-22,8.75,CLIC
2000-07-23,8.2,CLIC
2000-07-24,8.74,CLIC
2000-07-25,8.28,CLIC
2000-07-26,8.91,CLIC
2000-07-27,8.03,CLIC
2000-07-28,9.86,CLIC
2000-07-29,8.12,CLIC
2000-07-30,8.06,CLIC
2000-07-31,9.3,CLIC
2000-08-01,8.45,CLIC
2000-08-02,9.63,CLIC
2000-08-03,9.7,CLIC
2000-08-04,4.26,CLIC
2000-08-05,7.49,CLIC
2000-08-06,8.56,CLIC
2000-08-07,9.65,CLIC
2000-08-08,6.96,CLIC
